Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
18670,38_43,Pt,-52.13745266541082,18670,Pt_38_43,38,43,NHC,NHC,NHC-NHC
317,37_44,Ag,13.3464,317,Ag_37_44,37,44,NHC,NHC,NHC-NHC
14553,39_41,Ni,-78.84794315115141,14553,Ni_39_41,39,41,NHC,NHC,NHC-NHC
14916,47_49,Ni,-73.40185873075097,14916,Ni_47_49,47,49,NHC,NHC,NHC-NHC
2209,32_41,Cu,-22.9011,2209,Cu_32_41,32,41,NHC,NHC,NHC-NHC
18551,35_47,Pt,-47.73116739740362,18551,Pt_35_47,35,47,NHC,NHC,NHC-NHC
18687,38_78,Pt,-44.308532444592856,18687,Pt_38_78,38,78,NHC,NHC,NHC-NHC
1125,32_48,Au,-2.82539,1125,Au_32_48,32,48,NHC,NHC,NHC-NHC
2880,41_47,Ni,-76.86,2880,Ni_41_47,41,47,NHC,NHC,NHC-NHC
14836,44_76,Ni,-72.94894210265193,14836,Ni_44_76,44,76,NHC,NHC,NHC-NHC
4142,33_43,Pd,-43.7,4142,Pd_33_43,33,43,NHC,NHC,NHC-NHC
18816,40_47,Pt,-47.71860139274213,18816,Pt_40_47,40,47,NHC,NHC,NHC-NHC
6931,35_35,Ag,22.991463316808225,6931,Ag_35_35,35,35,NHC,NHC,NHC-NHC
345,39_48,Ag,6.88048,345,Ag_39_48,39,48,NHC,NHC,NHC-NHC
4530,45_48,Pd,-48.01,4530,Pd_45_48,45,48,NHC,NHC,NHC-NHC
16487,39_78,Pd,-42.003361137147294,16487,Pd_39_78,39,78,NHC,NHC,NHC-NHC
9534,40_77,Au,3.08957615440886,9534,Au_40_77,40,77,NHC,NHC,NHC-NHC
18653,37_78,Pt,-46.01614989195514,18653,Pt_37_78,37,78,NHC,NHC,NHC-NHC
2395,41_49,Cu,-17.821,2395,Cu_41_49,41,49,NHC,NHC,NHC-NHC
18897,42_44,Pt,-52.00665314956132,18897,Pt_42_44,42,44,NHC,NHC,NHC-NHC
4321,38_42,Pd,-50.69,4321,Pd_38_42,38,42,NHC,NHC,NHC-NHC
7355,47_78,Ag,18.33767546513991,7355,Ag_47_78,47,78,NHC,NHC,NHC-NHC
2341,38_41,Cu,-25.7447,2341,Cu_38_41,38,41,NHC,NHC,NHC-NHC
7073,39_78,Ag,17.125175287103048,7073,Ag_39_78,39,78,NHC,NHC,NHC-NHC
11567,32_36,Cu,-11.113087817051564,11567,Cu_32_36,32,36,NHC,NHC,NHC-NHC
1145,33_33,Au,-1.97,1145,Au_33_33,33,33,NHC,NHC,NHC-NHC
18727,39_76,Pt,-50.06014902499737,18727,Pt_39_76,39,76,NHC,NHC,NHC-NHC
11927,44_46,Cu,-8.05679006210994,11927,Cu_44_46,44,46,NHC,NHC,NHC-NHC
14783,43_48,Ni,-68.77334055764368,14783,Ni_43_48,43,48,NHC,NHC,NHC-NHC
19866,76_76,Pt,-32.75050339215886,19866,Pt_76_76,76,76,NHC,NHC,NHC-NHC
334,38_44,Ag,15.6555,334,Ag_38_44,38,44,NHC,NHC,NHC-NHC
1330,40_44,Au,-2.87003,1330,Au_40_44,40,44,NHC,NHC,NHC-NHC
4375,40_46,Pd,-49.86,4375,Pd_40_46,40,46,NHC,NHC,NHC-NHC
4606,48_49,Pd,-48.17,4606,Pd_48_49,48,49,NHC,NHC,NHC-NHC
9376,35_39,Au,-0.1931562084864708,9376,Au_35_39,35,39,NHC,NHC,NHC-NHC
2374,40_44,Cu,-13.9769,2374,Cu_40_44,40,44,NHC,NHC,NHC-NHC
2394,41_48,Cu,-16.7606,2394,Cu_41_48,41,48,NHC,NHC,NHC-NHC
4103,32_42,Pd,-49.41,4103,Pd_32_42,32,42,NHC,NHC,NHC-NHC
2237,33_37,Cu,-17.756,2237,Cu_33_37,33,37,NHC,NHC,NHC-NHC
18573,35_76,Pt,-42.69779970678428,18573,Pt_35_76,35,76,NHC,NHC,NHC-NHC
2862,32_32,Ni,-71.31,2862,Ni_32_32,32,32,NHC,NHC,NHC-NHC
14939,47_77,Ni,-72.7602002161002,14939,Ni_47_77,47,77,NHC,NHC,NHC-NHC
19084,47_49,Pt,-51.79888161909912,19084,Pt_47_49,47,49,NHC,NHC,NHC-NHC
14248,32_34,Ni,-76.82646514306543,14248,Ni_32_34,32,34,NHC,NHC,NHC-NHC
6962,35_77,Ag,18.295468542477465,6962,Ag_35_77,35,77,NHC,NHC,NHC-NHC
7217,43_43,Ag,16.316540589861688,7217,Ag_43_43,43,43,NHC,NHC,NHC-NHC
11928,44_47,Cu,-10.77406029397389,11928,Cu_44_47,44,47,NHC,NHC,NHC-NHC
16530,41_77,Pd,-39.92225551523006,16530,Pd_41_77,41,77,NHC,NHC,NHC-NHC
11638,35_47,Cu,-8.330773460489581,11638,Cu_35_47,35,47,NHC,NHC,NHC-NHC
4323,38_44,Pd,-44.36,4323,Pd_38_44,38,44,NHC,NHC,NHC-NHC
4257,36_43,Pd,-47.52,4257,Pd_36_43,36,43,NHC,NHC,NHC-NHC
1178,34_37,Au,-2.5,1178,Au_34_37,34,37,NHC,NHC,NHC-NHC
4146,33_48,Pd,-45.15,4146,Pd_33_48,33,48,NHC,NHC,NHC-NHC
11619,34_78,Cu,-11.773754579684464,11619,Cu_34_78,34,78,NHC,NHC,NHC-NHC
288,35_39,Ag,15.6291,288,Ag_35_39,35,39,NHC,NHC,NHC-NHC
11634,35_42,Cu,-14.02001327747712,11634,Cu_35_42,35,42,NHC,NHC,NHC-NHC
439,49_49,Ag,11.2325,439,Ag_49_49,49,49,NHC,NHC,NHC-NHC
10417,76_78,Au,-1.8428346234577475,10417,Au_76_78,76,78,NHC,NHC,NHC-NHC
11630,35_37,Cu,-12.547376847127452,11630,Cu_35_37,35,37,NHC,NHC,NHC-NHC
18459,33_40,Pt,-48.91678325278917,18459,Pt_33_40,33,40,NHC,NHC,NHC-NHC
4181,34_44,Pd,-42.78,4181,Pd_34_44,34,44,NHC,NHC,NHC-NHC
18464,33_49,Pt,-51.59847443381295,18464,Pt_33_49,33,49,NHC,NHC,NHC-NHC
4288,37_41,Pd,-46.86,4288,Pd_37_41,37,41,NHC,NHC,NHC-NHC
19033,45_76,Pt,-46.61616209804925,19033,Pt_45_76,45,76,NHC,NHC,NHC-NHC
2375,40_45,Cu,-7.75727,2375,Cu_40_45,40,45,NHC,NHC,NHC-NHC
1327,40_41,Au,-3.07728,1327,Au_40_41,40,41,NHC,NHC,NHC-NHC
4294,37_49,Pd,-49.25,4294,Pd_37_49,37,49,NHC,NHC,NHC-NHC
14667,40_45,Ni,-76.57417165729566,14667,Ni_40_45,40,45,NHC,NHC,NHC-NHC
4494,44_46,Pd,-47.73,4494,Pd_44_46,44,46,NHC,NHC,NHC-NHC
2273,34_44,Cu,-5.43817,2273,Cu_34_44,34,44,NHC,NHC,NHC-NHC
14665,40_42,Ni,-79.1220876157895,14665,Ni_40_42,40,42,NHC,NHC,NHC-NHC
14708,41_48,Ni,-81.38617286343651,14708,Ni_41_48,41,48,NHC,NHC,NHC-NHC
18704,39_49,Pt,-52.40540194841742,18704,Pt_39_49,39,49,NHC,NHC,NHC-NHC
14521,38_49,Ni,-73.89181872826885,14521,Ni_38_49,38,49,NHC,NHC,NHC-NHC
6977,36_39,Ag,12.695410369429736,6977,Ag_36_39,36,39,NHC,NHC,NHC-NHC
2360,39_45,Cu,-18.4311,2360,Cu_39_45,39,45,NHC,NHC,NHC-NHC
14254,32_41,Ni,-78.24686893692706,14254,Ni_32_41,32,41,NHC,NHC,NHC-NHC
9562,41_76,Au,1.1950303006815377,9562,Au_41_76,41,76,NHC,NHC,NHC-NHC
7332,46_76,Ag,11.747714670847929,7332,Ag_46_76,46,76,NHC,NHC,NHC-NHC
4528,45_46,Pd,-45.83,4528,Pd_45_46,45,46,NHC,NHC,NHC-NHC
19082,47_47,Pt,-51.17788191979344,19082,Pt_47_47,47,47,NHC,NHC,NHC-NHC
18506,34_48,Pt,-45.94070741237374,18506,Pt_34_48,34,48,NHC,NHC,NHC-NHC
4292,37_47,Pd,-49.48,4292,Pd_37_47,37,47,NHC,NHC,NHC-NHC
14813,44_48,Ni,-78.52447088362533,14813,Ni_44_48,44,48,NHC,NHC,NHC-NHC
4253,36_39,Pd,-47.01,4253,Pd_36_39,36,39,NHC,NHC,NHC-NHC
11568,32_42,Cu,-3.994323553983122,11568,Cu_32_42,32,42,NHC,NHC,NHC-NHC
2362,39_47,Cu,-21.0027,2362,Cu_39_47,39,47,NHC,NHC,NHC-NHC
16559,43_76,Pd,-38.87466434003727,16559,Pd_43_76,43,76,NHC,NHC,NHC-NHC
12708,77_78,Cu,-19.31545496126637,12708,Cu_77_78,77,78,NHC,NHC,NHC-NHC
11636,35_45,Cu,-12.953619228836033,11636,Cu_35_45,35,45,NHC,NHC,NHC-NHC
18668,38_41,Pt,-50.61277064476599,18668,Pt_38_41,38,41,NHC,NHC,NHC-NHC
7052,38_78,Ag,19.16043339639145,7052,Ag_38_78,38,78,NHC,NHC,NHC-NHC
276,34_42,Ag,8.31064,276,Ag_34_42,34,42,NHC,NHC,NHC-NHC
18591,36_42,Pt,-49.710834696474194,18591,Pt_36_42,36,42,NHC,NHC,NHC-NHC
269,34_34,Ag,15.6707,269,Ag_34_34,34,34,NHC,NHC,NHC-NHC
1329,40_43,Au,-3.88492,1329,Au_40_43,40,43,NHC,NHC,NHC-NHC
319,37_49,Ag,10.85,319,Ag_37_49,37,49,NHC,NHC,NHC-NHC
2515,49_49,Cu,-18.42,2515,Cu_49_49,49,49,NHC,NHC,NHC-NHC
1214,35_45,Au,1.22,1214,Au_35_45,35,45,NHC,NHC,NHC-NHC
19136,48_77,Pt,-48.2384856531462,19136,Pt_48_77,48,77,NHC,NHC,NHC-NHC
4557,46_48,Pd,-53.39,4557,Pd_46_48,46,48,NHC,NHC,NHC-NHC
1389,43_45,Au,-0.07,1389,Au_43_45,43,45,NHC,NHC,NHC-NHC
14743,42_44,Ni,-74.19784639897989,14743,Ni_42_44,42,44,NHC,NHC,NHC-NHC
9611,44_48,Au,-2.465980904598837,9611,Au_44_48,44,48,NHC,NHC,NHC-NHC
14458,36_77,Ni,-74.73635904915864,14458,Ni_36_77,36,77,NHC,NHC,NHC-NHC
4497,44_49,Pd,-45.54,4497,Pd_44_49,44,49,NHC,NHC,NHC-NHC
9442,37_78,Au,-0.8095676452212501,9442,Au_37_78,37,78,NHC,NHC,NHC-NHC
2243,33_44,Cu,-13.7062,2243,Cu_33_44,33,44,NHC,NHC,NHC-NHC
18818,40_49,Pt,-50.71838632749859,18818,Pt_40_49,40,49,NHC,NHC,NHC-NHC
18446,32_78,Pt,-43.8275591155616,18446,Pt_32_78,32,78,NHC,NHC,NHC-NHC
12018,47_77,Cu,-12.052112076999038,12018,Cu_47_77,47,77,NHC,NHC,NHC-NHC
11943,44_78,Cu,-5.549695561916451,11943,Cu_44_78,44,78,NHC,NHC,NHC-NHC
11738,38_76,Cu,-10.677041896415176,11738,Cu_38_76,38,76,NHC,NHC,NHC-NHC
11843,40_76,Cu,-10.59937703855394,11843,Cu_40_76,40,76,NHC,NHC,NHC-NHC
2451,45_46,Cu,-14.5256,2451,Cu_45_46,45,46,NHC,NHC,NHC-NHC
14339,34_43,Ni,-70.79539160638524,14339,Ni_34_43,34,43,NHC,NHC,NHC-NHC
14744,42_45,Ni,-72.01006435841555,14744,Ni_42_45,42,45,NHC,NHC,NHC-NHC
1353,41_48,Au,-4.59681,1353,Au_41_48,41,48,NHC,NHC,NHC-NHC
1236,36_38,Au,-3.43605,1236,Au_36_38,36,38,NHC,NHC,NHC-NHC
14297,33_42,Ni,-76.73465349723119,14297,Ni_33_42,33,42,NHC,NHC,NHC-NHC
4371,40_42,Pd,-53.61,4371,Pd_40_42,40,42,NHC,NHC,NHC-NHC
14382,35_38,Ni,-76.37663113165763,14382,Ni_35_38,35,38,NHC,NHC,NHC-NHC
11710,37_77,Cu,-6.95299396655173,11710,Cu_37_77,37,77,NHC,NHC,NHC-NHC
4318,38_38,Pd,-44.72,4318,Pd_38_38,38,38,NHC,NHC,NHC-NHC
4348,39_45,Pd,-50.63,4348,Pd_39_45,39,45,NHC,NHC,NHC-NHC
18632,37_48,Pt,-53.03913539756468,18632,Pt_37_48,37,48,NHC,NHC,NHC-NHC
5426,32_32,Pt,-52.29,5426,Pt_32_32,32,32,NHC,NHC,NHC-NHC
4262,36_48,Pd,-49.68,4262,Pd_36_48,36,48,NHC,NHC,NHC-NHC
9525,40_47,Au,-2.5489908457529964,9525,Au_40_47,40,47,NHC,NHC,NHC-NHC
2318,36_48,Cu,-13.3622,2318,Cu_36_48,36,48,NHC,NHC,NHC-NHC
16544,42_76,Pd,-50.54347220047202,16544,Pd_42_76,42,76,NHC,NHC,NHC-NHC
4369,40_40,Pd,-53.25,4369,Pd_40_40,40,40,NHC,NHC,NHC-NHC
19083,47_48,Pt,-53.476655623439,19083,Pt_47_48,47,48,NHC,NHC,NHC-NHC
2325,37_41,Cu,-17.867,2325,Cu_37_41,37,41,NHC,NHC,NHC-NHC
18542,35_36,Pt,-44.08279199250683,18542,Pt_35_36,35,36,NHC,NHC,NHC-NHC
10427,77_77,Au,0.8153760730201611,10427,Au_77_77,77,77,NHC,NHC,NHC-NHC
395,43_45,Ag,16.84,395,Ag_43_45,43,45,NHC,NHC,NHC-NHC
2212,32_49,Cu,-13.36,2212,Cu_32_49,32,49,NHC,NHC,NHC-NHC
18505,34_47,Pt,-49.78622517429176,18505,Pt_34_47,34,47,NHC,NHC,NHC-NHC
14519,38_47,Ni,-73.42433205942507,14519,Ni_38_47,38,47,NHC,NHC,NHC-NHC
9459,38_78,Au,5.746429997627274,9459,Au_38_78,38,78,NHC,NHC,NHC-NHC
18899,42_46,Pt,-49.693057503587625,18899,Pt_42_46,42,46,NHC,NHC,NHC-NHC
1181,34_40,Au,-6.22453,1181,Au_34_40,34,40,NHC,NHC,NHC-NHC
14280,32_78,Ni,-61.24917830331833,14280,Ni_32_78,32,78,NHC,NHC,NHC-NHC
14261,32_49,Ni,-72.0339282292698,14261,Ni_32_49,32,49,NHC,NHC,NHC-NHC
4429,42_43,Pd,-47.72,4429,Pd_42_43,42,43,NHC,NHC,NHC-NHC
19071,46_76,Pt,-46.32437890565416,19071,Pt_46_76,46,76,NHC,NHC,NHC-NHC
2371,40_41,Cu,-16.5631,2371,Cu_40_41,40,41,NHC,NHC,NHC-NHC
7167,41_42,Ag,8.445458832575241,7167,Ag_41_42,41,42,NHC,NHC,NHC-NHC
2391,41_44,Cu,-23.7854,2391,Cu_41_44,41,44,NHC,NHC,NHC-NHC
16515,40_76,Pd,-43.031200700919726,16515,Pd_40_76,40,76,NHC,NHC,NHC-NHC
14538,38_76,Ni,-69.15999769279733,14538,Ni_38_76,38,76,NHC,NHC,NHC-NHC
373,41_47,Ag,11.87,373,Ag_41_47,41,47,NHC,NHC,NHC-NHC
2359,39_43,Cu,-9.98443,2359,Cu_39_43,39,43,NHC,NHC,NHC-NHC
18673,38_49,Pt,-52.27509013670351,18673,Pt_38_49,38,49,NHC,NHC,NHC-NHC
4400,41_45,Pd,-48.57,4400,Pd_41_45,41,45,NHC,NHC,NHC-NHC
1238,36_40,Au,-11.3236,1238,Au_36_40,36,40,NHC,NHC,NHC-NHC
316,37_43,Ag,14.5869,316,Ag_37_43,37,43,NHC,NHC,NHC-NHC
4097,32_36,Pd,-50.01,4097,Pd_32_36,32,36,NHC,NHC,NHC-NHC
1331,40_48,Au,-1.1191,1331,Au_40_48,40,48,NHC,NHC,NHC-NHC
279,34_46,Ag,9.19748,279,Ag_34_46,34,46,NHC,NHC,NHC-NHC
6933,35_42,Ag,11.34118305395532,6933,Ag_35_42,35,42,NHC,NHC,NHC-NHC
2267,34_37,Cu,-14.59,2267,Cu_34_37,34,37,NHC,NHC,NHC-NHC
16545,42_77,Pd,-52.33443552879908,16545,Pd_42_77,42,77,NHC,NHC,NHC-NHC
11875,41_77,Cu,-8.097981920014718,11875,Cu_41_77,41,77,NHC,NHC,NHC-NHC
396,43_46,Ag,15.1685,396,Ag_43_46,43,46,NHC,NHC,NHC-NHC
335,38_46,Ag,10.5409,335,Ag_38_46,38,46,NHC,NHC,NHC-NHC
1176,34_34,Au,2.21813,1176,Au_34_34,34,34,NHC,NHC,NHC-NHC
14424,36_38,Ni,-80.55156650213758,14424,Ni_36_38,36,38,NHC,NHC,NHC-NHC
18813,40_42,Pt,-53.72869300717866,18813,Pt_40_42,40,42,NHC,NHC,NHC-NHC
11926,44_44,Cu,-4.169718461387674,11926,Cu_44_44,44,44,NHC,NHC,NHC-NHC
4431,42_47,Pd,-51.4,4431,Pd_42_47,42,47,NHC,NHC,NHC-NHC
18998,44_78,Pt,-44.82997945082752,18998,Pt_44_78,44,78,NHC,NHC,NHC-NHC
19011,45_48,Pt,-49.12823060522351,19011,Pt_45_48,45,48,NHC,NHC,NHC-NHC
14748,42_49,Ni,-70.30336946059833,14748,Ni_42_49,42,49,NHC,NHC,NHC-NHC
11972,45_76,Cu,-14.421756551106228,11972,Cu_45_76,45,76,NHC,NHC,NHC-NHC
4374,40_45,Pd,-43.28,4374,Pd_40_45,40,45,NHC,NHC,NHC-NHC
14801,43_78,Ni,-59.370428697482566,14801,Ni_43_78,43,78,NHC,NHC,NHC-NHC
4347,39_44,Pd,-46.52,4347,Pd_39_44,39,44,NHC,NHC,NHC-NHC
2469,46_48,Cu,-19.4411,2469,Cu_46_48,46,48,NHC,NHC,NHC-NHC
1239,36_41,Au,-3.01735,1239,Au_36_41,36,41,NHC,NHC,NHC-NHC
11910,43_48,Cu,-8.510718925710535,11910,Cu_43_48,43,48,NHC,NHC,NHC-NHC
424,47_48,Ag,8.95236,424,Ag_47_48,47,48,NHC,NHC,NHC-NHC
372,41_46,Ag,9.79534,372,Ag_41_46,41,46,NHC,NHC,NHC-NHC
4320,38_40,Pd,-51.33,4320,Pd_38_40,38,40,NHC,NHC,NHC-NHC
2400,42_47,Cu,-15.5281,2400,Cu_42_47,42,47,NHC,NHC,NHC-NHC
18549,35_45,Pt,-45.00938238033996,18549,Pt_35_45,35,45,NHC,NHC,NHC-NHC
1148,33_39,Au,-3.37,1148,Au_33_39,33,39,NHC,NHC,NHC-NHC
9475,39_78,Au,2.383776914561168,9475,Au_39_78,39,78,NHC,NHC,NHC-NHC
4178,34_40,Pd,-51.99,4178,Pd_34_40,34,40,NHC,NHC,NHC-NHC
18666,38_39,Pt,-51.08104166790872,18666,Pt_38_39,38,39,NHC,NHC,NHC-NHC
4104,32_43,Pd,-41.77,4104,Pd_32_43,32,43,NHC,NHC,NHC-NHC
7242,43_77,Ag,16.51909797838016,7242,Ag_43_77,43,77,NHC,NHC,NHC-NHC
18461,33_43,Pt,-48.44037502714491,18461,Pt_33_43,33,43,NHC,NHC,NHC-NHC
11889,42_44,Cu,-12.525032441830264,11889,Cu_42_44,42,44,NHC,NHC,NHC-NHC
18922,42_78,Pt,-41.33870354566898,18922,Pt_42_78,42,78,NHC,NHC,NHC-NHC
14580,39_76,Ni,-74.24550806803745,14580,Ni_39_76,39,76,NHC,NHC,NHC-NHC
2340,38_40,Cu,-18.155,2340,Cu_38_40,38,40,NHC,NHC,NHC-NHC
18699,39_43,Pt,-48.90939003143285,18699,Pt_39_43,39,43,NHC,NHC,NHC-NHC
7183,41_76,Ag,26.807406795880524,7183,Ag_41_76,41,76,NHC,NHC,NHC-NHC
16646,49_76,Pd,-50.70589904369263,16646,Pd_49_76,49,76,NHC,NHC,NHC-NHC
7192,42_42,Ag,8.022567561100004,7192,Ag_42_42,42,42,NHC,NHC,NHC-NHC
2372,40_42,Cu,-19.7827,2372,Cu_40_42,40,42,NHC,NHC,NHC-NHC
328,38_38,Ag,14.99,328,Ag_38_38,38,38,NHC,NHC,NHC-NHC
2421,43_45,Cu,-3.76,2421,Cu_43_45,43,45,NHC,NHC,NHC-NHC
14247,32_33,Ni,-73.57837619789643,14247,Ni_32_33,32,33,NHC,NHC,NHC-NHC
18702,39_47,Pt,-49.07453370908479,18702,Pt_39_47,39,47,NHC,NHC,NHC-NHC
7312,46_46,Ag,11.009216622333042,7312,Ag_46_46,46,46,NHC,NHC,NHC-NHC
4291,37_46,Pd,-47.71,4291,Pd_37_46,37,46,NHC,NHC,NHC-NHC
14972,48_76,Ni,-82.04294764966471,14972,Ni_48_76,48,76,NHC,NHC,NHC-NHC
1328,40_42,Au,-6.81917,1328,Au_40_42,40,42,NHC,NHC,NHC-NHC
2211,32_48,Cu,-9.99005,2211,Cu_32_48,32,48,NHC,NHC,NHC-NHC
18626,37_39,Pt,-51.11213037679408,18626,Pt_37_39,37,39,NHC,NHC,NHC-NHC
1415,44_47,Au,-0.715894,1415,Au_44_47,44,47,NHC,NHC,NHC-NHC
14250,32_36,Ni,-78.10565052600577,14250,Ni_32_36,32,36,NHC,NHC,NHC-NHC
1211,35_41,Au,6.43,1211,Au_35_41,35,41,NHC,NHC,NHC-NHC
387,42_49,Ag,6.8243,387,Ag_42_49,42,49,NHC,NHC,NHC-NHC
11696,37_46,Cu,-25.114293364807963,11696,Cu_37_46,37,46,NHC,NHC,NHC-NHC
14837,44_77,Ni,-75.13958627395914,14837,Ni_44_77,44,77,NHC,NHC,NHC-NHC
17098,76_78,Pd,-51.35970164263563,17098,Pd_76_78,76,78,NHC,NHC,NHC-NHC
12707,77_77,Cu,-6.450230064867355,12707,Cu_77_77,77,77,NHC,NHC,NHC-NHC
14253,32_40,Ni,-79.17626305660815,14253,Ni_32_40,32,40,NHC,NHC,NHC-NHC
2422,43_49,Cu,-11.95,2422,Cu_43_49,43,49,NHC,NHC,NHC-NHC
6899,34_49,Ag,9.76005758967949,6899,Ag_34_49,34,49,NHC,NHC,NHC-NHC
