Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
16472,38_79,Pd,-40.20566399638483,16472,Pd_38_79,38,79,NHC,Other,NHC-Other
11938,44_68,Cu,-2.8298105720896274,11938,Cu_44_68,44,68,NHC,Other,NHC-Other
4519,44_70,Pd,-46.46,4519,Pd_44_70,44,70,NHC,Other,NHC-Other
8212,78_86,Ag,18.91540781124786,8212,Ag_78_86,78,86,NHC,Other,NHC-Other
15736,78_87,Ni,-60.61039020084718,15736,Ni_78_87,78,87,NHC,Other,NHC-Other
6928,34_88,Ag,16.67185856186552,6928,Ag_34_88,34,88,NHC,Other,NHC-Other
16488,39_79,Pd,-39.35200239540427,16488,Pd_39_79,39,79,NHC,Other,NHC-Other
11925,43_89,Cu,-5.324062345200218,11925,Cu_43_89,43,89,NHC,Other,NHC-Other
12038,48_87,Cu,-8.570330380884116,12038,Cu_48_87,48,87,NHC,Other,NHC-Other
16567,43_86,Pd,-43.22275226005877,16567,Pd_43_86,43,86,NHC,Other,NHC-Other
394,42_71,Ag,24.1736,394,Ag_42_71,42,71,NHC,Other,NHC-Other
14829,44_69,Ni,-78.37255756830564,14829,Ni_44_69,44,69,NHC,Other,NHC-Other
12531,67_78,Cu,7.618510613930994,12531,Cu_67_78,67,78,Other,NHC,NHC-Other
14983,48_88,Ni,-79.36501300139935,14983,Ni_48_88,48,88,NHC,Other,NHC-Other
8200,77_85,Ag,13.095450315231574,8200,Ag_77_85,77,85,NHC,Other,NHC-Other
7161,40_85,Ag,11.132809483271558,7161,Ag_40_85,40,85,NHC,Other,NHC-Other
18991,44_70,Pt,-51.35445091656584,18991,Pt_44_70,44,70,NHC,Other,NHC-Other
9372,34_88,Au,0.1274508581846021,9372,Au_34_88,34,88,NHC,Other,NHC-Other
9573,41_87,Au,-2.51978155218967,9573,Au_41_87,41,87,NHC,Other,NHC-Other
9717,49_85,Au,-3.796376687758311,9717,Au_49_85,49,85,NHC,Other,NHC-Other
8201,77_87,Ag,15.0240901830839,8201,Ag_77_87,77,87,NHC,Other,NHC-Other
16462,37_87,Pd,-53.87095944554312,16462,Pd_37_87,37,87,NHC,Other,NHC-Other
16581,44_86,Pd,-44.32287337684829,16581,Pd_44_86,44,86,NHC,Other,NHC-Other
9610,43_90,Au,3.5450441576176672,9610,Au_43_90,43,90,NHC,Other,NHC-Other
14739,41_88,Ni,-82.71752750063024,14739,Ni_41_88,41,88,NHC,Other,NHC-Other
