Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
19086,47_52,Pt,-50.180733967492415,19086,Pt_47_52,47,52,NHC,Py,NHC-Py
16728,53_76,Pd,-48.42919563803298,16728,Pd_53_76,53,76,Py,NHC,NHC-Py
4615,48_60,Pd,-44.41,4615,Pd_48_60,48,60,NHC,Py,NHC-Py
2224,32_62,Cu,-3.36,2224,Cu_32_62,32,62,NHC,Py,NHC-Py
7397,49_51,Ag,18.64392950314505,7397,Ag_49_51,49,51,NHC,Py,NHC-Py
7542,51_78,Ag,29.59296458856261,7542,Ag_51_78,51,78,Py,NHC,NHC-Py
6839,32_63,Ag,18.11961840566073,6839,Ag_32_63,32,63,NHC,Py,NHC-Py
18907,42_56,Pt,-46.61348897825519,18907,Pt_42_56,42,56,NHC,Py,NHC-Py
9549,41_53,Au,5.056759693419735,9549,Au_41_53,41,53,NHC,Py,NHC-Py
14896,46_60,Ni,-71.54781839315547,14896,Ni_46_60,46,60,NHC,Py,NHC-Py
1485,48_50,Au,-1.53,1485,Au_48_50,48,50,NHC,Py,NHC-Py
1407,43_66,Au,5.38,1407,Au_43_66,43,66,NHC,Py,NHC-Py
7144,40_52,Ag,15.89451438251126,7144,Ag_40_52,40,52,NHC,Py,NHC-Py
14923,47_58,Ni,-83.02561341294495,14923,Ni_47_58,47,58,NHC,Py,NHC-Py
4191,34_56,Pd,-42.5,4191,Pd_34_56,34,56,NHC,Py,NHC-Py
2382,40_60,Cu,-19.7397,2382,Cu_40_60,40,60,NHC,Py,NHC-Py
14270,32_62,Ni,-71.14820012016571,14270,Ni_32_62,32,62,NHC,Py,NHC-Py
14998,49_63,Ni,-73.06421639199834,14998,Ni_49_63,49,63,NHC,Py,NHC-Py
7229,43_62,Ag,20.101535605470417,7229,Ag_43_62,43,62,NHC,Py,NHC-Py
4355,39_53,Pd,-44.51,4355,Pd_39_53,39,53,NHC,Py,NHC-Py
297,36_52,Ag,16.21,297,Ag_36_52,36,52,NHC,Py,NHC-Py
4571,46_61,Pd,-49.45,4571,Pd_46_61,46,61,NHC,Py,NHC-Py
4229,35_54,Pd,-39.33,4229,Pd_35_54,35,54,NHC,Py,NHC-Py
4411,41_59,Pd,-45.85,4411,Pd_41_59,41,59,NHC,Py,NHC-Py
2502,48_51,Cu,-18.08,2502,Cu_48_51,48,51,NHC,Py,NHC-Py
6876,33_60,Ag,17.692944869180792,6876,Ag_33_60,33,60,NHC,Py,NHC-Py
18833,40_65,Pt,-45.70869306453096,18833,Pt_40_65,40,65,NHC,Py,NHC-Py
6868,33_51,Ag,19.89555889053736,6868,Ag_33_51,33,51,NHC,Py,NHC-Py
14568,39_60,Ni,-76.97287465551926,14568,Ni_39_60,39,60,NHC,Py,NHC-Py
4240,35_66,Pd,-38.24,4240,Pd_35_66,35,66,NHC,Py,NHC-Py
7171,41_53,Ag,20.52854699990712,7171,Ag_41_53,41,53,NHC,Py,NHC-Py
1440,45_51,Au,0.97,1440,Au_45_51,45,51,NHC,Py,NHC-Py
426,47_57,Ag,13.56,426,Ag_47_57,47,57,NHC,Py,NHC-Py
14754,42_56,Ni,-64.96810277215263,14754,Ni_42_56,42,56,NHC,Py,NHC-Py
377,41_56,Ag,17.34,377,Ag_41_56,41,56,NHC,Py,NHC-Py
7195,42_50,Ag,17.562465301933116,7195,Ag_42_50,42,50,NHC,Py,NHC-Py
1136,32_61,Au,1.55,1136,Au_32_61,32,61,NHC,Py,NHC-Py
4199,34_64,Pd,-50.12,4199,Pd_34_64,34,64,NHC,Py,NHC-Py
14891,46_55,Ni,-68.0081147509336,14891,Ni_46_55,46,55,NHC,Py,NHC-Py
430,47_63,Ag,14.78,430,Ag_47_63,47,63,NHC,Py,NHC-Py
4408,41_55,Pd,-45.26,4408,Pd_41_55,41,55,NHC,Py,NHC-Py
2424,43_52,Cu,-2.32,2424,Cu_43_52,43,52,NHC,Py,NHC-Py
11664,36_54,Cu,-2.8245860821334645,11664,Cu_36_54,36,54,NHC,Py,NHC-Py
14308,33_56,Ni,-72.74059100150771,14308,Ni_33_56,33,56,NHC,Py,NHC-Py
9628,45_66,Au,2.97606253518461,9628,Au_45_66,45,66,NHC,Py,NHC-Py
16510,40_60,Pd,-49.75731930053735,16510,Pd_40_60,40,60,NHC,Py,NHC-Py
4612,48_56,Pd,-45.32,4612,Pd_48_56,48,56,NHC,Py,NHC-Py
7230,43_63,Ag,18.619964969082503,7230,Ag_43_63,43,63,NHC,Py,NHC-Py
7261,44_59,Ag,18.22196547602653,7261,Ag_44_59,44,59,NHC,Py,NHC-Py
1339,40_57,Au,2.46,1339,Au_40_57,40,57,NHC,Py,NHC-Py
9428,37_58,Au,3.4619587355773547,9428,Au_37_58,37,58,NHC,Py,NHC-Py
2217,32_55,Cu,-3.66,2217,Cu_32_55,32,55,NHC,Py,NHC-Py
4597,47_61,Pd,-49.74,4597,Pd_47_61,47,61,NHC,Py,NHC-Py
1293,38_63,Au,-0.01,1293,Au_38_63,38,63,NHC,Py,NHC-Py
14403,35_64,Ni,-68.81773753277957,14403,Ni_35_64,35,64,NHC,Py,NHC-Py
18715,39_61,Pt,-51.360224378491694,18715,Pt_39_61,39,61,NHC,Py,NHC-Py
14317,33_66,Ni,-70.34076577246014,14317,Ni_33_66,33,66,NHC,Py,NHC-Py
14961,48_61,Ni,-71.3022872228612,14961,Ni_48_61,48,61,NHC,Py,NHC-Py
18554,35_50,Pt,-47.49898528338235,18554,Pt_35_50,35,50,NHC,Py,NHC-Py
6948,35_59,Ag,19.32608066947432,6948,Ag_35_59,35,59,NHC,Py,NHC-Py
1318,39_60,Au,0.07,1318,Au_39_60,39,60,NHC,Py,NHC-Py
4475,43_63,Pd,-42.38,4475,Pd_43_63,43,63,NHC,Py,NHC-Py
15236,56_78,Ni,-50.50071042877971,15236,Ni_56_78,56,78,Py,NHC,NHC-Py
7909,63_76,Ag,18.84666639578063,7909,Ag_63_76,63,76,Py,NHC,NHC-Py
14356,34_62,Ni,-75.69662186058122,14356,Ni_34_62,34,62,NHC,Py,NHC-Py
2521,49_58,Cu,-9.36,2521,Cu_49_58,49,58,NHC,Py,NHC-Py
7509,50_78,Ag,29.354442727853893,7509,Ag_50_78,50,78,Py,NHC,NHC-Py
14479,37_51,Ni,-75.68934109223483,14479,Ni_37_51,37,51,NHC,Py,NHC-Py
18429,32_55,Pt,-49.68226922433678,18429,Pt_32_55,32,55,NHC,Py,NHC-Py
7661,55_76,Ag,14.92552427694318,7661,Ag_55_76,55,76,Py,NHC,NHC-Py
12202,53_76,Cu,-7.922770298057003,12202,Cu_53_76,53,76,Py,NHC,NHC-Py
2505,48_54,Cu,-14.94,2505,Cu_48_54,48,54,NHC,Py,NHC-Py
10181,64_77,Au,1.4436581514892168,10181,Au_64_77,64,77,Py,NHC,NHC-Py
18948,43_58,Pt,-50.30522698200366,18948,Pt_43_58,43,58,NHC,Py,NHC-Py
1294,38_64,Au,-0.48,1294,Au_38_64,38,64,NHC,Py,NHC-Py
4336,38_62,Pd,-44.39,4336,Pd_38_62,38,62,NHC,Py,NHC-Py
4112,32_54,Pd,-41.9,4112,Pd_32_54,32,54,NHC,Py,NHC-Py
2873,38_58,Ni,-74.88,2873,Ni_38_58,38,58,NHC,Py,NHC-Py
4353,39_51,Pd,-52.61,4353,Pd_39_51,39,51,NHC,Py,NHC-Py
18475,33_63,Pt,-52.24896124420775,18475,Pt_33_63,33,63,NHC,Py,NHC-Py
14267,32_57,Ni,-70.9934467561834,14267,Ni_32_57,32,57,NHC,Py,NHC-Py
2460,45_60,Cu,-13.75,2460,Cu_45_60,45,60,NHC,Py,NHC-Py
16730,53_78,Pd,-30.41871753562009,16730,Pd_53_78,53,78,Py,NHC,NHC-Py
14483,37_56,Ni,-73.17025636624021,14483,Ni_37_56,37,56,NHC,Py,NHC-Py
1399,43_57,Au,2.98,1399,Au_43_57,43,57,NHC,Py,NHC-Py
2347,38_55,Cu,-9.22,2347,Cu_38_55,38,55,NHC,Py,NHC-Py
2485,46_64,Cu,-10.23,2485,Cu_46_64,46,64,NHC,Py,NHC-Py
19610,64_76,Pt,-52.03077564146952,19610,Pt_64_76,64,76,Py,NHC,NHC-Py
18600,36_61,Pt,-48.76887850435014,18600,Pt_36_61,36,61,NHC,Py,NHC-Py
1316,39_58,Au,0.38,1316,Au_39_58,39,58,NHC,Py,NHC-Py
18471,33_59,Pt,-51.53482107061427,18471,Pt_33_59,33,59,NHC,Py,NHC-Py
14921,47_56,Ni,-74.26910021636286,14921,Ni_47_56,47,56,NHC,Py,NHC-Py
14268,32_59,Ni,-69.35944095200102,14268,Ni_32_59,32,59,NHC,Py,NHC-Py
2258,33_65,Cu,-10.37,2258,Cu_33_65,33,65,NHC,Py,NHC-Py
15000,49_66,Ni,-63.91342102285125,15000,Ni_49_66,49,66,NHC,Py,NHC-Py
12353,59_77,Cu,-9.625598436352448,12353,Cu_59_77,59,77,Py,NHC,NHC-Py
2215,32_53,Cu,-4.09,2215,Cu_32_53,32,53,NHC,Py,NHC-Py
6834,32_56,Ag,19.652961463085376,6834,Ag_32_56,32,56,NHC,Py,NHC-Py
18875,41_63,Pt,-50.1287989285338,18875,Pt_41_63,41,63,NHC,Py,NHC-Py
19588,63_78,Pt,-44.50151330643712,19588,Pt_63_78,63,78,Py,NHC,NHC-Py
19120,48_52,Pt,-51.237794503656914,19120,Pt_48_52,48,52,NHC,Py,NHC-Py
9550,41_58,Au,1.2805522005510284,9550,Au_41_58,41,58,NHC,Py,NHC-Py
18985,44_60,Pt,-51.83600544073852,18985,Pt_44_60,44,60,NHC,Py,NHC-Py
7322,46_62,Ag,19.36473930811917,7322,Ag_46_62,46,62,NHC,Py,NHC-Py
14992,49_57,Ni,-68.82278304918145,14992,Ni_49_57,49,57,NHC,Py,NHC-Py
7374,48_62,Ag,14.69803940577549,7374,Ag_48_62,48,62,NHC,Py,NHC-Py
437,48_65,Ag,14.42,437,Ag_48_65,48,65,NHC,Py,NHC-Py
381,41_61,Ag,18.0685,381,Ag_41_61,41,61,NHC,Py,NHC-Py
2248,33_53,Cu,-10.9,2248,Cu_33_53,33,53,NHC,Py,NHC-Py
11757,39_61,Cu,-13.5040408767818,11757,Cu_39_61,39,61,NHC,Py,NHC-Py
1497,48_65,Au,-2.27,1497,Au_48_65,48,65,NHC,Py,NHC-Py
7198,42_61,Ag,17.580948345465004,7198,Ag_42_61,42,61,NHC,Py,NHC-Py
440,49_56,Ag,18.3277,440,Ag_49_56,49,56,NHC,Py,NHC-Py
4416,41_65,Pd,-46.35,4416,Pd_41_65,41,65,NHC,Py,NHC-Py
18870,41_58,Pt,-49.73322523840761,18870,Pt_41_58,41,58,NHC,Py,NHC-Py
11661,36_50,Cu,-4.769952062721131,11661,Cu_36_50,36,50,NHC,Py,NHC-Py
1426,44_62,Au,1.25,1426,Au_44_62,44,62,NHC,Py,NHC-Py
18944,43_54,Pt,-47.14463332880405,18944,Pt_43_54,43,54,NHC,Py,NHC-Py
367,40_60,Ag,13.61,367,Ag_40_60,40,60,NHC,Py,NHC-Py
7720,57_76,Ag,18.8789411339676,7720,Ag_57_76,57,76,Py,NHC,NHC-Py
337,38_63,Ag,17.38,337,Ag_38_63,38,63,NHC,Py,NHC-Py
15478,65_77,Ni,-68.45508468827757,15478,Ni_65_77,65,77,Py,NHC,NHC-Py
1492,48_57,Au,-1.28,1492,Au_48_57,48,57,NHC,Py,NHC-Py
18562,35_61,Pt,-45.4812686278965,18562,Pt_35_61,35,61,NHC,Py,NHC-Py
16816,59_76,Pd,-43.7354150905594,16816,Pd_59_76,59,76,Py,NHC,NHC-Py
19015,45_54,Pt,-46.135358797517256,19015,Pt_45_54,45,54,NHC,Py,NHC-Py
4595,47_59,Pd,-46.42,4595,Pd_47_59,47,59,NHC,Py,NHC-Py
2428,43_56,Cu,-1.48,2428,Cu_43_56,43,56,NHC,Py,NHC-Py
14815,44_51,Ni,-67.4508276636625,14815,Ni_44_51,44,51,NHC,Py,NHC-Py
6954,35_66,Ag,26.124278706745827,6954,Ag_35_66,35,66,NHC,Py,NHC-Py
19055,46_55,Pt,-46.160180958075216,19055,Pt_46_55,46,55,NHC,Py,NHC-Py
2520,49_57,Cu,-11.47,2520,Cu_49_57,49,57,NHC,Py,NHC-Py
363,40_51,Ag,19.58,363,Ag_40_51,40,51,NHC,Py,NHC-Py
442,49_61,Ag,18.9108,442,Ag_49_61,49,61,NHC,Py,NHC-Py
16762,55_76,Pd,-49.18129263629089,16762,Pd_55_76,55,76,Py,NHC,NHC-Py
7321,46_61,Ag,13.111129942553816,7321,Ag_46_61,46,61,NHC,Py,NHC-Py
14488,37_63,Ni,-74.09343664132757,14488,Ni_37_63,37,63,NHC,Py,NHC-Py
4149,33_50,Pd,-44.19,4149,Pd_33_50,33,50,NHC,Py,NHC-Py
11858,41_54,Cu,-19.03055746032624,11858,Cu_41_54,41,54,NHC,Py,NHC-Py
4505,44_58,Pd,-43.36,4505,Pd_44_58,44,58,NHC,Py,NHC-Py
15145,52_76,Ni,-67.09104368003318,15145,Ni_52_76,52,76,Py,NHC,NHC-Py
4197,34_62,Pd,-49.35,4197,Pd_34_62,34,62,NHC,Py,NHC-Py
4115,32_57,Pd,-44.16,4115,Pd_32_57,32,57,NHC,Py,NHC-Py
18712,39_58,Pt,-51.58107446007489,18712,Pt_39_58,39,58,NHC,Py,NHC-Py
14791,43_63,Ni,-71.32232220144942,14791,Ni_43_63,43,63,NHC,Py,NHC-Py
19124,48_59,Pt,-52.61270268574299,19124,Pt_48_59,48,59,NHC,Py,NHC-Py
11832,40_63,Cu,-15.13858470733976,11832,Cu_40_63,40,63,NHC,Py,NHC-Py
7219,43_50,Ag,19.304231968475506,7219,Ag_43_50,43,50,NHC,Py,NHC-Py
2511,48_64,Cu,-12.47,2511,Cu_48_64,48,64,NHC,Py,NHC-Py
414,45_62,Ag,15.98,414,Ag_45_62,45,62,NHC,Py,NHC-Py
7199,42_62,Ag,17.4232949619618,7199,Ag_42_62,42,62,NHC,Py,NHC-Py
4276,36_66,Pd,-45.21,4276,Pd_36_66,36,66,NHC,Py,NHC-Py
16935,66_76,Pd,-47.73110188583087,16935,Pd_66_76,66,76,Py,NHC,NHC-Py
4586,47_50,Pd,-46.41,4586,Pd_47_50,47,50,NHC,Py,NHC-Py
12255,55_76,Cu,-12.01545259426348,12255,Cu_55_76,55,76,Py,NHC,NHC-Py
19317,53_76,Pt,-47.47550416402373,19317,Pt_53_76,53,76,Py,NHC,NHC-Py
14347,34_53,Ni,-69.76644677724107,14347,Ni_34_53,34,53,NHC,Py,NHC-Py
2517,49_51,Cu,-9.2,2517,Cu_49_51,49,51,NHC,Py,NHC-Py
