Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
10459,79_90,Au,7.604022920590069,10459,Au_79_90,79,90,Other,Other,Other-Other
2650,68_70,Cu,0.7,2650,Cu_68_70,68,70,Other,Other,Other-Other
15519,67_80,Ni,-55.20673391126911,15519,Ni_67_80,67,80,Other,Other,Other-Other
16986,69_79,Pd,-34.687127670506015,16986,Pd_69_79,69,79,Other,Other,Other-Other
20024,87_89,Pt,-56.07919955126272,20024,Pt_87_89,87,89,Other,Other,Other-Other
15861,87_88,Ni,-72.3832213102869,15861,Ni_87_88,87,88,Other,Other,Other-Other
19974,80_80,Pt,-47.6433468932737,19974,Pt_80_80,80,80,Other,Other,Other-Other
19983,80_90,Pt,-53.65140175907436,19983,Pt_80_90,80,90,Other,Other,Other-Other
12841,85_86,Cu,-9.942643733884324,12841,Cu_85_86,85,86,Other,Other,Other-Other
19692,68_89,Pt,-55.58265492567443,19692,Pt_68_89,68,89,Other,Other,Other-Other
15639,71_85,Ni,-53.99465978545777,15639,Ni_71_85,71,85,Other,Other,Other-Other
8224,79_88,Ag,22.980522683719755,8224,Ag_79_88,79,88,Other,Other,Other-Other
10341,70_87,Au,0.0591582394699798,10341,Au_70_87,70,87,Other,Other,Other-Other
19905,79_86,Pt,-49.615299269687966,19905,Pt_79_86,79,86,Other,Other,Other-Other
8325,87_87,Ag,20.393374666920863,8325,Ag_87_87,87,87,Other,Other,Other-Other
15854,85_90,Ni,-68.96241661501699,15854,Ni_85_90,85,90,Other,Other,Other-Other
15856,86_87,Ni,-74.52643853986228,15856,Ni_86_87,86,87,Other,Other,Other-Other
10249,67_86,Au,6.154841498660971,10249,Au_67_86,67,86,Other,Other,Other-Other
19978,80_85,Pt,-58.062357723400055,19978,Pt_80_85,80,85,Other,Other,Other-Other
17136,79_85,Pd,-42.34203418657125,17136,Pd_79_85,79,85,Other,Other,Other-Other
8004,67_87,Ag,25.03201764183177,8004,Ag_67_87,67,87,Other,Other,Other-Other
4949,71_71,Pd,-7.92,4949,Pd_71_71,71,71,Other,Other,Other-Other
15541,68_87,Ni,-69.46381019672845,15541,Ni_68_87,68,87,Other,Other,Other-Other
491,68_71,Ag,37.95,491,Ag_68_71,68,71,Other,Other,Other-Other
2647,67_70,Cu,-1.3,2647,Cu_67_70,67,70,Other,Other,Other-Other
10519,80_90,Au,7.789471582953411,10519,Au_80_90,80,90,Other,Other,Other-Other
16975,68_85,Pd,-46.1730709905969,16975,Pd_68_85,68,85,Other,Other,Other-Other
20017,85_90,Pt,-51.41289873771893,20017,Pt_85_90,85,90,Other,Other,Other-Other
17198,85_89,Pd,-50.85539793329372,17198,Pd_85_89,85,89,Other,Other,Other-Other
4934,67_69,Pd,-43.66,4934,Pd_67_69,67,69,Other,Other,Other-Other
10554,86_87,Au,-1.279066588540445,10554,Au_86_87,86,87,Other,Other,Other-Other
8025,69_69,Ag,27.17981455422705,8025,Ag_69_69,69,69,Other,Other,Other-Other
3003,68_71,Ni,-39.65,3003,Ni_68_71,68,71,Other,Other,Other-Other
12847,86_88,Cu,3.398818872490665,12847,Cu_86_88,86,88,Other,Other,Other-Other
17132,79_80,Pd,-34.8294768256892,17132,Pd_79_80,79,80,Other,Other,Other-Other
8287,80_88,Ag,22.19138743406802,8287,Ag_80_88,80,88,Other,Other,Other-Other
12554,68_88,Cu,8.468199285576702,12554,Cu_68_88,68,88,Other,Other,Other-Other
8108,70_89,Ag,20.89653340583027,8108,Ag_70_89,70,89,Other,Other,Other-Other
12634,71_80,Cu,15.844584701015265,12634,Cu_71_80,71,80,Other,Other,Other-Other
12541,67_89,Cu,-1.308603487821529,12541,Cu_67_89,67,89,Other,Other,Other-Other
16950,67_68,Pd,-33.0029261950549,16950,Pd_67_68,67,68,Other,Other,Other-Other
15547,69_71,Ni,-50.043722662026994,15547,Ni_69_71,69,71,Other,Other,Other-Other
15563,69_89,Ni,-75.79879801551579,15563,Ni_69_89,69,89,Other,Other,Other-Other
10269,68_90,Au,5.643882921693148,10269,Au_68_90,68,90,Other,Other,Other-Other
17165,80_86,Pd,-49.60018519406731,17165,Pd_80_86,80,86,Other,Other,Other-Other
15562,69_88,Ni,-74.38681862491649,15562,Ni_69_88,69,88,Other,Other,Other-Other
12551,68_85,Cu,-2.138302044098964,12551,Cu_68_85,68,85,Other,Other,Other-Other
15857,86_88,Ni,-73.31085038797755,15857,Ni_86_88,86,88,Other,Other,Other-Other
10555,86_89,Au,-2.75225866335677,10555,Au_86_89,86,89,Other,Other,Other-Other
10564,89_89,Au,-2.580598449916579,10564,Au_89_89,89,89,Other,Other,Other-Other
12568,69_80,Cu,8.328347509814193,12568,Cu_69_80,69,80,Other,Other,Other-Other
15745,79_86,Ni,-67.5714594561723,15745,Ni_79_86,79,86,Other,Other,Other-Other
19982,80_89,Pt,-56.80567774664087,19982,Pt_80_89,80,89,Other,Other,Other-Other
15853,85_88,Ni,-76.46775022204383,15853,Ni_85_88,85,88,Other,Other,Other-Other
12854,88_88,Cu,10.676154995104298,12854,Cu_88_88,88,88,Other,Other,Other-Other
15564,69_90,Ni,-61.19101846193371,15564,Ni_69_90,69,90,Other,Other,Other-Other
16979,68_90,Pd,-39.19421069712553,16979,Pd_68_90,68,90,Other,Other,Other-Other
12848,86_89,Cu,-1.5220389736205109,12848,Cu_86_89,86,89,Other,Other,Other-Other
15634,71_79,Ni,-44.26374311601103,15634,Ni_71_79,71,79,Other,Other,Other-Other
493,70_71,Ag,32.3945,493,Ag_70_71,70,71,Other,Other,Other-Other
8286,80_87,Ag,24.378187513852023,8286,Ag_80_87,80,87,Other,Other,Other-Other
15865,88_89,Ni,-75.96076196993818,15865,Ni_88_89,88,89,Other,Other,Other-Other
8039,69_85,Ag,22.280927131636417,8039,Ag_69_85,69,85,Other,Other,Other-Other
16978,68_89,Pd,-43.55796143287444,16978,Pd_68_89,68,89,Other,Other,Other-Other
490,68_70,Ag,27.39,490,Ag_68_70,68,70,Other,Other,Other-Other
19776,70_70,Pt,-50.70193170275888,19776,Pt_70_70,70,70,Other,Other,Other-Other
8122,71_90,Ag,30.21861369421822,8122,Ag_71_90,71,90,Other,Other,Other-Other
10557,87_87,Au,1.554752556796302,10557,Au_87_87,87,87,Other,Other,Other-Other
19981,80_88,Pt,-54.16678183724434,19981,Pt_80_88,80,88,Other,Other,Other-Other
8041,69_87,Ag,19.725472074132995,8041,Ag_69_87,69,87,Other,Other,Other-Other
12639,71_86,Cu,16.150702523460495,12639,Cu_71_86,71,86,Other,Other,Other-Other
10252,67_89,Au,6.205844349635299,10252,Au_67_89,67,89,Other,Other,Other-Other
8014,68_80,Ag,34.36139335417829,8014,Ag_68_80,68,80,Other,Other,Other-Other
5562,68_71,Pt,-29.11,5562,Pt_68_71,68,71,Other,Other,Other-Other
15818,80_87,Ni,-65.42743528152641,15818,Ni_80_87,80,87,Other,Other,Other-Other
15821,80_90,Ni,-57.54547231244214,15821,Ni_80_90,80,90,Other,Other,Other-Other
20022,87_87,Pt,-51.53769097656914,20022,Pt_87_87,87,87,Other,Other,Other-Other
10251,67_88,Au,10.97561690191651,10251,Au_67_88,67,88,Other,Other,Other-Other
10267,68_88,Au,5.063283024675911,10267,Au_68_88,68,88,Other,Other,Other-Other
12730,79_79,Cu,13.53312266949797,12730,Cu_79_79,79,79,Other,Other,Other-Other
12555,68_89,Cu,3.4141114796802867,12555,Cu_68_89,68,89,Other,Other,Other-Other
10550,85_88,Au,-2.4755936311994446,10550,Au_85_88,85,88,Other,Other,Other-Other
17020,70_85,Pd,-49.24305530186393,17020,Pd_70_85,70,85,Other,Other,Other-Other
15811,80_80,Ni,-58.46249060687842,15811,Ni_80_80,80,80,Other,Other,Other-Other
15820,80_89,Ni,-66.35744280052313,15820,Ni_80_89,80,89,Other,Other,Other-Other
12557,69_69,Cu,5.264934412087314,12557,Cu_69_69,69,69,Other,Other,Other-Other
12573,69_86,Cu,3.5431514679512475,12573,Cu_69_86,69,86,Other,Other,Other-Other
15525,67_88,Ni,-64.13605897650996,15525,Ni_67_88,67,88,Other,Other,Other-Other
15528,68_69,Ni,-66.77430985499814,15528,Ni_68_69,68,69,Other,Other,Other-Other
10339,70_85,Au,-3.168360377108911,10339,Au_70_85,70,85,Other,Other,Other-Other
8221,79_85,Ag,23.531493104674155,8221,Ag_79_85,79,85,Other,Other,Other-Other
19666,67_79,Pt,-43.87884537091304,19666,Pt_67_79,67,79,Other,Other,Other-Other
19695,69_70,Pt,-51.378934089050745,19695,Pt_69_70,69,70,Other,Other,Other-Other
19805,71_90,Pt,-33.404681208063266,19805,Pt_71_90,71,90,Other,Other,Other-Other
10344,70_90,Au,2.40100388686551,10344,Au_70_90,70,90,Other,Other,Other-Other
8106,70_86,Ag,15.875012527496438,8106,Ag_70_86,70,86,Other,Other,Other-Other
8013,68_79,Ag,33.41316680748423,8013,Ag_68_79,68,79,Other,Other,Other-Other
12922,90_90,Cu,-3.729324629966868,12922,Cu_90_90,90,90,Other,Other,Other-Other
15554,69_79,Ni,-59.66823343183205,15554,Ni_69_79,69,79,Other,Other,Other-Other
15559,69_85,Ni,-76.53608821357193,15559,Ni_69_85,69,85,Other,Other,Other-Other
19661,67_71,Pt,-30.71424905984168,19661,Pt_67_71,67,71,Other,Other,Other-Other
12810,80_86,Cu,4.8694711921561975,12810,Cu_80_86,80,86,Other,Other,Other-Other
12556,68_90,Cu,2.707536288013216,12556,Cu_68_90,68,90,Other,Other,Other-Other
12844,85_89,Cu,-8.499149443086935,12844,Cu_85_89,85,89,Other,Other,Other-Other
8040,69_86,Ag,22.38934114816948,8040,Ag_69_86,69,86,Other,Other,Other-Other
12853,87_90,Cu,-2.1827103254472604,12853,Cu_87_90,87,90,Other,Other,Other-Other
12642,71_90,Cu,11.590856965340208,12642,Cu_71_90,71,90,Other,Other,Other-Other
20014,85_87,Pt,-56.61985128427477,20014,Pt_85_87,85,87,Other,Other,Other-Other
15862,87_89,Ni,-72.80500944293453,15862,Ni_87_89,87,89,Other,Other,Other-Other
15544,68_90,Ni,-60.58384879211371,15544,Ni_68_90,68,90,Other,Other,Other-Other
4935,67_71,Pd,-14.19,4935,Pd_67_71,67,71,Other,Other,Other-Other
15507,67_67,Ni,-49.073987616284285,15507,Ni_67_67,67,67,Other,Other,Other-Other
19704,69_80,Pt,-50.53873149384162,19704,Pt_69_80,69,80,Other,Other,Other-Other
10278,69_79,Au,7.760973189353535,10278,Au_69_79,69,79,Other,Other,Other-Other
12641,71_89,Cu,15.055156606249511,12641,Cu_71_89,71,89,Other,Other,Other-Other
8279,80_80,Ag,31.543294000453898,8279,Ag_80_80,80,80,Other,Other,Other-Other
15863,87_90,Ni,-62.39562337545794,15863,Ni_87_90,87,90,Other,Other,Other-Other
8225,79_90,Ag,21.339646371867275,8225,Ag_79_90,79,90,Other,Other,Other-Other
8107,70_88,Ag,21.92901654730668,8107,Ag_70_88,70,88,Other,Other,Other-Other
15535,68_79,Ni,-53.558284128885134,15535,Ni_68_79,68,79,Other,Other,Other-Other
19904,79_85,Pt,-52.08081695648434,19904,Pt_79_85,79,85,Other,Other,Other-Other
10565,89_90,Au,-1.0656793454982108,10565,Au_89_90,89,90,Other,Other,Other-Other
10359,71_89,Au,12.860604199835509,10359,Au_71_89,71,89,Other,Other,Other-Other
17208,88_88,Pd,-44.87398398657388,17208,Pd_88_88,88,88,Other,Other,Other-Other
8327,87_89,Ag,18.86193230412028,8327,Ag_87_89,87,89,Other,Other,Other-Other
1585,71_71,Au,20.13,1585,Au_71_71,71,71,Other,Other,Other-Other
8321,86_86,Ag,13.100814933044605,8321,Ag_86_86,86,86,Other,Other,Other-Other
2649,68_68,Cu,17.53,2649,Cu_68_68,68,68,Other,Other,Other-Other
15642,71_89,Ni,-51.319727127687656,15642,Ni_71_89,71,89,Other,Other,Other-Other
19703,69_79,Pt,-44.85240950824664,19703,Pt_69_79,69,79,Other,Other,Other-Other
19786,70_88,Pt,-55.04632114519336,19786,Pt_70_88,70,88,Other,Other,Other-Other
20028,89_89,Pt,-55.87969646947749,20028,Pt_89_89,89,89,Other,Other,Other-Other
10282,69_88,Au,1.4634097682719585,10282,Au_69_88,69,88,Other,Other,Other-Other
8319,85_88,Ag,16.804645359457936,8319,Ag_85_88,85,88,Other,Other,Other-Other
17209,88_89,Pd,-50.13364381864085,17209,Pd_88_89,88,89,Other,Other,Other-Other
12739,79_90,Cu,7.763376818154938,12739,Cu_79_90,79,90,Other,Other,Other-Other
19802,71_86,Pt,-34.53433044240228,19802,Pt_71_86,71,86,Other,Other,Other-Other
10549,85_85,Au,-6.226377577484527,10549,Au_85_85,85,85,Other,Other,Other-Other
8322,86_87,Ag,18.465296463560662,8322,Ag_86_87,86,87,Other,Other,Other-Other
15629,70_90,Ni,-56.710293464158894,15629,Ni_70_90,70,90,Other,Other,Other-Other
17139,79_89,Pd,-40.42991715708922,17139,Pd_79_89,79,89,Other,Other,Other-Other
