Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
13907,26_40,Ni,-64.05860623535409,13907,Ni_26_40,26,40,P,NHC,P-NHC
11707,37_74,Cu,-16.903916187948198,11707,Cu_37_74,37,74,NHC,P,P-NHC
267,3_39,Ag,11.1204,267,Ag_3_39,3,39,P,NHC,P-NHC
8750,17_32,Au,0.1767532550220494,8750,Au_17_32,17,32,P,NHC,P-NHC
17366,11_38,Pt,-46.19519735247741,17366,Pt_11_38,11,38,P,NHC,P-NHC
2063,25_38,Cu,-13.8887,2063,Cu_25_38,25,38,P,NHC,P-NHC
215,27_49,Ag,8.58,215,Ag_27_49,27,49,P,NHC,P-NHC
4975,7_49,Pd,-44.12,4975,Pd_7_49,7,49,P,NHC,P-NHC
1987,21_48,Cu,-13.9623,1987,Cu_21_48,21,48,P,NHC,P-NHC
9289,31_41,Au,6.87691681686556,9289,Au_31_41,31,41,P,NHC,P-NHC
1028,27_32,Au,-0.36,1028,Au_27_32,27,32,P,NHC,P-NHC
3645,21_45,Pd,-37.24,3645,Pd_21_45,21,45,P,NHC,P-NHC
13378,16_78,Ni,-44.75376549460634,13378,Ni_16_78,16,78,P,NHC,P-NHC
17635,17_45,Pt,-42.04891728435905,17635,Pt_17_45,17,45,P,NHC,P-NHC
12034,48_81,Cu,-17.374801152254804,12034,Cu_48_81,48,81,NHC,P,P-NHC
11948,44_83,Cu,-4.852434175671078,11948,Cu_44_83,44,83,NHC,P,P-NHC
1761,12_48,Cu,-16.0,1761,Cu_12_48,12,48,P,NHC,P-NHC
14277,32_74,Ni,-72.03240904629638,14277,Ni_32_74,32,74,NHC,P,P-NHC
15334,5_45,Ni,-63.47680038926774,15334,Ni_5_45,5,45,P,NHC,P-NHC
6205,1_40,Ag,12.25049204575771,6205,Ag_1_40,1,40,P,NHC,P-NHC
3302,1_42,Pd,-36.48,3302,Pd_1_42,1,42,P,NHC,P-NHC
2673,9_33,Cu,-10.09,2673,Cu_9_33,9,33,P,NHC,P-NHC
17440,13_33,Pt,-46.64442755586788,17440,Pt_13_33,13,33,P,NHC,P-NHC
4065,31_48,Pd,-40.51,4065,Pd_31_48,31,48,P,NHC,P-NHC
17975,23_37,Pt,-45.645568308245856,17975,Pt_23_37,23,37,P,NHC,P-NHC
191,25_47,Ag,16.46,191,Ag_25_47,25,47,P,NHC,P-NHC
14417,35_82,Ni,-75.93377070417046,14417,Ni_35_82,35,82,NHC,P,P-NHC
12592,6_44,Cu,-7.688380212013726,12592,Cu_6_44,6,44,P,NHC,P-NHC
11624,34_83,Cu,-12.683878599345917,11624,Cu_34_83,34,83,NHC,P,P-NHC
14283,32_82,Ni,-70.50125159631716,14283,Ni_32_82,32,82,NHC,P,P-NHC
8463,0_76,Au,10.937426367469016,8463,Au_0_76,0,76,P,NHC,P-NHC
17475,14_33,Pt,-48.91448110067722,17475,Pt_14_33,14,33,P,NHC,P-NHC
2173,29_40,Cu,-19.9072,2173,Cu_29_40,29,40,P,NHC,P-NHC
6608,28_39,Ag,10.838807400024962,6608,Ag_28_39,28,39,P,NHC,P-NHC
13957,27_33,Ni,-69.16514592643944,13957,Ni_27_33,27,33,P,NHC,P-NHC
16376,32_75,Pd,-37.93435597930511,16376,Pd_32_75,32,75,NHC,P,P-NHC
15043,4_47,Ni,-58.5678280514112,15043,Ni_4_47,4,47,P,NHC,P-NHC
625,11_42,Au,-3.65,625,Au_11_42,11,42,P,NHC,P-NHC
11215,22_78,Cu,2.7989845954289194,11215,Cu_22_78,22,78,P,NHC,P-NHC
15892,8_49,Ni,-64.72932603149093,15892,Ni_8_49,8,49,P,NHC,P-NHC
8701,16_41,Au,7.903688968272036,8701,Au_16_41,16,41,P,NHC,P-NHC
13308,15_34,Ni,-62.36366689443821,13308,Ni_15_34,15,34,P,NHC,P-NHC
548,0_35,Au,11.62,548,Au_0_35,0,35,P,NHC,P-NHC
18651,37_75,Pt,-42.463705383386696,18651,Pt_37_75,37,75,NHC,P,P-NHC
2728,1_34,Ni,-41.6136,2728,Ni_1_34,1,34,P,NHC,P-NHC
145,21_42,Ag,13.25,145,Ag_21_42,21,42,P,NHC,P-NHC
17404,12_36,Pt,-39.43221081371303,17404,Pt_12_36,12,36,P,NHC,P-NHC
9402,36_73,Au,-1.2800650256322117,9402,Au_36_73,36,73,NHC,P,P-NHC
5803,12_37,Ag,14.483986470841046,5803,Ag_12_37,12,37,P,NHC,P-NHC
3792,2_45,Pd,-44.54,3792,Pd_2_45,2,45,P,NHC,P-NHC
3870,26_38,Pd,-46.72,3870,Pd_26_38,26,38,P,NHC,P-NHC
8657,15_33,Au,3.462698784795066,8657,Au_15_33,15,33,P,NHC,P-NHC
14697,40_83,Ni,-68.42625248653349,14697,Ni_40_83,40,83,NHC,P,P-NHC
18993,44_72,Pt,-45.65356811892707,18993,Pt_44_72,44,72,NHC,P,P-NHC
12087,4_47,Cu,-0.9586964360933052,12087,Cu_4_47,4,47,P,NHC,P-NHC
15765,7_32,Ni,-70.34440895829175,15765,Ni_7_32,7,32,P,NHC,P-NHC
6399,23_36,Ag,32.813825090670434,6399,Ag_23_36,23,36,P,NHC,P-NHC
14765,42_72,Ni,-62.44002775030094,14765,Ni_42_72,42,72,NHC,P,P-NHC
9659,46_72,Au,-0.9832717287208652,9659,Au_46_72,46,72,NHC,P,P-NHC
3467,17_32,Pd,-40.67,3467,Pd_17_32,17,32,P,NHC,P-NHC
9012,23_78,Au,13.344761237400236,9012,Au_23_78,23,78,P,NHC,P-NHC
4054,31_33,Pd,-39.05,4054,Pd_31_33,31,33,P,NHC,P-NHC
17518,15_45,Pt,-39.00948202658765,17518,Pt_15_45,15,45,P,NHC,P-NHC
17674,18_33,Pt,-35.547606244523195,17674,Pt_18_33,18,33,P,NHC,P-NHC
6706,2_37,Ag,8.03869186353404,6706,Ag_2_37,2,37,P,NHC,P-NHC
2716,12_37,Ni,-77.7051,2716,Ni_12_37,12,37,P,NHC,P-NHC
8451,0_42,Au,5.863565606421616,8451,Au_0_42,0,42,P,NHC,P-NHC
8355,8_42,Ag,18.10627354214376,8355,Ag_8_42,8,42,P,NHC,P-NHC
17076,74_78,Pd,-35.08542334160302,17076,Pd_74_78,74,78,P,NHC,P-NHC
12885,8_45,Cu,8.671257940644864,12885,Cu_8_45,8,45,P,NHC,P-NHC
12768,7_47,Cu,-9.498075740222705,12768,Cu_7_47,7,47,P,NHC,P-NHC
1760,12_46,Cu,-12.25,1760,Cu_12_46,12,46,P,NHC,P-NHC
4715,5_34,Pd,-39.03,4715,Pd_5_34,5,34,P,NHC,P-NHC
10585,8_41,Au,12.999819470544026,10585,Au_8_41,8,41,P,NHC,P-NHC
10825,14_37,Cu,-20.50424201907299,10825,Cu_14_37,14,37,P,NHC,P-NHC
15006,49_73,Ni,-63.57890314668475,15006,Ni_49_73,49,73,NHC,P,P-NHC
5076,9_42,Pd,-44.18,5076,Pd_9_42,9,42,P,NHC,P-NHC
7159,40_81,Ag,12.741305885574548,7159,Ag_40_81,40,81,NHC,P,P-NHC
8509,11_41,Au,3.4982316401510616,8509,Au_11_41,11,41,P,NHC,P-NHC
9403,36_74,Au,-3.7027507714301455,9403,Au_36_74,36,74,NHC,P,P-NHC
9682,47_83,Au,1.1279691938179894,9682,Au_47_83,47,83,NHC,P,P-NHC
3517,18_45,Pd,-30.29,3517,Pd_18_45,18,45,P,NHC,P-NHC
685,13_44,Au,0.35,685,Au_13_44,13,44,P,NHC,P-NHC
5647,0_48,Ag,11.419105678549386,5647,Ag_0_48,0,48,P,NHC,P-NHC
16136,19_76,Pd,-43.054261915865936,16136,Pd_19_76,19,76,P,NHC,P-NHC
2851,28_32,Ni,-50.0238,2851,Ni_28_32,28,32,P,NHC,P-NHC
5583,8_43,Pt,-40.7,5583,Pt_8_43,8,43,P,NHC,P-NHC
149,21_49,Ag,17.44,149,Ag_21_49,21,49,P,NHC,P-NHC
17727,19_33,Pt,-48.2991452829956,17727,Pt_19_33,19,33,P,NHC,P-NHC
17511,15_35,Pt,-39.07311944357207,17511,Pt_15_35,15,35,P,NHC,P-NHC
460,5_45,Ag,13.97,460,Ag_5_45,5,45,P,NHC,P-NHC
3865,26_33,Pd,-41.87,3865,Pd_26_33,26,33,P,NHC,P-NHC
6890,33_81,Ag,6.360144631951698,6890,Ag_33_81,33,81,NHC,P,P-NHC
16122,18_76,Pd,-24.342037705442635,16122,Pd_18_76,18,76,P,NHC,P-NHC
17780,1_35,Pt,-33.38412294353475,17780,Pt_1_35,1,35,P,NHC,P-NHC
1029,27_33,Au,-0.17,1029,Au_27_33,27,33,P,NHC,P-NHC
5368,25_49,Pt,-46.58,5368,Pt_25_49,25,49,P,NHC,P-NHC
11737,38_75,Cu,-14.421792960041785,11737,Cu_38_75,38,75,NHC,P,P-NHC
7103,3_45,Ag,9.977290375449227,7103,Ag_3_45,3,45,P,NHC,P-NHC
8990,23_39,Au,9.153704116986772,8990,Au_23_39,23,39,P,NHC,P-NHC
11842,40_75,Cu,-16.19007089328079,11842,Cu_40_75,40,75,NHC,P,P-NHC
3639,21_39,Pd,-40.4,3639,Pd_21_39,21,39,P,NHC,P-NHC
18311,2_77,Pt,-44.69699367647991,18311,Pt_2_77,2,77,P,NHC,P-NHC
1631,9_45,Au,-2.5,1631,Au_9_45,9,45,P,NHC,P-NHC
18691,38_82,Pt,-45.2193298550701,18691,Pt_38_82,38,82,NHC,P,P-NHC
17267,0_46,Pt,-34.47520438866195,17267,Pt_0_46,0,46,P,NHC,P-NHC
16019,11_78,Pd,-30.02867233066354,16019,Pd_11_78,11,78,P,NHC,P-NHC
18888,41_82,Pt,-36.169319597654976,18888,Pt_41_82,41,82,NHC,P,P-NHC
10473,7_35,Au,6.551982293800393,10473,Au_7_35,7,35,P,NHC,P-NHC
11073,1_36,Cu,-6.919217527000001,11073,Cu_1_36,1,36,P,NHC,P-NHC
15767,7_34,Ni,-71.55414614302572,15767,Ni_7_34,7,34,P,NHC,P-NHC
8955,22_44,Au,4.049095264199423,8955,Au_22_44,22,44,P,NHC,P-NHC
12910,8_78,Cu,2.046383861685172,12910,Cu_8_78,8,78,P,NHC,P-NHC
3785,24_40,Pd,-33.19,3785,Pd_24_40,24,40,P,NHC,P-NHC
18072,25_48,Pt,-48.90432535862783,18072,Pt_25_48,25,48,P,NHC,P-NHC
17783,1_39,Pt,-39.27058877925447,17783,Pt_1_39,1,39,P,NHC,P-NHC
19827,73_77,Pt,-39.02747147426271,19827,Pt_73_77,73,77,P,NHC,P-NHC
4722,5_36,Pd,-37.41,4722,Pd_5_36,5,36,P,NHC,P-NHC
4028,30_42,Pd,-43.03,4028,Pd_30_42,30,42,P,NHC,P-NHC
17738,19_48,Pt,-50.87438507498155,17738,Pt_19_48,19,48,P,NHC,P-NHC
20041,8_38,Pt,-41.8553707834144,20041,Pt_8_38,8,38,P,NHC,P-NHC
16391,33_74,Pd,-41.89586648604018,16391,Pd_33_74,33,74,NHC,P,P-NHC
17261,0_36,Pt,-35.99480831580149,17261,Pt_0_36,0,36,P,NHC,P-NHC
3218,12_37,Pd,-36.19,3218,Pd_12_37,12,37,P,NHC,P-NHC
13747,22_77,Ni,-50.885906742172665,13747,Ni_22_77,22,77,P,NHC,P-NHC
6001,16_46,Ag,17.350772065976344,6001,Ag_16_46,16,46,P,NHC,P-NHC
8792,18_44,Au,10.728483287311974,8792,Au_18_44,18,44,P,NHC,P-NHC
2735,14_38,Ni,-68.75,2735,Ni_14_38,14,38,P,NHC,P-NHC
14212,31_44,Ni,-71.9841765135061,14212,Ni_31_44,31,44,P,NHC,P-NHC
1926,19_41,Cu,-15.1619,1926,Cu_19_41,19,41,P,NHC,P-NHC
11573,32_74,Cu,-9.6731395033421,11573,Cu_32_74,32,74,NHC,P,P-NHC
1597,7_46,Au,-2.14139,1597,Au_7_46,7,46,P,NHC,P-NHC
9438,37_74,Au,-1.6380095491622342,9438,Au_37_74,37,74,NHC,P,P-NHC
10444,78_84,Au,11.091059200043674,10444,Au_78_84,78,84,NHC,P,P-NHC
195,26_32,Ag,9.72,195,Ag_26_32,26,32,P,NHC,P-NHC
3990,29_41,Pd,-45.67,3990,Pd_29_41,29,41,P,NHC,P-NHC
10761,12_36,Cu,-12.602674714915338,10761,Cu_12_36,12,36,P,NHC,P-NHC
