Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
9107,26_68,Au,2.338618206922547,9107,Au_26_68,26,68,P,Other,P-Other
16262,25_90,Pd,-33.72570890051429,16262,Pd_25_90,25,90,P,Other,P-Other
15996,0_88,Pd,-19.51508333606762,15996,Pd_0_88,0,88,P,Other,P-Other
13845,24_89,Ni,-68.07194858539151,13845,Ni_24_89,24,89,P,Other,P-Other
13531,19_71,Ni,-44.01465534919407,13531,Ni_19_71,19,71,P,Other,P-Other
8283,80_84,Ag,20.69917355098005,8283,Ag_80_84,80,84,Other,P,P-Other
10512,7_89,Au,0.7171919931133743,10512,Au_7_89,7,89,P,Other,P-Other
3852,25_69,Pd,-34.37,3852,Pd_25_69,25,69,P,Other,P-Other
17810,1_86,Pt,-36.02572119241813,17810,Pt_1_86,1,86,P,Other,P-Other
17961,22_80,Pt,-41.54762102087261,17961,Pt_22_80,22,80,P,Other,P-Other
3850,25_67,Pd,-34.82,3850,Pd_25_67,25,67,P,Other,P-Other
10937,16_79,Cu,6.429980576809612,10937,Cu_16_79,16,79,P,Other,P-Other
15513,67_73,Ni,-51.56500395966577,15513,Ni_67_73,67,73,Other,P,P-Other
1265,3_69,Au,4.79,1265,Au_3_69,3,69,P,Other,P-Other
13716,21_86,Ni,-71.0537264373852,13716,Ni_21_86,21,86,P,Other,P-Other
14239,31_79,Ni,-63.79009850877628,14239,Ni_31_79,31,79,P,Other,P-Other
8615,13_86,Au,-2.095953045420174,8615,Au_13_86,13,86,P,Other,P-Other
8375,8_70,Ag,29.49432616939885,8375,Ag_8_70,8,70,P,Other,P-Other
12952,9_90,Cu,-11.33756713870389,12952,Cu_9_90,9,90,P,Other,P-Other
20113,9_87,Pt,-49.026160982990405,20113,Pt_9_87,9,87,P,Other,P-Other
10818,13_88,Cu,-16.575533789393376,10818,Cu_13_88,13,88,P,Other,P-Other
13128,11_79,Ni,-63.41027072626457,13128,Ni_11_79,11,79,P,Other,P-Other
13073,10_79,Ni,-69.07087440267787,13073,Ni_10_79,10,79,P,Other,P-Other
16060,13_90,Pd,-38.26857201235544,16060,Pd_13_90,13,90,P,Other,P-Other
9121,26_85,Au,-0.3681427900519338,9121,Au_26_85,26,85,P,Other,P-Other
11480,2_90,Cu,-3.351133858159301,11480,Cu_2_90,2,90,P,Other,P-Other
1024,2_68,Au,16.26,1024,Au_2_68,2,68,P,Other,P-Other
17970,22_90,Pt,-36.58706737056491,17970,Pt_22_90,22,90,P,Other,P-Other
9321,31_89,Au,3.129809381927771,9321,Au_31_89,31,89,P,Other,P-Other
16294,27_86,Pd,-45.132991270395,16294,Pd_27_86,27,86,P,Other,P-Other
16841,5_89,Pd,-35.08187105465913,16841,Pd_5_89,5,89,P,Other,P-Other
13879,25_70,Ni,-65.45792415452888,13879,Ni_25_70,25,70,P,Other,P-Other
16114,17_85,Pd,-43.946414116595406,16114,Pd_17_85,17,85,P,Other,P-Other
13065,10_70,Ni,-66.84859657222114,13065,Ni_10_70,10,70,P,Other,P-Other
8219,79_82,Ag,14.983763527387056,8219,Ag_79_82,79,82,Other,P,P-Other
10247,67_84,Au,8.681434117112076,10247,Au_67_84,67,84,Other,P,P-Other
15682,74_85,Ni,-76.98488350049593,15682,Ni_74_85,74,85,P,Other,P-Other
4996,7_71,Pd,-24.4,4996,Pd_7_71,7,71,P,Other,P-Other
10384,73_86,Au,0.2534983364967047,10384,Au_73_86,73,86,P,Other,P-Other
6234,1_71,Ag,30.68833262231783,6234,Ag_1_71,1,71,P,Other,P-Other
1615,8_71,Au,10.15,1615,Au_8_71,8,71,P,Other,P-Other
11271,23_86,Cu,-1.9977180536225203,11271,Cu_23_86,23,86,P,Other,P-Other
15844,83_90,Ni,-56.45135151686554,15844,Ni_83_90,83,90,P,Other,P-Other
15834,82_87,Ni,-76.44099854717206,15834,Ni_82_87,82,87,P,Other,P-Other
17703,18_67,Pt,-37.72540476177528,17703,Pt_18_67,18,67,P,Other,P-Other
4796,5_68,Pd,-29.65,4796,Pd_5_68,5,68,P,Other,P-Other
11095,1_68,Cu,12.20090112122125,11095,Cu_1_68,1,68,P,Other,P-Other
