Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
10962,17_75,Cu,-11.1228164343338,10962,Cu_17_75,17,75,P,P,P-P
3139,1_1,Pd,-12.89,3139,Pd_1_1,1,1,P,P,P-P
8943,22_27,Au,10.394535346567864,8943,Au_22_27,22,27,P,P,P-P
1672,10_19,Cu,2.5,1672,Cu_10_19,10,19,P,P,P-P
3815,25_26,Pd,-31.35,3815,Pd_25_26,25,26,P,P,P-P
2742,15_17,Ni,-53.8448,2742,Ni_15_17,15,17,P,P,P-P
5139,11_15,Pt,-36.54,5139,Pt_11_15,11,15,P,P,P-P
15316,5_16,Ni,-44.732783382729394,15316,Ni_5_16,5,16,P,P,P-P
14636,3_6,Ni,-63.8807454292255,14636,Ni_3_6,3,6,P,P,P-P
3155,11_25,Pd,-34.15,3155,Pd_11_25,11,25,P,P,P-P
15663,73_82,Ni,-66.53672364441445,15663,Ni_73_82,73,82,P,P,P-P
15845,84_84,Ni,-59.11575683452247,15845,Ni_84_84,84,84,P,P,P-P
17170,81_81,Pd,-43.78614670233219,17170,Pd_81_81,81,81,P,P,P-P
12749,7_22,Cu,15.265096377304872,12749,Cu_7_22,7,22,P,P,P-P
15874,8_18,Ni,-46.53745971083117,15874,Ni_8_18,8,18,P,P,P-P
8652,15_17,Au,4.989786086167442,8652,Au_15_17,15,17,P,P,P-P
12753,7_27,Cu,-12.128171205637043,12753,Cu_7_27,7,27,P,P,P-P
5206,13_24,Pt,-36.18,5206,Pt_13_24,13,24,P,P,P-P
6482,25_27,Ag,12.906610256468412,6482,Ag_25_27,25,27,P,P,P-P
10618,9_21,Au,0.9268122192006558,10618,Au_9_21,9,21,P,P,P-P
3676,22_26,Pd,-35.59,3676,Pd_22_26,22,26,P,P,P-P
2800,22_31,Ni,-28.5616,2800,Ni_22_31,22,31,P,P,P-P
12751,7_25,Cu,-7.978541239077458,12751,Cu_7_25,7,25,P,P,P-P
9236,2_84,Au,2.123995693582401,9236,Au_2_84,2,84,P,P,P-P
1377,4_26,Au,17.44,1377,Au_4_26,4,26,P,P,P-P
2193,3_11,Cu,-10.2027,2193,Cu_3_11,3,11,P,P,P-P
12579,6_16,Cu,1.7085622241866076,12579,Cu_6_16,6,16,P,P,P-P
16145,1_14,Pd,-19.194857975147897,16145,Pd_1_14,1,14,P,P,P-P
19182,4_19,Pt,-32.640679117997934,19182,Pt_4_19,4,19,P,P,P-P
19961,7_74,Pt,-37.57409641919367,19961,Pt_7_74,7,74,P,P,P-P
8820,19_73,Au,-0.0822031408097245,8820,Au_19_73,19,73,P,P,P-P
6524,26_31,Ag,14.833987856516616,6524,Ag_26_31,26,31,P,P,P-P
5920,14_72,Ag,10.800133064942202,5920,Ag_14_72,14,72,P,P,P-P
664,1_28,Au,8.6,664,Au_1_28,1,28,P,P,P-P
13559,1_26,Ni,-24.39523148497392,13559,Ni_1_26,1,26,P,P,P-P
17239,9_83,Pd,-22.501115735562053,17239,Pd_9_83,9,83,P,P,P-P
6690,2_13,Ag,10.54013704242243,6690,Ag_2_13,2,13,P,P,P-P
