Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
10591,8_54,Au,24.17292900024768,10591,Au_8_54,8,54,P,Py,P-Py
11008,18_57,Cu,10.584810622938676,11008,Cu_18_57,18,57,P,Py,P-Py
749,15_62,Au,6.02,749,Au_15_62,15,62,P,Py,P-Py
17794,1_63,Pt,-34.36770998755674,17794,Pt_1_63,1,63,P,Py,P-Py
13688,21_55,Ni,-65.0325979363115,13688,Ni_21_55,21,55,P,Py,P-Py
13826,24_65,Ni,-60.62308064792887,13826,Ni_24_65,24,65,P,Py,P-Py
558,0_56,Au,11.97,558,Au_0_56,0,56,P,Py,P-Py
15785,7_57,Ni,-75.06875586915703,15785,Ni_7_57,7,57,P,Py,P-Py
15278,58_75,Ni,-56.62474869492871,15278,Ni_58_75,58,75,Py,P,P-Py
16695,51_74,Pd,-39.463306724108406,16695,Pd_51_74,51,74,Py,P,P-Py
7802,5_54,Ag,25.36619370244444,7802,Ag_5_54,5,54,P,Py,P-Py
18344,30_57,Pt,-36.59785271034343,18344,Pt_30_57,30,57,P,Py,P-Py
2789,20_66,Ni,-63.1999,2789,Ni_20_66,20,66,P,Py,P-Py
17702,18_66,Pt,-34.701637445235974,17702,Pt_18_66,18,66,P,Py,P-Py
7845,60_75,Ag,18.18005471791548,7845,Ag_60_75,60,75,Py,P,P-Py
1058,28_57,Au,8.25,1058,Au_28_57,28,57,P,Py,P-Py
2448,4_51,Cu,6.77,2448,Cu_4_51,4,51,P,Py,P-Py
8074,6_63,Ag,19.979778112101485,8074,Ag_6_63,6,63,P,Py,P-Py
1843,14_63,Cu,-3.57,1843,Cu_14_63,14,63,P,Py,P-Py
1233,3_61,Au,-1.39,1233,Au_3_61,3,61,P,Py,P-Py
10300,6_53,Au,1.41350379998039,10300,Au_6_53,6,53,P,Py,P-Py
8632,14_59,Au,3.1876171422045445,8632,Au_14_59,14,59,P,Py,P-Py
3530,18_60,Pd,-23.55,3530,Pd_18_60,18,60,P,Py,P-Py
2465,4_62,Cu,8.0,2465,Cu_4_62,4,62,P,Py,P-Py
2143,27_51,Cu,-13.07,2143,Cu_27_51,27,51,P,Py,P-Py
6416,23_61,Ag,26.62525774328969,6416,Ag_23_61,23,61,P,Py,P-Py
6326,21_66,Ag,23.75818119655014,6326,Ag_21_66,21,66,P,Py,P-Py
8255,7_57,Ag,15.863587556275888,8255,Ag_7_57,7,57,P,Py,P-Py
7807,5_59,Ag,25.17986297502648,7807,Ag_5_59,5,59,P,Py,P-Py
20052,8_56,Pt,-35.80420764257724,20052,Pt_8_56,8,56,P,Py,P-Py
4000,29_53,Pd,-38.53,4000,Pd_29_53,29,53,P,Py,P-Py
5388,26_56,Pt,-47.36,5388,Pt_26_56,26,56,P,Py,P-Py
18248,29_66,Pt,-43.33838312006992,18248,Pt_29_66,29,66,P,Py,P-Py
7105,3_50,Ag,19.632157782296417,7105,Ag_3_50,3,50,P,Py,P-Py
6418,23_63,Ag,22.65266194926517,6418,Ag_23_63,23,63,P,Py,P-Py
13515,19_50,Ni,-66.36132729850942,13515,Ni_19_50,19,50,P,Py,P-Py
4254,3_64,Pd,-39.04,4254,Pd_3_64,3,64,P,Py,P-Py
11360,27_50,Cu,-7.524806100525893,11360,Cu_27_50,27,50,P,Py,P-Py
9066,25_55,Au,2.643060425609292,9066,Au_25_55,25,55,P,Py,P-Py
18386,31_55,Pt,-41.14835663438862,18386,Pt_31_55,31,55,P,Py,P-Py
5917,14_65,Ag,15.569382172310725,5917,Ag_14_65,14,65,P,Py,P-Py
15266,57_83,Ni,-64.01689614959469,15266,Ni_57_83,57,83,Py,P,P-Py
3925,27_55,Pd,-40.22,3925,Pd_27_55,27,55,P,Py,P-Py
3578,19_66,Pd,-36.91,3578,Pd_19_66,19,66,P,Py,P-Py
19531,60_74,Pt,-46.43066161130992,19531,Pt_60_74,60,74,Py,P,P-Py
4083,31_66,Pd,-35.65,4083,Pd_31_66,31,66,P,Py,P-Py
1911,18_66,Cu,15.6,1911,Cu_18_66,18,66,P,Py,P-Py
1688,10_55,Cu,-14.42,1688,Cu_10_55,10,55,P,Py,P-Py
867,20_59,Au,0.96,867,Au_20_59,20,59,P,Py,P-Py
12301,57_73,Cu,-0.6703401795093669,12301,Cu_57_73,57,73,Py,P,P-Py
3613,20_60,Pd,-28.88,3613,Pd_20_60,20,60,P,Py,P-Py
15421,62_83,Ni,-61.64133295445936,15421,Ni_62_83,62,83,Py,P,P-Py
14220,31_53,Ni,-63.03203643651796,14220,Ni_31_53,31,53,P,Py,P-Py
20048,8_51,Pt,-35.17264007918857,20048,Pt_8_51,8,51,P,Py,P-Py
17850,20_60,Pt,-42.37156872297783,17850,Pt_20_60,20,60,P,Py,P-Py
12994,0_57,Ni,-50.39472704815853,12994,Ni_0_57,0,57,P,Py,P-Py
16822,59_84,Pd,-34.28113632946042,16822,Pd_59_84,59,84,Py,P,P-Py
7806,5_58,Ag,21.09719270450296,7806,Ag_5_58,5,58,P,Py,P-Py
862,20_54,Au,3.93,862,Au_20_54,20,54,P,Py,P-Py
6366,22_54,Ag,26.306071305967635,6366,Ag_22_54,22,54,P,Py,P-Py
3655,21_57,Pd,-35.94,3655,Pd_21_57,21,57,P,Py,P-Py
2845,2_61,Ni,-62.44,2845,Ni_2_61,2,61,P,Py,P-Py
1004,2_63,Au,1.33,1004,Au_2_63,2,63,P,Py,P-Py
8717,16_62,Au,11.79861001332756,8717,Au_16_62,16,62,P,Py,P-Py
11083,1_54,Cu,4.960223024565494,11083,Cu_1_54,1,54,P,Py,P-Py
15433,63_74,Ni,-73.0541705191572,15433,Ni_63_74,63,74,Py,P,P-Py
11204,22_63,Cu,2.411375711817527,11204,Cu_22_63,22,63,P,Py,P-Py
19569,62_75,Pt,-46.22287436229817,19569,Pt_62_75,62,75,Py,P,P-Py
7574,52_81,Ag,15.197616200719494,7574,Ag_52_81,52,81,Py,P,P-Py
2161,28_59,Cu,8.43,2161,Cu_28_59,28,59,P,Py,P-Py
7773,59_84,Ag,23.523914570978377,7773,Ag_59_84,59,84,Py,P,P-Py
5088,9_58,Pd,-35.34,5088,Pd_9_58,9,58,P,Py,P-Py
6717,2_57,Ag,18.88342017744435,6717,Ag_2_57,2,57,P,Py,P-Py
19653,66_82,Pt,-46.67472596053267,19653,Pt_66_82,66,82,Py,P,P-Py
15052,4_64,Ni,-53.52183772038552,15052,Ni_4_64,4,64,P,Py,P-Py
7895,62_84,Ag,25.00396954776079,7895,Ag_62_84,62,84,Py,P,P-Py
5030,8_52,Pd,-30.2,5030,Pd_8_52,8,52,P,Py,P-Py
12309,57_82,Cu,-14.779024793577264,12309,Cu_57_82,57,82,Py,P,P-Py
2810,22_55,Ni,-48.2714,2810,Ni_22_55,22,55,P,Py,P-Py
13327,15_64,Ni,-62.108886831847485,13327,Ni_15_64,15,64,P,Py,P-Py
5401,27_52,Pt,-44.79,5401,Pt_27_52,27,52,P,Py,P-Py
6758,30_59,Ag,29.538537337779417,6758,Ag_30_59,30,59,P,Py,P-Py
17984,23_50,Pt,-34.65294231838925,17984,Pt_23_50,23,50,P,Py,P-Py
11005,18_52,Cu,1.8917728944361445,11005,Cu_18_52,18,52,P,Py,P-Py
