Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
4698,52_57,Pd,-38.45,4698,Pd_52_57,52,57,Py,Py,Py-Py
15181,54_57,Ni,-63.37613964261254,15181,Ni_54_57,54,57,Py,Py,Py-Py
19332,54_59,Pt,-47.998435538196645,19332,Pt_54_59,54,59,Py,Py,Py-Py
9771,50_63,Au,5.476883813411405,9771,Au_50_63,50,63,Py,Py,Py-Py
12269,56_57,Cu,7.712655361305224,12269,Cu_56_57,56,57,Py,Py,Py-Py
2918,52_57,Ni,-59.9,2918,Ni_52_57,52,57,Py,Py,Py-Py
9913,55_58,Au,7.5420141229406,9913,Au_55_58,55,58,Py,Py,Py-Py
9976,57_66,Au,7.183000751509098,9976,Au_57_66,57,66,Py,Py,Py-Py
1543,58_61,Au,7.04,1543,Au_58_61,58,61,Py,Py,Py-Py
2555,53_64,Cu,3.52,2555,Cu_53_64,53,64,Py,Py,Py-Py
4672,51_57,Pd,-38.86,4672,Pd_51_57,51,57,Py,Py,Py-Py
4695,52_53,Pd,-36.46,4695,Pd_52_53,52,53,Py,Py,Py-Py
2932,53_61,Ni,-62.95,2932,Ni_53_61,53,61,Py,Py,Py-Py
19405,57_66,Pt,-46.72964710975066,19405,Pt_57_66,57,66,Py,Py,Py-Py
5476,52_54,Pt,-46.18,5476,Pt_52_54,52,54,Py,Py,Py-Py
15209,55_59,Ni,-62.956217947095865,15209,Ni_55_59,55,59,Py,Py,Py-Py
12242,55_58,Cu,7.958888420616859,12242,Cu_55_58,55,58,Py,Py,Py-Py
2903,50_52,Ni,-62.93,2903,Ni_50_52,50,52,Py,Py,Py-Py
9801,51_60,Au,4.8338378167682094,9801,Au_51_60,51,60,Py,Py,Py-Py
7858,61_64,Ag,26.265854711731663,7858,Ag_61_64,61,64,Py,Py,Py-Py
4787,56_59,Pd,-38.29,4787,Pd_56_59,56,59,Py,Py,Py-Py
5542,62_63,Pt,-52.76,5542,Pt_62_63,62,63,Py,Py,Py-Py
4846,61_65,Pd,-41.9,4846,Pd_61_65,61,65,Py,Py,Py-Py
12216,54_58,Cu,8.847396173863672,12216,Cu_54_58,54,58,Py,Py,Py-Py
4879,63_66,Pd,-36.48,4879,Pd_63_66,63,66,Py,Py,Py-Py
19521,60_60,Pt,-51.84327320478769,19521,Pt_60_60,60,60,Py,Py,Py-Py
4843,61_61,Pd,-40.21,4843,Pd_61_61,61,61,Py,Py,Py-Py
7751,59_59,Ag,27.199377729426487,7751,Ag_59_59,59,59,Py,Py,Py-Py
12103,50_53,Cu,10.52874100432382,12103,Cu_50_53,50,53,Py,Py,Py-Py
4832,60_63,Pd,-41.21,4832,Pd_60_63,60,63,Py,Py,Py-Py
19523,60_62,Pt,-51.50421230322536,19523,Pt_60_62,60,62,Py,Py,Py-Py
4800,57_59,Pd,-39.94,4800,Pd_57_59,57,59,Py,Py,Py-Py
9805,51_65,Au,-4.08033682887617,9805,Au_51_65,51,65,Py,Py,Py-Py
7944,65_65,Ag,27.968598869789275,7944,Ag_65_65,65,65,Py,Py,Py-Py
7563,52_65,Ag,25.71691893013485,7563,Ag_52_65,52,65,Py,Py,Py-Py
12222,54_64,Cu,-4.740292915434111,12222,Cu_54_64,54,64,Py,Py,Py-Py
10095,60_64,Au,0.1325242316743242,10095,Au_60_64,60,64,Py,Py,Py-Py
5521,58_63,Pt,-51.17,5521,Pt_58_63,58,63,Py,Py,Py-Py
4656,50_64,Pd,-41.59,4656,Pd_50_64,50,64,Py,Py,Py-Py
7533,51_66,Ag,29.520145584800048,7533,Ag_51_66,51,66,Py,Py,Py-Py
2956,56_59,Ni,-64.89,2956,Ni_56_59,56,59,Py,Py,Py-Py
19285,52_63,Pt,-50.353357762651285,19285,Pt_52_63,52,63,Py,Py,Py-Py
7859,61_65,Ag,20.467532943803235,7859,Ag_61_65,61,65,Py,Py,Py-Py
7840,60_65,Ag,18.564194902195595,7840,Ag_60_65,60,65,Py,Py,Py-Py
12112,50_64,Cu,4.1492824256420135,12112,Cu_50_64,50,64,Py,Py,Py-Py
12442,62_63,Cu,7.547629848209908,12442,Cu_62_63,62,63,Py,Py,Py-Py
7490,50_51,Ag,30.34452924318612,7490,Ag_50_51,50,51,Py,Py,Py-Py
7557,52_58,Ag,29.377622344807605,7557,Ag_52_58,52,58,Py,Py,Py-Py
9769,50_59,Au,7.602685922451201,9769,Au_50_59,50,59,Py,Py,Py-Py
19238,50_62,Pt,-49.593751171305485,19238,Pt_50_62,50,62,Py,Py,Py-Py
15110,51_64,Ni,-75.49436186626554,15110,Ni_51_64,51,64,Py,Py,Py-Py
10136,62_64,Au,1.5729314283526037,10136,Au_62_64,62,64,Py,Py,Py-Py
12138,51_61,Cu,1.1245845239172922,12138,Cu_51_61,51,61,Py,Py,Py-Py
4678,51_62,Pd,-38.65,4678,Pd_51_62,51,62,Py,Py,Py-Py
4835,60_66,Pd,-35.8,4835,Pd_60_66,60,66,Py,Py,Py-Py
7498,50_62,Ag,29.73996077784977,7498,Ag_50_62,50,62,Py,Py,Py-Py
9794,51_51,Au,8.8942352858503,9794,Au_51_51,51,51,Py,Py,Py-Py
15409,62_65,Ni,-72.55986631597625,15409,Ni_62_65,62,65,Py,Py,Py-Py
2928,53_58,Ni,-64.78,2928,Ni_53_58,53,58,Py,Py,Py-Py
5537,61_62,Pt,-50.18,5537,Pt_61_62,61,62,Py,Py,Py-Py
19331,54_57,Pt,-49.12872874051391,19331,Pt_54_57,54,57,Py,Py,Py-Py
7860,61_66,Ag,28.216756691850605,7860,Ag_61_66,61,66,Py,Py,Py-Py
9830,52_58,Au,7.413519621550222,9830,Au_52_58,52,58,Py,Py,Py-Py
2909,50_65,Ni,-70.75,2909,Ni_50_65,50,65,Py,Py,Py-Py
7644,55_56,Ag,28.43834733226685,7644,Ag_55_56,55,56,Py,Py,Py-Py
2957,56_60,Ni,-62.2,2957,Ni_56_60,56,60,Py,Py,Py-Py
2907,50_61,Ni,-61.97,2907,Ni_50_61,50,61,Py,Py,Py-Py
19330,54_56,Pt,-46.753488430294965,19330,Pt_54_56,54,56,Py,Py,Py-Py
4772,55_65,Pd,-40.46,4772,Pd_55_65,55,65,Py,Py,Py-Py
7921,64_66,Ag,26.69425189041067,7921,Ag_64_66,64,66,Py,Py,Py-Py
4910,65_66,Pd,-39.28,4910,Pd_65_66,65,66,Py,Py,Py-Py
7554,52_55,Ag,29.560717623026,7554,Ag_52_55,52,55,Py,Py,Py-Py
12195,53_66,Cu,10.030938409385271,12195,Cu_53_66,53,66,Py,Py,Py-Py
7494,50_56,Ag,29.22005566582084,7494,Ag_50_56,50,56,Py,Py,Py-Py
7522,51_53,Ag,31.13650079544459,7522,Ag_51_53,51,53,Py,Py,Py-Py
12187,53_56,Cu,9.528325806400971,12187,Cu_53_56,53,56,Py,Py,Py-Py
12184,53_53,Cu,12.45800515502924,12184,Cu_53_53,53,53,Py,Py,Py-Py
19378,56_66,Pt,-47.618473279930186,19378,Pt_56_66,56,66,Py,Py,Py-Py
2921,52_66,Ni,-57.3971,2921,Ni_52_66,52,66,Py,Py,Py-Py
15156,53_64,Ni,-69.47136672119086,15156,Ni_53_64,53,64,Py,Py,Py-Py
12132,51_53,Cu,11.75507180475688,12132,Cu_51_53,51,53,Py,Py,Py-Py
12193,53_63,Cu,14.416916201706044,12193,Cu_53_63,53,63,Py,Py,Py-Py
19256,51_61,Pt,-49.1641474141652,19256,Pt_51_61,51,61,Py,Py,Py-Py
4811,58_62,Pd,-39.33,4811,Pd_58_62,58,62,Py,Py,Py-Py
19376,56_58,Pt,-49.07130869208049,19376,Pt_56_58,56,58,Py,Py,Py-Py
9858,53_56,Au,8.42953387889429,9858,Au_53_56,53,56,Py,Py,Py-Py
5479,52_59,Pt,-49.05,5479,Pt_52_59,52,59,Py,Py,Py-Py
9970,57_60,Au,1.736441652996291,9970,Au_57_60,57,60,Py,Py,Py-Py
4705,52_64,Pd,-40.12,4705,Pd_52_64,52,64,Py,Py,Py-Py
2964,58_59,Ni,-64.92,2964,Ni_58_59,58,59,Py,Py,Py-Py
4721,53_59,Pd,-37.83,4721,Pd_53_59,53,59,Py,Py,Py-Py
9968,57_57,Au,1.4582466919819126,9968,Au_57_57,57,57,Py,Py,Py-Py
2904,50_54,Ni,-60.2507,2904,Ni_50_54,50,54,Py,Py,Py-Py
4814,58_65,Pd,-41.98,4814,Pd_58_65,58,65,Py,Py,Py-Py
9893,54_65,Au,-0.41742921169498,9893,Au_54_65,54,65,Py,Py,Py-Py
15210,55_63,Ni,-63.96623636982986,15210,Ni_55_63,55,63,Py,Py,Py-Py
5478,52_57,Pt,-48.61,5478,Pt_52_57,52,57,Py,Py,Py-Py
4647,50_52,Pd,-37.61,4647,Pd_50_52,50,52,Py,Py,Py-Py
12102,50_52,Cu,7.071845345009933,12102,Cu_50_52,50,52,Py,Py,Py-Py
2926,53_55,Ni,-62.82,2926,Ni_53_55,53,55,Py,Py,Py-Py
7709,57_63,Ag,28.34565913901315,7709,Ag_57_63,57,63,Py,Py,Py-Py
19236,50_56,Pt,-49.016292402324325,19236,Pt_50_56,50,56,Py,Py,Py-Py
7559,52_60,Ag,27.295224259403767,7559,Ag_52_60,52,60,Py,Py,Py-Py
4923,66_66,Pd,-30.08,4923,Pd_66_66,66,66,Py,Py,Py-Py
12441,62_62,Cu,12.697264522576006,12441,Cu_62_62,62,62,Py,Py,Py-Py
7841,60_66,Ag,28.987513944579405,7841,Ag_60_66,60,66,Py,Py,Py-Py
7620,54_62,Ag,30.125830510995,7620,Ag_54_62,54,62,Py,Py,Py-Py
12275,56_63,Cu,11.357716073674965,12275,Cu_56_63,56,63,Py,Py,Py-Py
12401,60_66,Cu,6.906550918021821,12401,Cu_60_66,60,66,Py,Py,Py-Py
2596,60_65,Cu,-11.0,2596,Cu_60_65,60,65,Py,Py,Py-Py
5539,61_66,Pt,-47.27,5539,Pt_61_66,61,66,Py,Py,Py-Py
12217,54_59,Cu,9.716457749673282,12217,Cu_54_59,54,59,Py,Py,Py-Py
4653,50_60,Pd,-40.27,4653,Pd_50_60,50,60,Py,Py,Py-Py
4747,54_60,Pd,-37.87,4747,Pd_54_60,54,60,Py,Py,Py-Py
2980,61_62,Ni,-65.25,2980,Ni_61_62,61,62,Py,Py,Py-Py
9800,51_59,Au,8.688981790888647,9800,Au_51_59,51,59,Py,Py,Py-Py
12106,50_56,Cu,8.826673365474562,12106,Cu_50_56,50,56,Py,Py,Py-Py
5499,55_55,Pt,-47.36,5499,Pt_55_55,55,55,Py,Py,Py-Py
19328,54_54,Pt,-46.31355674753286,19328,Pt_54_54,54,54,Py,Py,Py-Py
4752,54_66,Pd,-32.92,4752,Pd_54_66,54,66,Py,Py,Py-Py
7555,52_56,Ag,29.999500063771848,7555,Ag_52_56,52,56,Py,Py,Py-Py
7496,50_59,Ag,29.06273098933161,7496,Ag_50_59,50,59,Py,Py,Py-Py
5514,56_64,Pt,-51.43,5514,Pt_56_64,56,64,Py,Py,Py-Py
10029,59_66,Au,8.35792772192508,10029,Au_59_66,59,66,Py,Py,Py-Py
12215,54_57,Cu,5.653870164096588,12215,Cu_54_57,54,57,Py,Py,Py-Py
10022,59_59,Au,5.568877134843206,10022,Au_59_59,59,59,Py,Py,Py-Py
9768,50_56,Au,7.301814528575051,9768,Au_50_56,50,56,Py,Py,Py-Py
2582,57_62,Cu,7.64,2582,Cu_57_62,57,62,Py,Py,Py-Py
19445,59_63,Pt,-51.2737667320107,19445,Pt_59_63,59,63,Py,Py,Py-Py
7618,54_60,Ag,26.78256042386056,7618,Ag_54_60,54,60,Py,Py,Py-Py
5502,55_60,Pt,-49.04,5502,Pt_55_60,55,60,Py,Py,Py-Py
12461,63_63,Cu,7.215867169972626,12461,Cu_63_63,63,63,Py,Py,Py-Py
15228,56_62,Ni,-63.93899861219688,15228,Ni_56_62,56,62,Py,Py,Py-Py
7590,53_63,Ag,29.84179792716168,7590,Ag_53_63,53,63,Py,Py,Py-Py
9834,52_66,Au,7.0348904196871445,9834,Au_52_66,52,66,Py,Py,Py-Py
19333,54_61,Pt,-47.62399701325921,19333,Pt_54_61,54,61,Py,Py,Py-Py
4897,64_66,Pd,-38.85,4897,Pd_64_66,64,66,Py,Py,Py-Py
5494,53_65,Pt,-51.39,5494,Pt_53_65,53,65,Py,Py,Py-Py
9972,57_62,Au,4.371983279939741,9972,Au_57_62,57,62,Py,Py,Py-Py
15468,65_66,Ni,-69.8418456477666,15468,Ni_65_66,65,66,Py,Py,Py-Py
2960,56_65,Ni,-71.5,2960,Ni_56_65,56,65,Py,Py,Py-Py
7615,54_56,Ag,29.701396515898523,7615,Ag_54_56,54,56,Py,Py,Py-Py
12445,62_66,Cu,12.010936508115265,12445,Cu_62_66,62,66,Py,Py,Py-Py
9767,50_55,Au,7.359324139761156,9767,Au_50_55,50,55,Py,Py,Py-Py
7592,53_66,Ag,27.727538629143964,7592,Ag_53_66,53,66,Py,Py,Py-Py
9948,56_66,Au,6.311179794014606,9948,Au_56_66,56,66,Py,Py,Py-Py
9863,53_62,Au,8.653447208271245,9863,Au_53_62,53,62,Py,Py,Py-Py
2925,53_54,Ni,-58.68,2925,Ni_53_54,53,54,Py,Py,Py-Py
19402,57_63,Pt,-51.67390408890788,19402,Pt_57_63,57,63,Py,Py,Py-Py
2948,55_66,Ni,-50.9871,2948,Ni_55_66,55,66,Py,Py,Py-Py
19356,55_59,Pt,-48.39883882980212,19356,Pt_55_59,55,59,Py,Py,Py-Py
5527,59_59,Pt,-50.36,5527,Pt_59_59,59,59,Py,Py,Py-Py
2906,50_58,Ni,-64.09,2906,Ni_50_58,50,58,Py,Py,Py-Py
19525,60_65,Pt,-54.51587178675982,19525,Pt_60_65,60,65,Py,Py,Py-Py
10027,59_64,Au,1.1262760588579113,10027,Au_59_64,59,64,Py,Py,Py-Py
15208,55_58,Ni,-64.46166328291292,15208,Ni_55_58,55,58,Py,Py,Py-Py
9795,51_52,Au,9.659789012854162,9795,Au_51_52,51,52,Py,Py,Py-Py
2924,53_53,Ni,-62.22,2924,Ni_53_53,53,53,Py,Py,Py-Py
15109,51_63,Ni,-60.5188152265182,15109,Ni_51_63,51,63,Py,Py,Py-Py
19252,51_53,Pt,-47.3195525417832,19252,Pt_51_53,51,53,Py,Py,Py-Py
4862,62_66,Pd,-35.41,4862,Pd_62_66,62,66,Py,Py,Py-Py
7583,53_56,Ag,28.969573008609583,7583,Ag_53_56,53,56,Py,Py,Py-Py
19234,50_54,Pt,-47.71953151094931,19234,Pt_50_54,50,54,Py,Py,Py-Py
2963,58_58,Ni,-63.71,2963,Ni_58_58,58,58,Py,Py,Py-Py
12399,60_61,Cu,4.33962007368973,12399,Cu_60_61,60,61,Py,Py,Py-Py
2955,56_57,Ni,-65.86,2955,Ni_56_57,56,57,Py,Py,Py-Py
15178,54_54,Ni,-58.69898273005674,15178,Ni_54_54,54,54,Py,Py,Py-Py
10113,61_63,Au,5.289320678108197,10113,Au_61_63,61,63,Py,Py,Py-Py
7646,55_58,Ag,27.322592110125697,7646,Ag_55_58,55,58,Py,Py,Py-Py
15389,61_63,Ni,-70.52563726222434,15389,Ni_61_63,61,63,Py,Py,Py-Py
5506,55_65,Pt,-50.78,5506,Pt_55_65,55,65,Py,Py,Py-Py
12480,64_66,Cu,1.246994009037735,12480,Cu_64_66,64,66,Py,Py,Py-Py
19581,63_64,Pt,-53.41866901623871,19581,Pt_63_64,63,64,Py,Py,Py-Py
446,50_61,Ag,29.07,446,Ag_50_61,50,61,Py,Py,Py-Py
4791,56_62,Pd,-38.58,4791,Pd_56_62,56,62,Py,Py,Py-Py
12185,53_54,Cu,11.02321437530918,12185,Cu_53_54,53,54,Py,Py,Py-Py
9943,56_60,Au,6.555882573673443,9943,Au_56_60,56,60,Py,Py,Py-Py
4670,51_54,Pd,-34.59,4670,Pd_51_54,51,54,Py,Py,Py-Py
10134,62_62,Au,5.493365624643047,10134,Au_62_62,62,62,Py,Py,Py-Py
2581,57_61,Cu,8.88,2581,Cu_57_61,57,61,Py,Py,Py-Py
4651,50_58,Pd,-38.13,4651,Pd_50_58,50,58,Py,Py,Py-Py
19377,56_62,Pt,-49.96735268118209,19377,Pt_56_62,56,62,Py,Py,Py-Py
9861,53_60,Au,4.292956881596183,9861,Au_53_60,53,60,Py,Py,Py-Py
7732,58_63,Ag,27.317099549094564,7732,Ag_58_63,58,63,Py,Py,Py-Py
5492,53_62,Pt,-49.2,5492,Pt_53_62,53,62,Py,Py,Py-Py
12105,50_55,Cu,7.560567027161596,12105,Cu_50_55,50,55,Py,Py,Py-Py
7589,53_62,Ag,30.531960010281185,7589,Ag_53_62,53,62,Py,Py,Py-Py
7564,52_66,Ag,28.232321119328844,7564,Ag_52_66,52,66,Py,Py,Py-Py
7562,52_64,Ag,28.41762771931826,7562,Ag_52_64,52,64,Py,Py,Py-Py
4700,52_59,Pd,-38.33,4700,Pd_52_59,52,59,Py,Py,Py-Py
12240,55_56,Cu,8.861059914721409,12240,Cu_55_56,55,56,Py,Py,Py-Py
7712,57_66,Ag,28.890944594691973,7712,Ag_57_66,57,66,Py,Py,Py-Py
7653,55_66,Ag,31.09359111834783,7653,Ag_55_66,55,66,Py,Py,Py-Py
7556,52_57,Ag,30.39017949756817,7556,Ag_52_57,52,57,Py,Py,Py-Py
5530,59_66,Pt,-46.63,5530,Pt_59_66,59,66,Py,Py,Py-Py
9824,52_52,Au,8.849163024169684,9824,Au_52_52,52,52,Py,Py,Py-Py
15157,53_65,Ni,-69.48159221044625,15157,Ni_53_65,53,65,Py,Py,Py-Py
7561,52_63,Ag,30.809060532556032,7561,Ag_52_63,52,63,Py,Py,Py-Py
4745,54_59,Pd,-37.47,4745,Pd_54_59,54,59,Py,Py,Py-Py
19426,58_62,Pt,-49.96616136218654,19426,Pt_58_62,58,62,Py,Py,Py-Py
7622,54_65,Ag,21.121952972054714,7622,Ag_54_65,54,65,Py,Py,Py-Py
19336,54_64,Pt,-51.62551206368517,19336,Pt_54_64,54,64,Py,Py,Py-Py
1550,61_61,Au,5.12,1550,Au_61_61,61,61,Py,Py,Py-Py
9772,50_64,Au,2.4107236148702214,9772,Au_50_64,50,64,Py,Py,Py-Py
2933,53_62,Ni,-60.92,2933,Ni_53_62,53,62,Py,Py,Py-Py
4861,62_65,Pd,-42.69,4861,Pd_62_65,62,65,Py,Py,Py-Py
7528,51_61,Ag,28.59699826430005,7528,Ag_51_61,51,61,Py,Py,Py-Py
19286,52_65,Pt,-51.302235011724406,19286,Pt_52_65,52,65,Py,Py,Py-Py
