,idx,Predval
0,457,-8.12109375
1,205,-5.12109375
2,767,0.05859375
3,316,2.4541015625
4,261,14.6220703125
5,21,3.255859375
6,803,-0.765625
7,906,-2.2890625
8,1232,18.04296875
9,60,-4.16015625
10,463,4.33203125
11,978,-1.0625
12,1116,-0.6875
13,468,-7.63671875
14,1336,-3.166015625
15,645,7.994140625
16,213,-4.4296875
17,509,22.541015625
18,1381,-4.6181640625
19,7,-11.66015625
20,396,-5.04296875
21,263,20.423828125
22,795,-1.9765625
23,594,7.482421875
24,829,-10.6328125
25,638,1.85546875
26,376,0.728515625
27,656,-12.673828125
28,1368,10.615234375
29,246,9.4921875
30,1164,-2.4052734375
31,648,-6.48046875
32,1310,4.4609375
33,481,-11.783203125
34,1131,14.546875
35,1334,-7.1953125
36,761,3.8125
37,627,1.255859375
38,359,-0.71484375
39,106,3.5703125
40,743,16.75390625
41,53,-9.69921875
42,58,-1.8125
43,762,-2.5859375
44,853,-3.494140625
45,724,-6.38671875
46,599,13.349609375
47,1001,18.76953125
48,843,6.77734375
49,1207,4.8642578125
50,885,-7.75390625
51,542,5.177734375
52,1268,4.6953125
53,774,2.875
54,126,-8.94921875
55,564,-21.828125
56,413,-3.0859375
57,164,4.5546875
58,367,1.015625
59,1210,-2.4453125
60,1249,-2.7685546875
61,652,-5.96875
62,1247,-19.69140625
63,89,0.345703125
64,1018,-8.16015625
65,1114,8.830078125
66,493,4.50390625
67,279,-11.287109375
68,697,-5.7890625
69,145,0.91796875
70,1122,3.6015625
71,1150,0.2900390625
72,1004,0.625
73,1179,-0.99609375
74,777,-6.66796875
75,685,-5.609375
76,222,-3.818359375
77,1228,10.6240234375
78,459,1.033203125
79,360,2.21875
80,56,4.13671875
81,940,-1.2666015625
82,538,-9.16015625
83,177,-10.296875
84,415,1.548828125
85,188,4.3115234375
86,195,-8.8046875
87,1136,-0.3984375
88,1258,5.12109375
89,14,-0.48046875
90,191,2.31640625
91,1282,-3.90234375
92,1380,3.03515625
93,460,-4.228515625
94,1091,-1.41796875
95,328,-2.171875
96,416,6.12109375
97,844,-3.57421875
98,15,3.291015625
99,678,5.1181640625
100,69,-2.45703125
101,1219,-3.6982421875
102,675,-5.5
103,13,1.595703125
104,1190,-3.51171875
105,838,11.69140625
106,1025,-1.7109375
107,128,-6.6904296875
108,1187,-0.37109375
109,1378,4.029296875
110,1103,-1.8486328125
111,543,-4.001953125
112,1167,15.0380859375
113,573,-8.109375
114,595,-18.3046875
115,410,1.0185546875
116,440,-2.20703125
117,207,9.91796875
118,508,5.25390625
