,idx,Predval
0,1527,-19.91015625
1,99,0.279296875
2,3593,14.9453125
3,1735,-11.34375
4,1572,-3.90625
5,1227,-10.640625
6,3475,0.625
7,3409,-9.853515625
8,2404,-4.447265625
9,756,-1.595703125
10,514,-9.328125
11,3160,-3.609375
12,1559,0.4765625
13,2309,0.6484375
14,1960,-8.1875
15,1793,4.76953125
16,1305,-45.314453125
17,1141,-23.78125
18,2145,-13.6953125
19,954,0.1953125
20,6,-15.48046875
21,53,-6.556640625
22,278,7.01953125
23,2488,-4.7109375
24,1778,5.4140625
25,2691,-1.8046875
26,73,0.0078125
27,71,-1.8984375
28,1406,0.12109375
29,3950,-5.87890625
30,1579,-0.125
31,2277,0.314453125
32,3244,5.515625
33,3154,35.57421875
34,3892,7.140625
35,1879,7.9140625
36,1826,-4.78515625
37,1127,-6.31640625
38,1182,-6.8125
39,1343,-6.8046875
40,1614,16.056640625
41,2060,12.51953125
42,1417,-6.203125
43,3462,12.3828125
44,3483,12.46875
45,1736,5.9140625
46,3006,7.76953125
47,3948,-4.5078125
48,3597,0.90625
49,2292,-2.109375
50,814,3.6484375
51,1711,-3.953125
52,2944,-8.5546875
53,550,2.234375
54,1990,3.943359375
55,1839,1.97265625
56,226,3.16015625
57,3720,-2.02734375
58,2720,6.36328125
59,177,5.53125
60,1164,-0.90625
61,1669,-3.515625
62,2048,12.14453125
63,3981,0.71875
64,3723,2.703125
65,3249,5.388671875
66,2751,-15.76953125
67,2253,-29.140625
68,2554,-2.36328125
69,3283,-0.296875
70,1391,-34.09375
71,3398,3.28125
72,1314,3.61328125
73,3004,-15.74609375
74,1714,-5.15625
75,1222,21.078125
76,3484,-1.2734375
77,1948,3.10546875
78,3656,-13.9296875
79,3168,0.6796875
80,1074,-9.646484375
81,3039,-0.0703125
82,914,-1.19140625
83,784,-8.125
84,743,4.421875
85,553,-6.30078125
86,3030,11.859375
87,3867,-0.650390625
88,229,2.458984375
89,3551,-1.125
90,1962,5.388671875
91,3217,-29.185546875
92,1371,7.96875
93,2630,13.1640625
94,2006,-10.828125
95,2574,-4.578125
96,3133,7.876953125
97,1196,-8.693359375
98,3450,-4.365234375
99,832,6.78125
100,2706,8.99609375
101,1978,-0.0625
102,3561,4.5390625
103,2844,-6.390625
104,678,0.021484375
105,3805,3.455078125
106,1942,-1.037109375
107,172,1.296875
108,2661,-4.03125
109,3087,-2.890625
110,1327,2.001953125
111,3855,-8.65234375
112,3213,-3.484375
113,3459,2.107421875
114,1425,-0.63671875
115,2856,-10.7890625
116,3831,1.609375
117,468,-2.76953125
118,1597,2.15234375
119,2655,5.421875
120,1710,4.025390625
121,3113,9.30078125
122,3335,24.61328125
123,2169,-4.59375
124,834,-2.833984375
125,2452,5.267578125
126,2431,5.75
127,2788,0.78515625
128,27,-1.701171875
129,1143,-0.5
130,2930,-7.205078125
131,1440,1.73046875
132,2116,-9.3125
133,178,-4.984375
134,368,2.75390625
135,1585,-7.5703125
136,1873,-0.01953125
137,3588,-1.77734375
138,3467,5.22265625
139,1382,2.015625
140,2537,5.51953125
141,2177,-0.3125
142,3655,0.57421875
143,3912,-2.08203125
144,378,1.1796875
145,1111,-5.619140625
146,43,-0.3984375
147,32,9.671875
148,2347,5.736328125
149,1122,-11.10546875
150,3852,-2.453125
151,597,5.2109375
152,859,-13.3515625
153,2176,5.173828125
154,1945,5.9921875
155,1036,23.275390625
156,3361,21.42578125
157,2406,-16.0703125
158,2486,6.19921875
159,2341,9.40625
160,2992,-2.53125
161,2255,-0.76171875
162,2221,-9.59375
163,136,-11.46875
164,94,6.201171875
165,2441,-11.7265625
166,2333,12.318359375
167,1211,-0.078125
168,3934,-10.84765625
169,1128,12.96875
170,2653,-3.375
171,3169,3.96875
172,900,6.75
173,2212,4.171875
174,1339,-4.78125
175,306,11.66015625
176,1483,-2.8515625
177,429,-0.296875
178,221,-8.46484375
179,2587,5.626953125
180,847,-2.96875
181,2175,-1.744140625
182,3964,1.671875
183,207,4.82421875
184,558,18.359375
185,2840,7.52734375
186,518,-2.48828125
187,93,-23.267578125
188,785,-14.171875
189,1749,7.20703125
190,3044,2.173828125
191,2423,-3.068359375
192,2417,2.375
193,54,-4.828125
194,3851,0.140625
195,727,-5.37890625
196,3307,2.16015625
197,759,-12.94921875
198,2637,-4.71875
199,402,-12.734375
200,3902,15.375
201,2180,14.140625
202,1113,0.203125
203,2674,-1.65625
204,13,-17.26953125
205,684,-2.6015625
206,2299,7.021484375
207,1465,-7.19921875
208,1210,4.669921875
209,2126,-14.6640625
210,888,-3.5
211,2067,-6.87109375
212,1145,-2.953125
213,3356,10.57421875
214,1363,4.89453125
215,1642,6.4921875
216,2336,8.40625
217,3869,6.375
218,2830,1.90625
219,3601,0.9140625
220,3882,3.01953125
221,1194,15.99609375
222,1223,1.578125
223,2716,-2.826171875
224,259,-44.96875
225,3358,-0.10546875
226,3331,0.76171875
227,1229,6.58984375
228,2799,-2.46875
229,1025,12.7265625
230,1077,7.45703125
231,2686,2.8203125
232,1275,2.44140625
233,3527,-12.48046875
234,171,-8.8046875
235,722,-32.140625
236,2317,5.4296875
237,2699,9.234375
238,557,6.4375
239,1099,0.4140625
240,1503,-4.22265625
241,1238,-5.65625
242,2897,0.9140625
243,3072,-4.37890625
244,2092,-6.4921875
245,1937,-9.41796875
246,349,-21.501953125
247,580,2.28515625
248,538,-5.59375
249,143,9.1875
250,2718,18.52734375
251,853,2.35546875
252,1112,4.26171875
253,3992,7.9609375
254,612,7.177734375
255,3815,6.0859375
256,1069,-0.068359375
257,2208,-3.015625
258,590,9.1484375
259,1633,16.431640625
260,247,-2.48828125
261,788,8.01953125
262,3841,-12.787109375
263,3056,-11.677734375
264,2994,-15.3515625
265,3719,5.8515625
266,1507,2.919921875
267,3129,-9.71875
268,614,22.41796875
269,185,28.435546875
270,1265,-14.177734375
271,1715,-5.814453125
272,2167,5.060546875
273,1239,3.859375
274,2761,3.849609375
275,1570,-6.5390625
276,2881,8.240234375
277,74,4.544921875
278,1899,-4.8203125
279,3234,-3.689453125
280,1750,-0.98046875
281,440,0.046875
282,3015,1.982421875
283,3638,0.796875
284,3662,5.4375
285,1059,11.84375
286,1338,-13.84765625
287,3187,0.50390625
288,2771,-1.40625
289,2511,3.1796875
290,2836,-7.453125
291,2880,2.88671875
292,830,-0.25390625
293,2900,-4.203125
294,3682,7.421875
295,1947,1.65234375
296,3282,4.3671875
297,2623,-11.328125
298,2001,-1.0625
299,3947,-10.76953125
300,3381,7.91796875
301,2593,4.41015625
302,3985,5.0390625
303,3025,-6.0546875
304,3546,0.578125
305,2046,4.19921875
306,2690,10.54296875
307,1008,18.4375
308,796,-6.390625
