Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
1821,32_32,Ag,16.15,1821,32,32,NHC,NHC,NHC-NHC
1822,32_33,Ag,12.348427320830524,1822,32,33,NHC,NHC,NHC-NHC
1823,32_34,Ag,12.2446,1823,32,34,NHC,NHC,NHC-NHC
1824,32_35,Ag,16.605070924386382,1824,32,35,NHC,NHC,NHC-NHC
1825,32_36,Ag,8.512642297428101,1825,32,36,NHC,NHC,NHC-NHC
1826,32_37,Ag,13.4913,1826,32,37,NHC,NHC,NHC-NHC
1827,32_38,Ag,15.35,1827,32,38,NHC,NHC,NHC-NHC
1828,32_39,Ag,13.0717,1828,32,39,NHC,NHC,NHC-NHC
1829,32_40,Ag,9.07338,1829,32,40,NHC,NHC,NHC-NHC
1830,32_41,Ag,12.124746229033915,1830,32,41,NHC,NHC,NHC-NHC
1831,32_42,Ag,11.3321,1831,32,42,NHC,NHC,NHC-NHC
1832,32_43,Ag,17.8245,1832,32,43,NHC,NHC,NHC-NHC
1833,32_44,Ag,16.5472,1833,32,44,NHC,NHC,NHC-NHC
1834,32_45,Ag,16.866207339800894,1834,32,45,NHC,NHC,NHC-NHC
1835,32_46,Ag,13.430362077895552,1835,32,46,NHC,NHC,NHC-NHC
1836,32_47,Ag,13.6956,1836,32,47,NHC,NHC,NHC-NHC
1837,32_48,Ag,12.6028,1837,32,48,NHC,NHC,NHC-NHC
1838,32_49,Ag,13.9239,1838,32,49,NHC,NHC,NHC-NHC
1865,32_76,Ag,19.20394088793546,1865,32,76,NHC,NHC,NHC-NHC
1866,32_77,Ag,12.844073952175677,1866,32,77,NHC,NHC,NHC-NHC
1867,32_78,Ag,37.45003203395754,1867,32,78,NHC,NHC,NHC-NHC
1880,33_33,Ag,10.837002711836249,1880,33,33,NHC,NHC,NHC-NHC
1881,33_34,Ag,10.458084678743036,1881,33,34,NHC,NHC,NHC-NHC
1882,33_35,Ag,12.2005,1882,33,35,NHC,NHC,NHC-NHC
1883,33_36,Ag,11.361908385064453,1883,33,36,NHC,NHC,NHC-NHC
1884,33_37,Ag,11.121507013216616,1884,33,37,NHC,NHC,NHC-NHC
1885,33_38,Ag,13.3152,1885,33,38,NHC,NHC,NHC-NHC
1886,33_39,Ag,9.61119,1886,33,39,NHC,NHC,NHC-NHC
1887,33_40,Ag,12.8821,1887,33,40,NHC,NHC,NHC-NHC
1888,33_41,Ag,12.5329,1888,33,41,NHC,NHC,NHC-NHC
1889,33_42,Ag,9.79584,1889,33,42,NHC,NHC,NHC-NHC
1890,33_43,Ag,16.6961,1890,33,43,NHC,NHC,NHC-NHC
1891,33_44,Ag,15.4143,1891,33,44,NHC,NHC,NHC-NHC
1892,33_45,Ag,14.351550541818142,1892,33,45,NHC,NHC,NHC-NHC
1893,33_46,Ag,9.432557811494917,1893,33,46,NHC,NHC,NHC-NHC
1894,33_47,Ag,12.6253,1894,33,47,NHC,NHC,NHC-NHC
1895,33_48,Ag,10.6655,1895,33,48,NHC,NHC,NHC-NHC
1896,33_49,Ag,7.950545290019363,1896,33,49,NHC,NHC,NHC-NHC
1923,33_76,Ag,14.53117793938145,1923,33,76,NHC,NHC,NHC-NHC
1924,33_77,Ag,20.995035954751074,1924,33,77,NHC,NHC,NHC-NHC
1925,33_78,Ag,35.21212439099327,1925,33,78,NHC,NHC,NHC-NHC
1938,34_34,Ag,15.6707,1938,34,34,NHC,NHC,NHC-NHC
1939,34_35,Ag,10.4339,1939,34,35,NHC,NHC,NHC-NHC
1940,34_36,Ag,10.149788085371256,1940,34,36,NHC,NHC,NHC-NHC
1941,34_37,Ag,10.94,1941,34,37,NHC,NHC,NHC-NHC
1942,34_38,Ag,16.3439,1942,34,38,NHC,NHC,NHC-NHC
1943,34_39,Ag,10.5527,1943,34,39,NHC,NHC,NHC-NHC
1944,34_40,Ag,7.57854,1944,34,40,NHC,NHC,NHC-NHC
1945,34_41,Ag,11.6445,1945,34,41,NHC,NHC,NHC-NHC
1946,34_42,Ag,8.31064,1946,34,42,NHC,NHC,NHC-NHC
1947,34_43,Ag,13.8843,1947,34,43,NHC,NHC,NHC-NHC
1948,34_44,Ag,18.2499,1948,34,44,NHC,NHC,NHC-NHC
1949,34_45,Ag,18.4689,1949,34,45,NHC,NHC,NHC-NHC
1950,34_46,Ag,9.19748,1950,34,46,NHC,NHC,NHC-NHC
1951,34_47,Ag,7.34266,1951,34,47,NHC,NHC,NHC-NHC
1952,34_48,Ag,14.1256,1952,34,48,NHC,NHC,NHC-NHC
1953,34_49,Ag,5.819535253103823,1953,34,49,NHC,NHC,NHC-NHC
1980,34_76,Ag,20.19936991063878,1980,34,76,NHC,NHC,NHC-NHC
1981,34_77,Ag,-1.905490381643176,1981,34,77,NHC,NHC,NHC-NHC
1982,34_78,Ag,33.769359226338565,1982,34,78,NHC,NHC,NHC-NHC
1995,35_35,Ag,22.44527872558683,1995,35,35,NHC,NHC,NHC-NHC
1996,35_36,Ag,12.08907444961369,1996,35,36,NHC,NHC,NHC-NHC
1997,35_37,Ag,13.320897513069212,1997,35,37,NHC,NHC,NHC-NHC
1998,35_38,Ag,14.41863729665056,1998,35,38,NHC,NHC,NHC-NHC
1999,35_39,Ag,15.6291,1999,35,39,NHC,NHC,NHC-NHC
2000,35_40,Ag,11.0863,2000,35,40,NHC,NHC,NHC-NHC
2001,35_41,Ag,15.485080054961143,2001,35,41,NHC,NHC,NHC-NHC
2002,35_42,Ag,12.586928701028228,2002,35,42,NHC,NHC,NHC-NHC
2003,35_43,Ag,17.985325262416154,2003,35,43,NHC,NHC,NHC-NHC
2004,35_44,Ag,18.678186183795333,2004,35,44,NHC,NHC,NHC-NHC
2005,35_45,Ag,17.86400919035077,2005,35,45,NHC,NHC,NHC-NHC
2006,35_46,Ag,12.23493682825938,2006,35,46,NHC,NHC,NHC-NHC
2007,35_47,Ag,13.095521030016243,2007,35,47,NHC,NHC,NHC-NHC
2008,35_48,Ag,16.0672,2008,35,48,NHC,NHC,NHC-NHC
2009,35_49,Ag,14.508782034739852,2009,35,49,NHC,NHC,NHC-NHC
2036,35_76,Ag,16.86095061758533,2036,35,76,NHC,NHC,NHC-NHC
2037,35_77,Ag,-1.6128960927017033,2037,35,77,NHC,NHC,NHC-NHC
2038,35_78,Ag,36.896152494475245,2038,35,78,NHC,NHC,NHC-NHC
2051,36_36,Ag,8.330704377964139,2051,36,36,NHC,NHC,NHC-NHC
2052,36_37,Ag,-49.868417108821625,2052,36,37,NHC,NHC,NHC-NHC
2053,36_38,Ag,11.4627,2053,36,38,NHC,NHC,NHC-NHC
2054,36_39,Ag,8.84018658194691,2054,36,39,NHC,NHC,NHC-NHC
2055,36_40,Ag,8.610493027139455,2055,36,40,NHC,NHC,NHC-NHC
2056,36_41,Ag,9.17488,2056,36,41,NHC,NHC,NHC-NHC
2057,36_42,Ag,7.436336133163422,2057,36,42,NHC,NHC,NHC-NHC
2058,36_43,Ag,11.869913565460593,2058,36,43,NHC,NHC,NHC-NHC
2059,36_44,Ag,13.185257836710662,2059,36,44,NHC,NHC,NHC-NHC
2060,36_45,Ag,12.386700643226504,2060,36,45,NHC,NHC,NHC-NHC
2061,36_46,Ag,10.28845891961828,2061,36,46,NHC,NHC,NHC-NHC
2062,36_47,Ag,7.68281773570925,2062,36,47,NHC,NHC,NHC-NHC
2063,36_48,Ag,9.1923,2063,36,48,NHC,NHC,NHC-NHC
2064,36_49,Ag,8.37427,2064,36,49,NHC,NHC,NHC-NHC
2091,36_76,Ag,16.55448591336608,2091,36,76,NHC,NHC,NHC-NHC
2092,36_77,Ag,11.088100522756577,2092,36,77,NHC,NHC,NHC-NHC
2093,36_78,Ag,36.44692059792578,2093,36,78,NHC,NHC,NHC-NHC
2106,37_37,Ag,11.599,2106,37,37,NHC,NHC,NHC-NHC
2107,37_38,Ag,11.087666550651193,2107,37,38,NHC,NHC,NHC-NHC
2108,37_39,Ag,12.0836,2108,37,39,NHC,NHC,NHC-NHC
2109,37_40,Ag,9.55507,2109,37,40,NHC,NHC,NHC-NHC
2110,37_41,Ag,5.065130126662552,2110,37,41,NHC,NHC,NHC-NHC
2111,37_42,Ag,10.72836607741192,2111,37,42,NHC,NHC,NHC-NHC
2112,37_43,Ag,14.5869,2112,37,43,NHC,NHC,NHC-NHC
2113,37_44,Ag,13.3464,2113,37,44,NHC,NHC,NHC-NHC
2114,37_45,Ag,10.124023319687694,2114,37,45,NHC,NHC,NHC-NHC
2115,37_46,Ag,7.461596067529172,2115,37,46,NHC,NHC,NHC-NHC
2116,37_47,Ag,10.163115526083857,2116,37,47,NHC,NHC,NHC-NHC
2117,37_48,Ag,10.388,2117,37,48,NHC,NHC,NHC-NHC
2118,37_49,Ag,10.85,2118,37,49,NHC,NHC,NHC-NHC
2145,37_76,Ag,6.404720832593739,2145,37,76,NHC,NHC,NHC-NHC
2146,37_77,Ag,-11.755919499788432,2146,37,77,NHC,NHC,NHC-NHC
2147,37_78,Ag,30.48337180679664,2147,37,78,NHC,NHC,NHC-NHC
2160,38_38,Ag,14.99,2160,38,38,NHC,NHC,NHC-NHC
2161,38_39,Ag,13.5965,2161,38,39,NHC,NHC,NHC-NHC
2162,38_40,Ag,8.92686,2162,38,40,NHC,NHC,NHC-NHC
2163,38_41,Ag,11.2048,2163,38,41,NHC,NHC,NHC-NHC
2164,38_42,Ag,9.91727,2164,38,42,NHC,NHC,NHC-NHC
2165,38_43,Ag,16.3176,2165,38,43,NHC,NHC,NHC-NHC
2166,38_44,Ag,15.6555,2166,38,44,NHC,NHC,NHC-NHC
2167,38_45,Ag,13.2809,2167,38,45,NHC,NHC,NHC-NHC
2168,38_46,Ag,10.5409,2168,38,46,NHC,NHC,NHC-NHC
2169,38_47,Ag,13.5375,2169,38,47,NHC,NHC,NHC-NHC
2170,38_48,Ag,10.7039,2170,38,48,NHC,NHC,NHC-NHC
2171,38_49,Ag,12.1754,2171,38,49,NHC,NHC,NHC-NHC
2198,38_76,Ag,12.529636810999364,2198,38,76,NHC,NHC,NHC-NHC
2199,38_77,Ag,12.637622613459826,2199,38,77,NHC,NHC,NHC-NHC
2200,38_78,Ag,37.27726477570832,2200,38,78,NHC,NHC,NHC-NHC
2213,39_39,Ag,7.15756,2213,39,39,NHC,NHC,NHC-NHC
2214,39_40,Ag,9.74359,2214,39,40,NHC,NHC,NHC-NHC
2215,39_41,Ag,10.122,2215,39,41,NHC,NHC,NHC-NHC
2216,39_42,Ag,6.94287,2216,39,42,NHC,NHC,NHC-NHC
2217,39_43,Ag,13.3397,2217,39,43,NHC,NHC,NHC-NHC
2218,39_44,Ag,12.0455,2218,39,44,NHC,NHC,NHC-NHC
2219,39_45,Ag,9.34835510980338,2219,39,45,NHC,NHC,NHC-NHC
2220,39_46,Ag,9.05037,2220,39,46,NHC,NHC,NHC-NHC
2221,39_47,Ag,11.9403,2221,39,47,NHC,NHC,NHC-NHC
2222,39_48,Ag,6.88048,2222,39,48,NHC,NHC,NHC-NHC
2223,39_49,Ag,8.48764,2223,39,49,NHC,NHC,NHC-NHC
2250,39_76,Ag,0.8248563990928233,2250,39,76,NHC,NHC,NHC-NHC
2251,39_77,Ag,8.607354693580419,2251,39,77,NHC,NHC,NHC-NHC
2252,39_78,Ag,34.17333669355139,2252,39,78,NHC,NHC,NHC-NHC
2353,40_40,Ag,7.04128,2353,40,40,NHC,NHC,NHC-NHC
2354,40_41,Ag,11.8679,2354,40,41,NHC,NHC,NHC-NHC
2355,40_42,Ag,6.43877,2355,40,42,NHC,NHC,NHC-NHC
2356,40_43,Ag,10.5463,2356,40,43,NHC,NHC,NHC-NHC
2357,40_44,Ag,11.3405,2357,40,44,NHC,NHC,NHC-NHC
2358,40_45,Ag,15.4546,2358,40,45,NHC,NHC,NHC-NHC
2359,40_46,Ag,10.1209,2359,40,46,NHC,NHC,NHC-NHC
2360,40_47,Ag,10.90630529820919,2360,40,47,NHC,NHC,NHC-NHC
2361,40_48,Ag,12.2662,2361,40,48,NHC,NHC,NHC-NHC
2362,40_49,Ag,9.47711,2362,40,49,NHC,NHC,NHC-NHC
2389,40_76,Ag,9.608450442086903,2389,40,76,NHC,NHC,NHC-NHC
2390,40_77,Ag,3.303108160384,2390,40,77,NHC,NHC,NHC-NHC
2391,40_78,Ag,32.47431985847652,2391,40,78,NHC,NHC,NHC-NHC
2404,41_41,Ag,10.613655275665224,2404,41,41,NHC,NHC,NHC-NHC
2405,41_42,Ag,9.731403461657465,2405,41,42,NHC,NHC,NHC-NHC
2406,41_43,Ag,13.84,2406,41,43,NHC,NHC,NHC-NHC
2407,41_44,Ag,13.816260090097783,2407,41,44,NHC,NHC,NHC-NHC
2408,41_45,Ag,10.5124,2408,41,45,NHC,NHC,NHC-NHC
2409,41_46,Ag,9.79534,2409,41,46,NHC,NHC,NHC-NHC
2410,41_47,Ag,11.87,2410,41,47,NHC,NHC,NHC-NHC
2411,41_48,Ag,8.76026,2411,41,48,NHC,NHC,NHC-NHC
2412,41_49,Ag,10.64456432312727,2412,41,49,NHC,NHC,NHC-NHC
2439,41_76,Ag,7.490910537540913,2439,41,76,NHC,NHC,NHC-NHC
2440,41_77,Ag,4.029105171561241,2440,41,77,NHC,NHC,NHC-NHC
2441,41_78,Ag,28.376147279981524,2441,41,78,NHC,NHC,NHC-NHC
2454,42_42,Ag,8.6152662942186,2454,42,42,NHC,NHC,NHC-NHC
2455,42_43,Ag,14.050680474378169,2455,42,43,NHC,NHC,NHC-NHC
2456,42_44,Ag,11.1458,2456,42,44,NHC,NHC,NHC-NHC
2457,42_45,Ag,9.521955052856356,2457,42,45,NHC,NHC,NHC-NHC
2458,42_46,Ag,10.048092122655362,2458,42,46,NHC,NHC,NHC-NHC
2459,42_47,Ag,10.684,2459,42,47,NHC,NHC,NHC-NHC
2460,42_48,Ag,5.71667,2460,42,48,NHC,NHC,NHC-NHC
2461,42_49,Ag,6.8243,2461,42,49,NHC,NHC,NHC-NHC
2488,42_76,Ag,16.803498963825405,2488,42,76,NHC,NHC,NHC-NHC
2489,42_77,Ag,10.251007238868624,2489,42,77,NHC,NHC,NHC-NHC
2490,42_78,Ag,36.47724382998422,2490,42,78,NHC,NHC,NHC-NHC
2503,43_43,Ag,19.20657517481596,2503,43,43,NHC,NHC,NHC-NHC
2504,43_44,Ag,17.856563094537705,2504,43,44,NHC,NHC,NHC-NHC
2505,43_45,Ag,16.84,2505,43,45,NHC,NHC,NHC-NHC
2506,43_46,Ag,15.1685,2506,43,46,NHC,NHC,NHC-NHC
2507,43_47,Ag,15.206807953771204,2507,43,47,NHC,NHC,NHC-NHC
2508,43_48,Ag,13.51,2508,43,48,NHC,NHC,NHC-NHC
2509,43_49,Ag,14.82,2509,43,49,NHC,NHC,NHC-NHC
2536,43_76,Ag,-1.7509602033533156,2536,43,76,NHC,NHC,NHC-NHC
2537,43_77,Ag,-1.913778939750045,2537,43,77,NHC,NHC,NHC-NHC
2538,43_78,Ag,44.31970060383901,2538,43,78,NHC,NHC,NHC-NHC
2551,44_44,Ag,15.624385923147202,2551,44,44,NHC,NHC,NHC-NHC
2552,44_45,Ag,20.76165242213756,2552,44,45,NHC,NHC,NHC-NHC
2553,44_46,Ag,11.33,2553,44,46,NHC,NHC,NHC-NHC
2554,44_47,Ag,15.88,2554,44,47,NHC,NHC,NHC-NHC
2555,44_48,Ag,12.33,2555,44,48,NHC,NHC,NHC-NHC
2556,44_49,Ag,15.35,2556,44,49,NHC,NHC,NHC-NHC
2583,44_76,Ag,61.5989047056064,2583,44,76,NHC,NHC,NHC-NHC
2584,44_77,Ag,9.257503082975743,2584,44,77,NHC,NHC,NHC-NHC
2585,44_78,Ag,34.10879229847342,2585,44,78,NHC,NHC,NHC-NHC
2598,45_45,Ag,12.49272667663172,2598,45,45,NHC,NHC,NHC-NHC
2599,45_46,Ag,11.173932013567535,2599,45,46,NHC,NHC,NHC-NHC
2600,45_47,Ag,13.832609497010708,2600,45,47,NHC,NHC,NHC-NHC
2601,45_48,Ag,10.5788,2601,45,48,NHC,NHC,NHC-NHC
2602,45_49,Ag,10.9224,2602,45,49,NHC,NHC,NHC-NHC
2629,45_76,Ag,18.627408880274743,2629,45,76,NHC,NHC,NHC-NHC
2630,45_77,Ag,0.0,2630,45,77,NHC,NHC,NHC-NHC
2631,45_78,Ag,31.76003293553368,2631,45,78,NHC,NHC,NHC-NHC
2644,46_46,Ag,9.418142581358552,2644,46,46,NHC,NHC,NHC-NHC
2645,46_47,Ag,3.691512882243842,2645,46,47,NHC,NHC,NHC-NHC
2646,46_48,Ag,7.21822,2646,46,48,NHC,NHC,NHC-NHC
2647,46_49,Ag,8.40103,2647,46,49,NHC,NHC,NHC-NHC
2674,46_76,Ag,14.663208151236176,2674,46,76,NHC,NHC,NHC-NHC
2675,46_77,Ag,0.0,2675,46,77,NHC,NHC,NHC-NHC
2676,46_78,Ag,32.09785839915276,2676,46,78,NHC,NHC,NHC-NHC
2689,47_47,Ag,9.63711921684444,2689,47,47,NHC,NHC,NHC-NHC
2690,47_48,Ag,8.95236,2690,47,48,NHC,NHC,NHC-NHC
2691,47_49,Ag,13.626774560194464,2691,47,49,NHC,NHC,NHC-NHC
2718,47_76,Ag,4.43715420179069,2718,47,76,NHC,NHC,NHC-NHC
2719,47_77,Ag,3.4008783297613263,2719,47,77,NHC,NHC,NHC-NHC
2720,47_78,Ag,30.87139630923048,2720,47,78,NHC,NHC,NHC-NHC
2733,48_48,Ag,9.45022,2733,48,48,NHC,NHC,NHC-NHC
2734,48_49,Ag,10.7524,2734,48,49,NHC,NHC,NHC-NHC
2761,48_76,Ag,10.4237295743078,2761,48,76,NHC,NHC,NHC-NHC
2762,48_77,Ag,13.860001981724054,2762,48,77,NHC,NHC,NHC-NHC
2763,48_78,Ag,31.466353356838223,2763,48,78,NHC,NHC,NHC-NHC
2776,49_49,Ag,11.2325,2776,49,49,NHC,NHC,NHC-NHC
2803,49_76,Ag,10.326742423232645,2803,49,76,NHC,NHC,NHC-NHC
2804,49_77,Ag,13.928331742994487,2804,49,77,NHC,NHC,NHC-NHC
2805,49_78,Ag,32.109376275446266,2805,49,78,NHC,NHC,NHC-NHC
3817,76_76,Ag,-22.11913038557396,3817,76,76,NHC,NHC,NHC-NHC
3818,76_77,Ag,-8.12061950414293,3818,76,77,NHC,NHC,NHC-NHC
3819,76_78,Ag,30.96828470239416,3819,76,78,NHC,NHC,NHC-NHC
3832,77_77,Ag,-23.52850341051817,3832,77,77,NHC,NHC,NHC-NHC
3833,77_78,Ag,43.290886017493904,3833,77,78,NHC,NHC,NHC-NHC
3846,78_78,Ag,63.544301294256,3846,78,78,NHC,NHC,NHC-NHC
6007,32_32,Au,0.12,6007,32,32,NHC,NHC,NHC-NHC
6008,32_33,Au,0.502258,6008,32,33,NHC,NHC,NHC-NHC
6009,32_34,Au,-2.59,6009,32,34,NHC,NHC,NHC-NHC
6010,32_35,Au,2.61,6010,32,35,NHC,NHC,NHC-NHC
6011,32_36,Au,-2.56791,6011,32,36,NHC,NHC,NHC-NHC
6012,32_37,Au,-6.19091404043138,6012,32,37,NHC,NHC,NHC-NHC
6013,32_38,Au,-0.61,6013,32,38,NHC,NHC,NHC-NHC
