Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
1856,32_67,Ag,23.3794710021466,1856,32,67,NHC,Other,NHC-Other
1857,32_68,Ag,20.73,1857,32,68,NHC,Other,NHC-Other
1858,32_69,Ag,19.976981814485043,1858,32,69,NHC,Other,NHC-Other
1859,32_70,Ag,15.399725509341806,1859,32,70,NHC,Other,NHC-Other
1860,32_71,Ag,27.46780188428238,1860,32,71,NHC,Other,NHC-Other
1868,32_79,Ag,43.764845902100205,1868,32,79,NHC,Other,NHC-Other
1869,32_80,Ag,33.981307519134134,1869,32,80,NHC,Other,NHC-Other
1874,32_85,Ag,14.605960212182254,1874,32,85,NHC,Other,NHC-Other
1875,32_86,Ag,16.117002829443663,1875,32,86,NHC,Other,NHC-Other
1876,32_87,Ag,15.857345800846817,1876,32,87,NHC,Other,NHC-Other
1877,32_88,Ag,17.3198028835468,1877,32,88,NHC,Other,NHC-Other
1878,32_89,Ag,18.21356741571799,1878,32,89,NHC,Other,NHC-Other
1879,32_90,Ag,41.42000535130501,1879,32,90,NHC,Other,NHC-Other
1914,33_67,Ag,21.56,1914,33,67,NHC,Other,NHC-Other
1915,33_68,Ag,20.54258835548535,1915,33,68,NHC,Other,NHC-Other
1916,33_69,Ag,19.05607827194035,1916,33,69,NHC,Other,NHC-Other
1917,33_70,Ag,14.227534547448158,1917,33,70,NHC,Other,NHC-Other
1918,33_71,Ag,24.50037888577208,1918,33,71,NHC,Other,NHC-Other
1926,33_79,Ag,42.07404992356896,1926,33,79,NHC,Other,NHC-Other
1927,33_80,Ag,32.2827359396033,1927,33,80,NHC,Other,NHC-Other
1932,33_85,Ag,14.706995346583426,1932,33,85,NHC,Other,NHC-Other
1933,33_86,Ag,14.919467708095908,1933,33,86,NHC,Other,NHC-Other
1934,33_87,Ag,11.19067901559174,1934,33,87,NHC,Other,NHC-Other
1935,33_88,Ag,15.368883886374531,1935,33,88,NHC,Other,NHC-Other
1936,33_89,Ag,17.90052087465301,1936,33,89,NHC,Other,NHC-Other
1937,33_90,Ag,38.37223700853065,1937,33,90,NHC,Other,NHC-Other
1971,34_67,Ag,20.37026160536334,1971,34,67,NHC,Other,NHC-Other
1972,34_68,Ag,18.45366355916485,1972,34,68,NHC,Other,NHC-Other
1973,34_69,Ag,18.22137511987239,1973,34,69,NHC,Other,NHC-Other
1974,34_70,Ag,15.00234687048942,1974,34,70,NHC,Other,NHC-Other
1975,34_71,Ag,24.530094006564468,1975,34,71,NHC,Other,NHC-Other
1983,34_79,Ag,40.31559953419492,1983,34,79,NHC,Other,NHC-Other
1984,34_80,Ag,30.69059532321989,1984,34,80,NHC,Other,NHC-Other
1989,34_85,Ag,10.96737951040268,1989,34,85,NHC,Other,NHC-Other
1990,34_86,Ag,15.197164179757236,1990,34,86,NHC,Other,NHC-Other
1991,34_87,Ag,15.53245116956532,1991,34,87,NHC,Other,NHC-Other
1992,34_88,Ag,14.262718683574349,1992,34,88,NHC,Other,NHC-Other
1993,34_89,Ag,17.098689952865243,1993,34,89,NHC,Other,NHC-Other
1994,34_90,Ag,39.56959227006882,1994,34,90,NHC,Other,NHC-Other
2027,35_67,Ag,22.62,2027,35,67,NHC,Other,NHC-Other
2028,35_68,Ag,19.70302266068757,2028,35,68,NHC,Other,NHC-Other
2029,35_69,Ag,21.707334256730974,2029,35,69,NHC,Other,NHC-Other
2030,35_70,Ag,17.9,2030,35,70,NHC,Other,NHC-Other
2031,35_71,Ag,28.56399814411997,2031,35,71,NHC,Other,NHC-Other
2039,35_79,Ag,43.95805236464366,2039,35,79,NHC,Other,NHC-Other
2040,35_80,Ag,34.390243391506374,2040,35,80,NHC,Other,NHC-Other
2045,35_85,Ag,15.65953539405018,2045,35,85,NHC,Other,NHC-Other
2046,35_86,Ag,18.802687976509333,2046,35,86,NHC,Other,NHC-Other
2047,35_87,Ag,16.947722889017314,2047,35,87,NHC,Other,NHC-Other
2048,35_88,Ag,16.26078386651352,2048,35,88,NHC,Other,NHC-Other
2049,35_89,Ag,21.51631538942456,2049,35,89,NHC,Other,NHC-Other
2050,35_90,Ag,44.28534870548174,2050,35,90,NHC,Other,NHC-Other
2082,36_67,Ag,17.713080848567188,2082,36,67,NHC,Other,NHC-Other
2083,36_68,Ag,16.07,2083,36,68,NHC,Other,NHC-Other
2084,36_69,Ag,12.58,2084,36,69,NHC,Other,NHC-Other
2085,36_70,Ag,13.42,2085,36,70,NHC,Other,NHC-Other
2086,36_71,Ag,23.152235318906605,2086,36,71,NHC,Other,NHC-Other
2094,36_79,Ag,36.470822410658,2094,36,79,NHC,Other,NHC-Other
2095,36_80,Ag,29.120115481317043,2095,36,80,NHC,Other,NHC-Other
2100,36_85,Ag,9.031428626738489,2100,36,85,NHC,Other,NHC-Other
2101,36_86,Ag,16.23419290408492,2101,36,86,NHC,Other,NHC-Other
2102,36_87,Ag,10.017661397345364,2102,36,87,NHC,Other,NHC-Other
2103,36_88,Ag,9.075337192974985,2103,36,88,NHC,Other,NHC-Other
2104,36_89,Ag,15.608363944105804,2104,36,89,NHC,Other,NHC-Other
2105,36_90,Ag,35.78932799119502,2105,36,90,NHC,Other,NHC-Other
2136,37_67,Ag,19.71927312901244,2136,37,67,NHC,Other,NHC-Other
2137,37_68,Ag,18.43077059695497,2137,37,68,NHC,Other,NHC-Other
2138,37_69,Ag,18.12,2138,37,69,NHC,Other,NHC-Other
2139,37_70,Ag,18.012783266138285,2139,37,70,NHC,Other,NHC-Other
2140,37_71,Ag,26.71837366372347,2140,37,71,NHC,Other,NHC-Other
2148,37_79,Ag,38.57478737505153,2148,37,79,NHC,Other,NHC-Other
2149,37_80,Ag,29.756840496789664,2149,37,80,NHC,Other,NHC-Other
2154,37_85,Ag,0.0,2154,37,85,NHC,Other,NHC-Other
2155,37_86,Ag,22.73334882967174,2155,37,86,NHC,Other,NHC-Other
2156,37_87,Ag,13.708012476097792,2156,37,87,NHC,Other,NHC-Other
2157,37_88,Ag,10.205198194365948,2157,37,88,NHC,Other,NHC-Other
2158,37_89,Ag,16.35844527045265,2158,37,89,NHC,Other,NHC-Other
2159,37_90,Ag,43.90329011809081,2159,37,90,NHC,Other,NHC-Other
2189,38_67,Ag,23.58501947065816,2189,38,67,NHC,Other,NHC-Other
