Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
1839,32_50,Ag,19.93421552143991,1839,32,50,NHC,Py,NHC-Py
1840,32_51,Ag,20.58247883431613,1840,32,51,NHC,Py,NHC-Py
1841,32_52,Ag,18.95830739568919,1841,32,52,NHC,Py,NHC-Py
1842,32_53,Ag,19.291839045472443,1842,32,53,NHC,Py,NHC-Py
1843,32_54,Ag,20.739405683241785,1843,32,54,NHC,Py,NHC-Py
1844,32_55,Ag,20.234952768310905,1844,32,55,NHC,Py,NHC-Py
1845,32_56,Ag,19.724711684510112,1845,32,56,NHC,Py,NHC-Py
1846,32_57,Ag,18.51615622313693,1846,32,57,NHC,Py,NHC-Py
1847,32_58,Ag,19.67,1847,32,58,NHC,Py,NHC-Py
1848,32_59,Ag,19.80026706494391,1848,32,59,NHC,Py,NHC-Py
1849,32_60,Ag,18.84905202453956,1849,32,60,NHC,Py,NHC-Py
1850,32_61,Ag,20.18,1850,32,61,NHC,Py,NHC-Py
1851,32_62,Ag,19.55398092791438,1851,32,62,NHC,Py,NHC-Py
1852,32_63,Ag,19.698927546851337,1852,32,63,NHC,Py,NHC-Py
1853,32_64,Ag,17.86384459026158,1853,32,64,NHC,Py,NHC-Py
1854,32_65,Ag,18.47,1854,32,65,NHC,Py,NHC-Py
1855,32_66,Ag,22.23851127363741,1855,32,66,NHC,Py,NHC-Py
1897,33_50,Ag,17.863586811814457,1897,33,50,NHC,Py,NHC-Py
1898,33_51,Ag,21.30929282354191,1898,33,51,NHC,Py,NHC-Py
1899,33_52,Ag,16.80326902633533,1899,33,52,NHC,Py,NHC-Py
1900,33_53,Ag,17.301698740571737,1900,33,53,NHC,Py,NHC-Py
1901,33_54,Ag,17.879966359585524,1901,33,54,NHC,Py,NHC-Py
1902,33_55,Ag,18.609048624522984,1902,33,55,NHC,Py,NHC-Py
1903,33_56,Ag,17.75244559207931,1903,33,56,NHC,Py,NHC-Py
1904,33_57,Ag,18.86236985307187,1904,33,57,NHC,Py,NHC-Py
1905,33_58,Ag,18.14441289147362,1905,33,58,NHC,Py,NHC-Py
1906,33_59,Ag,18.49251491716132,1906,33,59,NHC,Py,NHC-Py
1907,33_60,Ag,15.748230764642358,1907,33,60,NHC,Py,NHC-Py
1908,33_61,Ag,18.20515116583556,1908,33,61,NHC,Py,NHC-Py
1909,33_62,Ag,18.04234520206228,1909,33,62,NHC,Py,NHC-Py
1910,33_63,Ag,17.59,1910,33,63,NHC,Py,NHC-Py
1911,33_64,Ag,18.37639103503897,1911,33,64,NHC,Py,NHC-Py
1912,33_65,Ag,17.508099550381303,1912,33,65,NHC,Py,NHC-Py
1913,33_66,Ag,18.059167502447963,1913,33,66,NHC,Py,NHC-Py
1954,34_50,Ag,16.78198396600783,1954,34,50,NHC,Py,NHC-Py
1955,34_51,Ag,21.33,1955,34,51,NHC,Py,NHC-Py
1956,34_52,Ag,15.96291157323867,1956,34,52,NHC,Py,NHC-Py
1957,34_53,Ag,16.796267530415207,1957,34,53,NHC,Py,NHC-Py
1958,34_54,Ag,16.937246213667095,1958,34,54,NHC,Py,NHC-Py
1959,34_55,Ag,17.481456289067864,1959,34,55,NHC,Py,NHC-Py
1960,34_56,Ag,16.76834073662758,1960,34,56,NHC,Py,NHC-Py
1961,34_57,Ag,17.7897,1961,34,57,NHC,Py,NHC-Py
1962,34_58,Ag,16.800441196653992,1962,34,58,NHC,Py,NHC-Py
1963,34_59,Ag,17.04934017173946,1963,34,59,NHC,Py,NHC-Py
1964,34_60,Ag,17.08177580498159,1964,34,60,NHC,Py,NHC-Py
