Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
3552,67_67,Ag,37.29112578323111,3552,67,67,Other,Other,Other-Other
3553,67_68,Ag,34.63150105020031,3553,67,68,Other,Other,Other-Other
3554,67_69,Ag,31.856922125443816,3554,67,69,Other,Other,Other-Other
3555,67_70,Ag,28.336781644728035,3555,67,70,Other,Other,Other-Other
3556,67_71,Ag,43.94222367461771,3556,67,71,Other,Other,Other-Other
3564,67_79,Ag,56.133063653018326,3564,67,79,Other,Other,Other-Other
3565,67_80,Ag,46.62705653999001,3565,67,80,Other,Other,Other-Other
3570,67_85,Ag,24.6595494276844,3570,67,85,Other,Other,Other-Other
3571,67_86,Ag,22.882108852267265,3571,67,86,Other,Other,Other-Other
3572,67_87,Ag,27.19587748963385,3572,67,87,Other,Other,Other-Other
3573,67_88,Ag,28.342907790560275,3573,67,88,Other,Other,Other-Other
3574,67_89,Ag,27.860594626516104,3574,67,89,Other,Other,Other-Other
3575,67_90,Ag,47.37068056175485,3575,67,90,Other,Other,Other-Other
3576,68_68,Ag,34.27,3576,68,68,Other,Other,Other-Other
3577,68_69,Ag,27.82055524457246,3577,68,69,Other,Other,Other-Other
3578,68_70,Ag,27.39,3578,68,70,Other,Other,Other-Other
3579,68_71,Ag,37.95,3579,68,71,Other,Other,Other-Other
3587,68_79,Ag,52.67349041812122,3587,68,79,Other,Other,Other-Other
3588,68_80,Ag,43.14734089421109,3588,68,80,Other,Other,Other-Other
3593,68_85,Ag,19.73406797461212,3593,68,85,Other,Other,Other-Other
3594,68_86,Ag,19.60992212733254,3594,68,86,Other,Other,Other-Other
3595,68_87,Ag,20.29042059509084,3595,68,87,Other,Other,Other-Other
3596,68_88,Ag,24.30832738848403,3596,68,88,Other,Other,Other-Other
3597,68_89,Ag,33.08756782626733,3597,68,89,Other,Other,Other-Other
3598,68_90,Ag,44.15140888933093,3598,68,90,Other,Other,Other-Other
3599,69_69,Ag,25.0356792001985,3599,69,69,Other,Other,Other-Other
3600,69_70,Ag,21.306809985544533,3600,69,70,Other,Other,Other-Other
3601,69_71,Ag,33.71256923582405,3601,69,71,Other,Other,Other-Other
3609,69_79,Ag,49.99796449718997,3609,69,79,Other,Other,Other-Other
