Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
26,0_32,Ag,26.25271742697805,26,0,32,P,NHC,P-NHC
27,0_33,Ag,23.65037551987916,27,0,33,P,NHC,P-NHC
28,0_34,Ag,19.13430737517774,28,0,34,P,NHC,P-NHC
29,0_35,Ag,24.443932810798287,29,0,35,P,NHC,P-NHC
30,0_36,Ag,18.63879443379119,30,0,36,P,NHC,P-NHC
31,0_37,Ag,19.09969002287835,31,0,37,P,NHC,P-NHC
32,0_38,Ag,17.308202723041177,32,0,38,P,NHC,P-NHC
33,0_39,Ag,15.61906385794282,33,0,39,P,NHC,P-NHC
35,0_40,Ag,13.4940359541215,35,0,40,P,NHC,P-NHC
36,0_41,Ag,15.98965103086084,36,0,41,P,NHC,P-NHC
37,0_42,Ag,20.5699,37,0,42,P,NHC,P-NHC
38,0_43,Ag,19.72,38,0,43,P,NHC,P-NHC
39,0_44,Ag,20.33,39,0,44,P,NHC,P-NHC
40,0_45,Ag,15.139140416868033,40,0,45,P,NHC,P-NHC
41,0_46,Ag,8.624957702122629,41,0,46,P,NHC,P-NHC
42,0_47,Ag,24.95,42,0,47,P,NHC,P-NHC
43,0_48,Ag,14.523663949221373,43,0,48,P,NHC,P-NHC
44,0_49,Ag,20.8583585168235,44,0,49,P,NHC,P-NHC
74,0_76,Ag,18.184903492685407,74,0,76,P,NHC,P-NHC
75,0_77,Ag,16.03946670331061,75,0,77,P,NHC,P-NHC
76,0_78,Ag,50.71840213378891,76,0,78,P,NHC,P-NHC
113,10_32,Ag,12.61,113,10,32,P,NHC,P-NHC
114,10_33,Ag,14.88,114,10,33,P,NHC,P-NHC
115,10_34,Ag,14.58,115,10,34,P,NHC,P-NHC
116,10_35,Ag,15.75,116,10,35,P,NHC,P-NHC
117,10_36,Ag,7.232393929734826,117,10,36,P,NHC,P-NHC
118,10_37,Ag,8.311552876606584,118,10,37,P,NHC,P-NHC
119,10_38,Ag,11.324049499817193,119,10,38,P,NHC,P-NHC
120,10_39,Ag,11.07,120,10,39,P,NHC,P-NHC
121,10_40,Ag,10.021226880606264,121,10,40,P,NHC,P-NHC
122,10_41,Ag,10.441263746470211,122,10,41,P,NHC,P-NHC
123,10_42,Ag,10.030183581635356,123,10,42,P,NHC,P-NHC
124,10_43,Ag,13.5,124,10,43,P,NHC,P-NHC
125,10_44,Ag,11.82,125,10,44,P,NHC,P-NHC
126,10_45,Ag,13.04,126,10,45,P,NHC,P-NHC
127,10_46,Ag,13.85,127,10,46,P,NHC,P-NHC
128,10_47,Ag,8.97411992913112,128,10,47,P,NHC,P-NHC
129,10_48,Ag,11.35,129,10,48,P,NHC,P-NHC
130,10_49,Ag,13.21,130,10,49,P,NHC,P-NHC
157,10_76,Ag,2.875404112506658,157,10,76,P,NHC,P-NHC
158,10_77,Ag,13.797962535638362,158,10,77,P,NHC,P-NHC
159,10_78,Ag,27.49792713019997,159,10,78,P,NHC,P-NHC
193,11_32,Ag,14.04,193,11,32,P,NHC,P-NHC
194,11_33,Ag,11.63,194,11,33,P,NHC,P-NHC
195,11_34,Ag,13.44,195,11,34,P,NHC,P-NHC
196,11_35,Ag,16.15,196,11,35,P,NHC,P-NHC
197,11_36,Ag,5.906268232036382,197,11,36,P,NHC,P-NHC
198,11_37,Ag,16.76040087779984,198,11,37,P,NHC,P-NHC
199,11_38,Ag,12.83,199,11,38,P,NHC,P-NHC
200,11_39,Ag,9.685629683546722,200,11,39,P,NHC,P-NHC
201,11_40,Ag,8.715577811934054,201,11,40,P,NHC,P-NHC
202,11_41,Ag,12.5763,202,11,41,P,NHC,P-NHC
203,11_42,Ag,11.74,203,11,42,P,NHC,P-NHC
204,11_43,Ag,15.87,204,11,43,P,NHC,P-NHC
205,11_44,Ag,15.82,205,11,44,P,NHC,P-NHC
206,11_45,Ag,15.443432088475674,206,11,45,P,NHC,P-NHC
207,11_46,Ag,10.61,207,11,46,P,NHC,P-NHC
208,11_47,Ag,16.863809392321855,208,11,47,P,NHC,P-NHC
209,11_48,Ag,11.92,209,11,48,P,NHC,P-NHC
210,11_49,Ag,14.11,210,11,49,P,NHC,P-NHC
237,11_76,Ag,30.10434640850872,237,11,76,P,NHC,P-NHC
238,11_77,Ag,16.093686510343105,238,11,77,P,NHC,P-NHC
239,11_78,Ag,30.908343102317303,239,11,78,P,NHC,P-NHC
272,12_32,Ag,14.52,272,12,32,P,NHC,P-NHC
273,12_33,Ag,11.26,273,12,33,P,NHC,P-NHC
274,12_34,Ag,12.65,274,12,34,P,NHC,P-NHC
275,12_35,Ag,18.89,275,12,35,P,NHC,P-NHC
276,12_36,Ag,10.3,276,12,36,P,NHC,P-NHC
277,12_37,Ag,9.875804216135291,277,12,37,P,NHC,P-NHC
278,12_38,Ag,12.72,278,12,38,P,NHC,P-NHC
279,12_39,Ag,10.08,279,12,39,P,NHC,P-NHC
280,12_40,Ag,10.07,280,12,40,P,NHC,P-NHC
281,12_41,Ag,16.4372,281,12,41,P,NHC,P-NHC
282,12_42,Ag,11.87,282,12,42,P,NHC,P-NHC
283,12_43,Ag,16.152165177743882,283,12,43,P,NHC,P-NHC
284,12_44,Ag,15.86,284,12,44,P,NHC,P-NHC
285,12_45,Ag,11.56,285,12,45,P,NHC,P-NHC
286,12_46,Ag,14.09,286,12,46,P,NHC,P-NHC
287,12_47,Ag,10.79,287,12,47,P,NHC,P-NHC
288,12_48,Ag,13.64,288,12,48,P,NHC,P-NHC
289,12_49,Ag,11.878575354348868,289,12,49,P,NHC,P-NHC
316,12_76,Ag,15.285290077328682,316,12,76,P,NHC,P-NHC
317,12_77,Ag,14.503048839978874,317,12,77,P,NHC,P-NHC
318,12_78,Ag,35.80590602615848,318,12,78,P,NHC,P-NHC
350,13_32,Ag,12.55,350,13,32,P,NHC,P-NHC
351,13_33,Ag,12.39,351,13,33,P,NHC,P-NHC
352,13_34,Ag,12.89,352,13,34,P,NHC,P-NHC
353,13_35,Ag,16.86,353,13,35,P,NHC,P-NHC
354,13_36,Ag,6.466350690461695,354,13,36,P,NHC,P-NHC
355,13_37,Ag,12.80689763976261,355,13,37,P,NHC,P-NHC
356,13_38,Ag,11.26,356,13,38,P,NHC,P-NHC
357,13_39,Ag,8.58385741431266,357,13,39,P,NHC,P-NHC
358,13_40,Ag,8.411208778619766,358,13,40,P,NHC,P-NHC
359,13_41,Ag,12.4337,359,13,41,P,NHC,P-NHC
360,13_42,Ag,8.44,360,13,42,P,NHC,P-NHC
361,13_43,Ag,14.76,361,13,43,P,NHC,P-NHC
362,13_44,Ag,12.97,362,13,44,P,NHC,P-NHC
363,13_45,Ag,14.068152864463627,363,13,45,P,NHC,P-NHC
364,13_46,Ag,12.64555345568806,364,13,46,P,NHC,P-NHC
365,13_47,Ag,12.084076832048597,365,13,47,P,NHC,P-NHC
366,13_48,Ag,11.54,366,13,48,P,NHC,P-NHC
367,13_49,Ag,15.21,367,13,49,P,NHC,P-NHC
394,13_76,Ag,9.961810495704412,394,13,76,P,NHC,P-NHC
395,13_77,Ag,12.180435725487769,395,13,77,P,NHC,P-NHC
396,13_78,Ag,29.31443153880537,396,13,78,P,NHC,P-NHC
427,14_32,Ag,14.5,427,14,32,P,NHC,P-NHC
428,14_33,Ag,8.52,428,14,33,P,NHC,P-NHC
429,14_34,Ag,11.69,429,14,34,P,NHC,P-NHC
430,14_35,Ag,14.28,430,14,35,P,NHC,P-NHC
431,14_36,Ag,11.09059730079025,431,14,36,P,NHC,P-NHC
432,14_37,Ag,13.5795,432,14,37,P,NHC,P-NHC
433,14_38,Ag,13.09,433,14,38,P,NHC,P-NHC
434,14_39,Ag,11.403580271173269,434,14,39,P,NHC,P-NHC
435,14_40,Ag,10.243968669790776,435,14,40,P,NHC,P-NHC
436,14_41,Ag,12.60206274781376,436,14,41,P,NHC,P-NHC
437,14_42,Ag,8.68,437,14,42,P,NHC,P-NHC
438,14_43,Ag,14.13,438,14,43,P,NHC,P-NHC
439,14_44,Ag,13.8,439,14,44,P,NHC,P-NHC
440,14_45,Ag,14.091843551956115,440,14,45,P,NHC,P-NHC
441,14_46,Ag,13.669661569409072,441,14,46,P,NHC,P-NHC
442,14_47,Ag,11.68,442,14,47,P,NHC,P-NHC
443,14_48,Ag,9.74,443,14,48,P,NHC,P-NHC
444,14_49,Ag,12.48,444,14,49,P,NHC,P-NHC
471,14_76,Ag,12.348404100630432,471,14,76,P,NHC,P-NHC
472,14_77,Ag,6.076455172151327,472,14,77,P,NHC,P-NHC
473,14_78,Ag,30.511661283206195,473,14,78,P,NHC,P-NHC
503,15_32,Ag,17.23,503,15,32,P,NHC,P-NHC
504,15_33,Ag,16.158201744314283,504,15,33,P,NHC,P-NHC
505,15_34,Ag,15.43871053820476,505,15,34,P,NHC,P-NHC
506,15_35,Ag,19.30795658705756,506,15,35,P,NHC,P-NHC
507,15_36,Ag,17.146965658292174,507,15,36,P,NHC,P-NHC
508,15_37,Ag,15.001439154148102,508,15,37,P,NHC,P-NHC
509,15_38,Ag,9.61,509,15,38,P,NHC,P-NHC
510,15_39,Ag,16.8187316916883,510,15,39,P,NHC,P-NHC
511,15_40,Ag,9.81542,511,15,40,P,NHC,P-NHC
