Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
64,0_67,Ag,36.8581803641282,64,0,67,P,Other,P-Other
65,0_68,Ag,33.324922596570104,65,0,68,P,Other,P-Other
66,0_69,Ag,30.551380425225943,66,0,69,P,Other,P-Other
68,0_70,Ag,27.1377,68,0,70,P,Other,P-Other
69,0_71,Ag,36.737246349453926,69,0,71,P,Other,P-Other
77,0_79,Ag,57.46871824329719,77,0,79,P,Other,P-Other
79,0_80,Ag,50.58076074998826,79,0,80,P,Other,P-Other
84,0_85,Ag,22.09835558431223,84,0,85,P,Other,P-Other
85,0_86,Ag,22.88645256543532,85,0,86,P,Other,P-Other
86,0_87,Ag,23.793521146755666,86,0,87,P,Other,P-Other
87,0_88,Ag,30.23874392732978,87,0,88,P,Other,P-Other
88,0_89,Ag,24.48559442069381,88,0,89,P,Other,P-Other
90,0_90,Ag,37.57542210817337,90,0,90,P,Other,P-Other
148,10_67,Ag,14.126356354448944,148,10,67,P,Other,P-Other
149,10_68,Ag,15.94532306212932,149,10,68,P,Other,P-Other
150,10_69,Ag,14.630469623953104,150,10,69,P,Other,P-Other
151,10_70,Ag,12.2672,151,10,70,P,Other,P-Other
152,10_71,Ag,21.10479282028973,152,10,71,P,Other,P-Other
160,10_79,Ag,33.705686510540545,160,10,79,P,Other,P-Other
161,10_80,Ag,22.466861935332417,161,10,80,P,Other,P-Other
166,10_85,Ag,11.467958032153549,166,10,85,P,Other,P-Other
167,10_86,Ag,14.499295067973437,167,10,86,P,Other,P-Other
168,10_87,Ag,12.145624254830182,168,10,87,P,Other,P-Other
169,10_88,Ag,10.267151833046228,169,10,88,P,Other,P-Other
170,10_89,Ag,11.154770362190902,170,10,89,P,Other,P-Other
171,10_90,Ag,32.93775293184444,171,10,90,P,Other,P-Other
228,11_67,Ag,17.44687922624871,228,11,67,P,Other,P-Other
229,11_68,Ag,16.279840229079127,229,11,68,P,Other,P-Other
230,11_69,Ag,17.920540392398834,230,11,69,P,Other,P-Other
231,11_70,Ag,14.9763,231,11,70,P,Other,P-Other
232,11_71,Ag,19.820089945103973,232,11,71,P,Other,P-Other
240,11_79,Ag,37.843865102157,240,11,79,P,Other,P-Other
241,11_80,Ag,26.356988433748484,241,11,80,P,Other,P-Other
246,11_85,Ag,13.257559965364637,246,11,85,P,Other,P-Other
247,11_86,Ag,14.785407561343163,247,11,86,P,Other,P-Other
248,11_87,Ag,9.12371148308739,248,11,87,P,Other,P-Other
249,11_88,Ag,15.019787790253758,249,11,88,P,Other,P-Other
250,11_89,Ag,15.559086265508084,250,11,89,P,Other,P-Other
251,11_90,Ag,34.6968587199226,251,11,90,P,Other,P-Other
307,12_67,Ag,17.96846594614908,307,12,67,P,Other,P-Other
308,12_68,Ag,17.934864612761885,308,12,68,P,Other,P-Other
309,12_69,Ag,17.355783333536237,309,12,69,P,Other,P-Other
310,12_70,Ag,16.4196,310,12,70,P,Other,P-Other
311,12_71,Ag,23.13668695092201,311,12,71,P,Other,P-Other
319,12_79,Ag,39.48781374376267,319,12,79,P,Other,P-Other
320,12_80,Ag,29.28780258307233,320,12,80,P,Other,P-Other
325,12_85,Ag,13.877148629631847,325,12,85,P,Other,P-Other
326,12_86,Ag,16.552566716447473,326,12,86,P,Other,P-Other
327,12_87,Ag,9.542087180539966,327,12,87,P,Other,P-Other
328,12_88,Ag,15.664275259710848,328,12,88,P,Other,P-Other
329,12_89,Ag,14.44346288079396,329,12,89,P,Other,P-Other
330,12_90,Ag,36.18224709760398,330,12,90,P,Other,P-Other
385,13_67,Ag,13.195937940385193,385,13,67,P,Other,P-Other
386,13_68,Ag,15.887324346229434,386,13,68,P,Other,P-Other
387,13_69,Ag,15.321051294915378,387,13,69,P,Other,P-Other
388,13_70,Ag,11.5976,388,13,70,P,Other,P-Other
389,13_71,Ag,21.434365009423345,389,13,71,P,Other,P-Other
397,13_79,Ag,35.300106699578464,397,13,79,P,Other,P-Other
398,13_80,Ag,24.692515562754124,398,13,80,P,Other,P-Other
403,13_85,Ag,12.6117706974037,403,13,85,P,Other,P-Other
404,13_86,Ag,16.431386838667095,404,13,86,P,Other,P-Other
405,13_87,Ag,10.313565538264813,405,13,87,P,Other,P-Other
406,13_88,Ag,12.773443153128028,406,13,88,P,Other,P-Other
407,13_89,Ag,11.341647068969904,407,13,89,P,Other,P-Other
408,13_90,Ag,34.937995301093906,408,13,90,P,Other,P-Other
462,14_67,Ag,13.121543424203992,462,14,67,P,Other,P-Other
463,14_68,Ag,14.94,463,14,68,P,Other,P-Other
464,14_69,Ag,15.059534583706409,464,14,69,P,Other,P-Other
465,14_70,Ag,16.73454717779532,465,14,70,P,Other,P-Other
466,14_71,Ag,20.61476410040632,466,14,71,P,Other,P-Other
474,14_79,Ag,34.9402554417029,474,14,79,P,Other,P-Other
475,14_80,Ag,23.81977188633755,475,14,80,P,Other,P-Other
480,14_85,Ag,12.833283376414329,480,14,85,P,Other,P-Other
481,14_86,Ag,16.07298296224326,481,14,86,P,Other,P-Other
482,14_87,Ag,11.980917069595309,482,14,87,P,Other,P-Other
483,14_88,Ag,13.26003303611651,483,14,88,P,Other,P-Other
484,14_89,Ag,12.658963269088416,484,14,89,P,Other,P-Other
485,14_90,Ag,35.17651222832501,485,14,90,P,Other,P-Other
538,15_67,Ag,19.89,538,15,67,P,Other,P-Other
539,15_68,Ag,25.91,539,15,68,P,Other,P-Other
540,15_69,Ag,19.17124709207565,540,15,69,P,Other,P-Other
541,15_70,Ag,21.443768995348364,541,15,70,P,Other,P-Other
542,15_71,Ag,26.12,542,15,71,P,Other,P-Other
550,15_79,Ag,39.63387393951416,550,15,79,P,Other,P-Other
551,15_80,Ag,27.68240016652271,551,15,80,P,Other,P-Other
556,15_85,Ag,16.992937525734305,556,15,85,P,Other,P-Other
557,15_86,Ag,21.54571435926482,557,15,86,P,Other,P-Other
558,15_87,Ag,19.399113384075463,558,15,87,P,Other,P-Other
559,15_88,Ag,17.175207873340696,559,15,88,P,Other,P-Other
560,15_89,Ag,18.90399643126875,560,15,89,P,Other,P-Other
561,15_90,Ag,38.582268107216805,561,15,90,P,Other,P-Other
613,16_67,Ag,25.702614460606128,613,16,67,P,Other,P-Other
614,16_68,Ag,23.42,614,16,68,P,Other,P-Other
