Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
0,0_0,Ag,31.5394,0,0,0,P,P,P-P
1,0_1,Ag,28.9914,1,0,1,P,P,P-P
2,0_10,Ag,17.328931111376733,2,0,10,P,P,P-P
3,0_11,Ag,16.19953695498407,3,0,11,P,P,P-P
4,0_12,Ag,19.112698623910543,4,0,12,P,P,P-P
5,0_13,Ag,20.89984458731488,5,0,13,P,P,P-P
6,0_14,Ag,19.945219269488007,6,0,14,P,P,P-P
7,0_15,Ag,22.7150376890786,7,0,15,P,P,P-P
8,0_16,Ag,29.33017172757536,8,0,16,P,P,P-P
9,0_17,Ag,21.934857436921448,9,0,17,P,P,P-P
10,0_18,Ag,20.589837277308103,10,0,18,P,P,P-P
11,0_19,Ag,21.23017495451495,11,0,19,P,P,P-P
12,0_2,Ag,18.0843785982579,12,0,2,P,P,P-P
13,0_20,Ag,18.279879468027502,13,0,20,P,P,P-P
14,0_21,Ag,23.82017040904612,14,0,21,P,P,P-P
15,0_22,Ag,26.11545542161912,15,0,22,P,P,P-P
16,0_23,Ag,25.92704777000472,16,0,23,P,P,P-P
17,0_24,Ag,15.13697198405862,17,0,24,P,P,P-P
18,0_25,Ag,27.3319,18,0,25,P,P,P-P
19,0_26,Ag,12.368644433096051,19,0,26,P,P,P-P
20,0_27,Ag,14.858525504358113,20,0,27,P,P,P-P
21,0_28,Ag,33.5435,21,0,28,P,P,P-P
22,0_29,Ag,17.3141503254883,22,0,29,P,P,P-P
23,0_3,Ag,19.991546215489507,23,0,3,P,P,P-P
24,0_30,Ag,26.24042865773663,24,0,30,P,P,P-P
25,0_31,Ag,5.67328,25,0,31,P,P,P-P
34,0_4,Ag,25.75912804109976,34,0,4,P,P,P-P
45,0_5,Ag,27.104893816635013,45,0,5,P,P,P-P
56,0_6,Ag,23.23724824003876,56,0,6,P,P,P-P
67,0_7,Ag,20.722670822404325,67,0,7,P,P,P-P
70,0_72,Ag,17.690772962290794,70,0,72,P,P,P-P
71,0_73,Ag,23.535288921091706,71,0,73,P,P,P-P
72,0_74,Ag,26.243757769465446,72,0,74,P,P,P-P
73,0_75,Ag,13.189069707412273,73,0,75,P,P,P-P
78,0_8,Ag,16.929717302322388,78,0,8,P,P,P-P
80,0_81,Ag,19.614546318538487,80,0,81,P,P,P-P
81,0_82,Ag,7.884877824224532,81,0,82,P,P,P-P
82,0_83,Ag,17.283977908547968,82,0,83,P,P,P-P
83,0_84,Ag,21.49054108001292,83,0,84,P,P,P-P
89,0_9,Ag,17.25114709092304,89,0,9,P,P,P-P
91,10_10,Ag,10.034548142459244,91,10,10,P,P,P-P
92,10_11,Ag,14.032725560013205,92,10,11,P,P,P-P
93,10_12,Ag,13.90272841276601,93,10,12,P,P,P-P
94,10_13,Ag,13.859269610606134,94,10,13,P,P,P-P
95,10_14,Ag,11.496149693150072,95,10,14,P,P,P-P
96,10_15,Ag,16.464034313336015,96,10,15,P,P,P-P
97,10_16,Ag,16.355799987446517,97,10,16,P,P,P-P
98,10_17,Ag,8.065870295278728,98,10,17,P,P,P-P
