Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
46,0_50,Ag,31.43207750609145,46,0,50,P,Py,P-Py
47,0_51,Ag,30.186760347802192,47,0,51,P,Py,P-Py
48,0_52,Ag,29.3427655491978,48,0,52,P,Py,P-Py
49,0_53,Ag,31.656101777683944,49,0,53,P,Py,P-Py
50,0_54,Ag,32.148053544573486,50,0,54,P,Py,P-Py
51,0_55,Ag,33.095339364837855,51,0,55,P,Py,P-Py
52,0_56,Ag,34.045405951328576,52,0,56,P,Py,P-Py
53,0_57,Ag,28.30495946342125,53,0,57,P,Py,P-Py
54,0_58,Ag,28.08122280240059,54,0,58,P,Py,P-Py
55,0_59,Ag,27.800831785425544,55,0,59,P,Py,P-Py
57,0_60,Ag,27.558066033758223,57,0,60,P,Py,P-Py
58,0_61,Ag,27.737445294391364,58,0,61,P,Py,P-Py
59,0_62,Ag,29.96706992993132,59,0,62,P,Py,P-Py
60,0_63,Ag,31.489287697710097,60,0,63,P,Py,P-Py
61,0_64,Ag,30.517278011422604,61,0,64,P,Py,P-Py
62,0_65,Ag,26.920850046910346,62,0,65,P,Py,P-Py
63,0_66,Ag,33.93720542220399,63,0,66,P,Py,P-Py
131,10_50,Ag,14.863473617471756,131,10,50,P,Py,P-Py
132,10_51,Ag,16.913407614454627,132,10,51,P,Py,P-Py
133,10_52,Ag,15.198242912068965,133,10,52,P,Py,P-Py
134,10_53,Ag,17.13617198728025,134,10,53,P,Py,P-Py
135,10_54,Ag,15.23014295566827,135,10,54,P,Py,P-Py
136,10_55,Ag,18.26333811832592,136,10,55,P,Py,P-Py
137,10_56,Ag,15.92553830333054,137,10,56,P,Py,P-Py
138,10_57,Ag,15.41381839895621,138,10,57,P,Py,P-Py
139,10_58,Ag,16.074332857504487,139,10,58,P,Py,P-Py
140,10_59,Ag,15.37569357547909,140,10,59,P,Py,P-Py
141,10_60,Ag,16.73712955135852,141,10,60,P,Py,P-Py
142,10_61,Ag,14.417878448963164,142,10,61,P,Py,P-Py
143,10_62,Ag,15.369562163483351,143,10,62,P,Py,P-Py
144,10_63,Ag,13.74687525909394,144,10,63,P,Py,P-Py
145,10_64,Ag,14.655265084467828,145,10,64,P,Py,P-Py
146,10_65,Ag,14.421247710939497,146,10,65,P,Py,P-Py
147,10_66,Ag,15.963032904546708,147,10,66,P,Py,P-Py
211,11_50,Ag,20.321331123355776,211,11,50,P,Py,P-Py
212,11_51,Ag,21.677195264492184,212,11,51,P,Py,P-Py
213,11_52,Ag,18.755562010221183,213,11,52,P,Py,P-Py
214,11_53,Ag,19.463112885598093,214,11,53,P,Py,P-Py
215,11_54,Ag,18.386107996106148,215,11,54,P,Py,P-Py
216,11_55,Ag,19.87209811573848,216,11,55,P,Py,P-Py
217,11_56,Ag,18.92722604610026,217,11,56,P,Py,P-Py
218,11_57,Ag,18.3881174698472,218,11,57,P,Py,P-Py
219,11_58,Ag,18.74207430379465,219,11,58,P,Py,P-Py
220,11_59,Ag,18.790610746014863,220,11,59,P,Py,P-Py
221,11_60,Ag,16.417944714892656,221,11,60,P,Py,P-Py
222,11_61,Ag,19.311895688530058,222,11,61,P,Py,P-Py
223,11_62,Ag,19.87160196946934,223,11,62,P,Py,P-Py
224,11_63,Ag,18.550951493903995,224,11,63,P,Py,P-Py
225,11_64,Ag,16.827812800183892,225,11,64,P,Py,P-Py
226,11_65,Ag,16.282491284422576,226,11,65,P,Py,P-Py
227,11_66,Ag,17.320574574172497,227,11,66,P,Py,P-Py
290,12_50,Ag,19.140158468857408,290,12,50,P,Py,P-Py
291,12_51,Ag,19.82631029514596,291,12,51,P,Py,P-Py
292,12_52,Ag,19.148175260983407,292,12,52,P,Py,P-Py
293,12_53,Ag,19.69620304228738,293,12,53,P,Py,P-Py
294,12_54,Ag,19.547903444617987,294,12,54,P,Py,P-Py
295,12_55,Ag,19.343929356895387,295,12,55,P,Py,P-Py
296,12_56,Ag,19.93483199784532,296,12,56,P,Py,P-Py
297,12_57,Ag,18.383447878994048,297,12,57,P,Py,P-Py
298,12_58,Ag,18.91322650015354,298,12,58,P,Py,P-Py
299,12_59,Ag,19.349068217445165,299,12,59,P,Py,P-Py
300,12_60,Ag,19.75204347865656,300,12,60,P,Py,P-Py
301,12_61,Ag,20.842547179665416,301,12,61,P,Py,P-Py
302,12_62,Ag,19.0387179213576,302,12,62,P,Py,P-Py
303,12_63,Ag,18.13935607811436,303,12,63,P,Py,P-Py
304,12_64,Ag,16.843729552812874,304,12,64,P,Py,P-Py
305,12_65,Ag,17.4323997721076,305,12,65,P,Py,P-Py
306,12_66,Ag,20.965387804433703,306,12,66,P,Py,P-Py
368,13_50,Ag,17.869028493296355,368,13,50,P,Py,P-Py
369,13_51,Ag,18.75346683943644,369,13,51,P,Py,P-Py
370,13_52,Ag,17.431576061528176,370,13,52,P,Py,P-Py
371,13_53,Ag,17.556845834013075,371,13,53,P,Py,P-Py
372,13_54,Ag,16.18374630017206,372,13,54,P,Py,P-Py
373,13_55,Ag,17.243028162047267,373,13,55,P,Py,P-Py
374,13_56,Ag,16.439192090183496,374,13,56,P,Py,P-Py
375,13_57,Ag,15.979851483367383,375,13,57,P,Py,P-Py
376,13_58,Ag,17.097753752488643,376,13,58,P,Py,P-Py
377,13_59,Ag,16.928991235326976,377,13,59,P,Py,P-Py
378,13_60,Ag,15.255358172114938,378,13,60,P,Py,P-Py
379,13_61,Ag,16.9228550856933,379,13,61,P,Py,P-Py
380,13_62,Ag,17.469897404313087,380,13,62,P,Py,P-Py
381,13_63,Ag,16.145893164910376,381,13,63,P,Py,P-Py
382,13_64,Ag,14.431301816366611,382,13,64,P,Py,P-Py
383,13_65,Ag,14.045398191083224,383,13,65,P,Py,P-Py
384,13_66,Ag,14.795959522016346,384,13,66,P,Py,P-Py
445,14_50,Ag,18.68,445,14,50,P,Py,P-Py
446,14_51,Ag,17.609843366313726,446,14,51,P,Py,P-Py
447,14_52,Ag,16.9668509461917,447,14,52,P,Py,P-Py
448,14_53,Ag,17.026342956814915,448,14,53,P,Py,P-Py
