Unnamed: 0,Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
2905,50_50,Ag,28.31,2905,50,50,Py,Py,Py-Py
2906,50_51,Ag,31.061972028110176,2906,50,51,Py,Py,Py-Py
2907,50_52,Ag,28.33554253494367,2907,50,52,Py,Py,Py-Py
2908,50_53,Ag,27.90674464358017,2908,50,53,Py,Py,Py-Py
2909,50_54,Ag,30.929937268141657,2909,50,54,Py,Py,Py-Py
2910,50_55,Ag,29.644691239576787,2910,50,55,Py,Py,Py-Py
2911,50_56,Ag,27.854641462676227,2911,50,56,Py,Py,Py-Py
2912,50_57,Ag,30.404006073251367,2912,50,57,Py,Py,Py-Py
2913,50_58,Ag,28.83,2913,50,58,Py,Py,Py-Py
2914,50_59,Ag,27.892403992824256,2914,50,59,Py,Py,Py-Py
2915,50_60,Ag,29.447347400709987,2915,50,60,Py,Py,Py-Py
2916,50_61,Ag,29.07,2916,50,61,Py,Py,Py-Py
2917,50_62,Ag,27.707180802710354,2917,50,62,Py,Py,Py-Py
2918,50_63,Ag,29.72989968862385,2918,50,63,Py,Py,Py-Py
2919,50_64,Ag,31.31810937775299,2919,50,64,Py,Py,Py-Py
2920,50_65,Ag,30.920020446181297,2920,50,65,Py,Py,Py-Py
2921,50_66,Ag,30.032394747249786,2921,50,66,Py,Py,Py-Py
2946,51_51,Ag,30.56083793146536,2946,51,51,Py,Py,Py-Py
2947,51_52,Ag,28.705375735182315,2947,51,52,Py,Py,Py-Py
2948,51_53,Ag,29.283312634564936,2948,51,53,Py,Py,Py-Py
2949,51_54,Ag,30.003312775399536,2949,51,54,Py,Py,Py-Py
2950,51_55,Ag,29.79626737441868,2950,51,55,Py,Py,Py-Py
2951,51_56,Ag,29.014627913944423,2951,51,56,Py,Py,Py-Py
2952,51_57,Ag,27.160065110307187,2952,51,57,Py,Py,Py-Py
2953,51_58,Ag,28.27614943496883,2953,51,58,Py,Py,Py-Py
2954,51_59,Ag,28.430830968543887,2954,51,59,Py,Py,Py-Py
2955,51_60,Ag,27.864974406082183,2955,51,60,Py,Py,Py-Py
2956,51_61,Ag,28.203192498069257,2956,51,61,Py,Py,Py-Py
2957,51_62,Ag,28.274027560837567,2957,51,62,Py,Py,Py-Py
2958,51_63,Ag,27.70179650979117,2958,51,63,Py,Py,Py-Py
2959,51_64,Ag,24.90470234490931,2959,51,64,Py,Py,Py-Py
2960,51_65,Ag,25.126736719161272,2960,51,65,Py,Py,Py-Py
2961,51_66,Ag,31.9231945136562,2961,51,66,Py,Py,Py-Py
2986,52_52,Ag,30.97676855046302,2986,52,52,Py,Py,Py-Py
2987,52_53,Ag,28.1079221139662,2987,52,53,Py,Py,Py-Py
2988,52_54,Ag,31.086539575830106,2988,52,54,Py,Py,Py-Py
2989,52_55,Ag,28.664619399234653,2989,52,55,Py,Py,Py-Py
2990,52_56,Ag,26.89345233142376,2990,52,56,Py,Py,Py-Py
2991,52_57,Ag,30.24620644096285,2991,52,57,Py,Py,Py-Py
2992,52_58,Ag,28.839790127705783,2992,52,58,Py,Py,Py-Py
2993,52_59,Ag,29.63762218970805,2993,52,59,Py,Py,Py-Py
2994,52_60,Ag,29.59691357566044,2994,52,60,Py,Py,Py-Py
2995,52_61,Ag,27.289824273902923,2995,52,61,Py,Py,Py-Py
2996,52_62,Ag,27.712847241666168,2996,52,62,Py,Py,Py-Py
2997,52_63,Ag,28.66397380270064,2997,52,63,Py,Py,Py-Py
2998,52_64,Ag,29.234317208174616,2998,52,64,Py,Py,Py-Py
2999,52_65,Ag,29.92669414542616,2999,52,65,Py,Py,Py-Py
3000,52_66,Ag,27.45836869068444,3000,52,66,Py,Py,Py-Py
3025,53_53,Ag,29.97968762787059,3025,53,53,Py,Py,Py-Py
