,Record,Field,Value,idx,Sigma,Rho,Predval,Split
220,48_78,Ag,31.466353356838223,220,37.16208885131277,0.5280746057257623,31.495877013840946,0
868,42_78,Ni,-40.38916618749499,868,40.07058454760826,0.7938353477197982,-47.372707909982864,0
1249,36_78,Pt,-23.61458430439233,1249,35.297891945660844,0.5920335346888714,-30.147949882541294,0
1360,46_48,Pt,-50.44204897014424,1360,-6.540951078020986,0.5920335346888714,-54.917948005144474,0
1087,41_77,Pd,-51.60342117585242,1087,-11.515355618903678,0.6400009769236037,-53.9713097453004,0
141,40_41,Ag,11.8679,141,-10.944750557032032,0.5280746057257623,6.091876760566705,0
122,38_49,Ag,12.1754,122,-1.2693404737331302,0.5280746057257623,11.201215125539838,0
737,34_37,Ni,-79.6,737,-3.02973340491443,0.7938353477197982,-81.58726379865757,0
475,32_45,Cu,-9.981225532013925,475,4.683578971308279,0.632751766902006,-9.123858907492696,0
598,39_49,Cu,-18.9589,598,-6.8863057861168375,0.632751766902006,-16.444723930606028,0
1385,78_78,Pt,3.8992686066776514,1385,69.87005423142075,0.5920335346888714,-9.68007044266556,0
245,32_46,Au,1.18,245,4.414014266698173,0.5225202663081374,1.003207422575674,0
40,33_78,Ag,35.21212439099327,40,40.76049126502909,0.5280746057257623,33.396101949706825,0
1148,49_78,Pd,-20.73055307660252,1148,35.40833041525178,0.6400009769236037,-23.94010484258445,0
692,78_78,Cu,40.39268091507256,692,69.87005423142075,0.632751766902006,32.122998491457366,0
495,33_45,Cu,-12.264295971021056,495,0.44019404831819137,0.632751766902006,-11.808868215160008,0
1032,37_76,Pd,-43.39142719004303,1032,0.7341890992963215,0.6400009769236037,-46.13158915878304,0
1064,40_40,Pd,-53.25,1064,-11.838940884220058,0.6400009769236037,-54.17840463122097,0
1267,38_39,Pt,-53.68736601481214,1267,-0.5100471726768174,0.5920335346888714,-51.34745064869465,0
1098,42_77,Pd,-50.70761335780844,1098,-2.1046051970603608,0.6400009769236037,-47.94842028173647,0
786,36_77,Ni,-107.25540943676606,786,13.566290865557415,0.7938353477197982,-68.41275310114135,0
284,34_46,Au,-5.18,284,-2.0166306867724777,0.5225202663081374,-2.35693489104489,0
742,34_42,Ni,-72.3520149961114,742,-9.565680308678562,0.7938353477197982,-86.77572948168532,0
378,40_47,Au,-2.373413059394806,378,1.3126034674326863,0.5225202663081374,-0.6173425741874611,0
11,32_43,Ag,17.8245,11,8.507855541718039,0.5280746057257623,16.364304056502707,0
21,33_33,Ag,10.837002711836249,21,-11.634786698712253,0.5280746057257623,5.7274861971123965,0
135,39_48,Ag,6.88048,135,-11.849962578658898,0.5280746057257623,5.613857279147878,0
282,34_44,Au,2.43289,282,4.053588141119399,0.5225202663081374,0.814877467453843,0
1376,49_49,Pt,-56.88493855949491,1376,-3.5894747134867084,0.5920335346888714,-53.17057502049859,0
1356,45_77,Pt,0.0,1356,20.330724940951043,0.5920335346888714,-39.009014668618285,0
519,34_76,Cu,6.302999400999397,519,9.042236935377778,0.632751766902006,-6.3659103794062215,0
509,34_40,Cu,-18.5692,509,-6.3214223665658205,0.632751766902006,-16.08729294879147,0
567,37_47,Cu,-24.7303,567,-0.18456540728918203,0.632751766902006,-12.204185864584309,0
751,34_77,Ni,-106.4807184780948,751,-3.560246057902397,0.7938353477197982,-82.00840349501203,0
