,Record,Field,Value,idx,Sigma,Rho,Predval,Split
719,45_71,Cu,0.9882767680101096,719,18.962721923709463,0.8514456517973291,10.203887282622045,0
284,32_89,Au,-0.2018220885656774,284,-0.3262000030158328,0.781698133419161,1.6293771319768302,0
1286,46_90,Pd,-18.778170498088,1286,26.62382271263702,0.9291521600097397,-19.270105783869482,0
484,48_70,Au,-2.09,484,-3.7496860996856443,0.781698133419161,-1.0467555595764106,0
1255,44_85,Pd,-48.78855920303613,1255,-5.823202714119225,0.9291521600097397,-49.41832954503099,0
746,47_79,Cu,8.672502535395324,746,20.282161879443024,0.8514456517973291,11.327318695739049,0
1606,69_77,Pt,83.67307536071166,1606,108.70230274131399,0.9539900804151022,51.34287486416832,0
1485,41_70,Pt,-45.45171690406278,1485,-2.760181433547645,0.9539900804151022,-54.991229377074994,0
159,44_70,Ag,18.45856297295541,159,0.5376332232924124,0.8163194407551218,19.82003180848729,0
673,41_88,Cu,-15.911262574139982,673,-9.520807481580437,0.8514456517973291,-14.048289977353402,0
1170,38_67,Pd,-45.71,1170,3.2213522405109773,0.9291521600097397,-41.01456177260955,0
1176,38_80,Pd,-35.78144770395011,1176,15.18715107819354,0.9291521600097397,-29.896513936334756,0
985,44_88,Ni,-73.61896904557943,985,-2.8922695192178502,1.0185614269130348,-71.69157840046167,0
335,36_88,Au,-10.005981652997434,335,-11.233963079597611,0.781698133419161,-6.89720090476559,0
1007,46_80,Ni,-55.40764117566869,1007,6.301853620750106,1.0185614269130348,-62.326799215801756,0
354,38_70,Au,-0.93,354,-5.641966256122795,0.781698133419161,-2.5259474257694494,0
489,48_86,Au,-6.496735916938633,489,-5.931202738772285,0.781698133419161,-2.752043044373279,0
260,77_86,Ag,22.683246285188943,260,3.5811591369377593,0.8163194407551218,22.30452118023798,0
1169,37_90,Pd,-17.42859652126208,1169,21.35947674796255,0.9291521600097397,-24.16148420798532,0
582,34_88,Cu,-10.746510881464928,582,-7.862801878711336,0.8514456517973291,-12.636588316134898,0
407,42_71,Au,8.28,407,18.40574661806891,0.781698133419161,16.27210484098613,0
1620,76_89,Pt,-43.4853668292053,1620,-3.3362877115846943,0.9539900804151022,-55.5408290515872,0
689,43_67,Cu,6.714606109075248,689,8.35195936518078,0.8514456517973291,1.1693996399088968,0
1474,40_79,Pt,-33.97323678759858,1474,16.41275734682644,0.9539900804151022,-36.70043596819209,0
935,40_90,Ni,-50.566419263836,935,18.494357555485013,1.0185614269130348,-49.90798501039538,0
678,42_69,Cu,1.55,678,-0.6670259343888865,0.8514456517973291,-6.509776177033728,0
204,47_87,Ag,11.700676208827645,204,-1.8370145484018647,0.8163194407551218,17.881560667507422,0
