,Record,Field,Value,idx,Sigma,Rho,Predval,Split
1499,36_53,Pd,-49.55,1499,-5.2248317961569635,0.49530689048818577,-47.44095994242384,0
1801,32_66,Pt,-49.86669235629961,1801,11.408849516583262,0.5181737643732254,-46.20940857609914,0
1748,54_78,Pd,-10.545951931737363,1748,56.51612852393366,0.49530689048818577,-16.860236870525288,0
301,49_62,Ag,19.2952,301,-1.1606544642895793,0.414168055873688,17.83090568278548,0
1030,53_77,Cu,7.950167926959693,1030,26.146531839602517,0.7016906037082891,11.010785398147267,0
902,43_51,Cu,3.12,902,10.992672554366981,0.7016906037082891,0.3774647277798806,0
953,46_51,Cu,-7.57,953,7.862465796668026,0.7016906037082891,-1.8189719417616654,0
1965,42_60,Pt,-53.01084274891764,1965,1.3940173388322548,0.5181737643732254,-51.39883186521049,0
139,40_53,Ag,14.268246558029205,139,-12.32059625626385,0.414168055873688,13.208814287139976,0
9,32_59,Ag,19.80026706494391,9,2.838446660013707,0.414168055873688,19.487205620680452,0
585,45_57,Au,0.17,585,-1.0230506087112414,0.3655506754938381,0.8679053147437583,0
1143,36_54,Ni,-75.10993985459208,1143,8.393875831404038,0.6550500654648752,-67.02969315036536,0
1153,36_64,Ni,-84.28879662882537,1153,-6.768731719771944,0.6550500654648752,-76.9619602193814,0
1763,59_78,Pd,-14.223447454627603,1763,51.92365542197291,0.49530689048818577,-19.134920442308097,0
1434,32_56,Pd,-42.18,1434,3.5266122833477427,0.49530689048818577,-43.106309388123115,0
1245,42_54,Ni,-63.59681987157092,1245,5.983375375630431,0.6550500654648752,-68.60869163172296,0
774,35_59,Cu,-5.79,774,3.3828047777093424,0.7016906037082891,-4.962307986563273,0
1018,49_65,Cu,-11.98,1018,-5.889015748823553,0.7016906037082891,-11.468257329301046,0
554,43_60,Au,3.5,554,4.550038838245995,0.3655506754938381,2.905151926666557,0
2078,49_54,Pt,-52.19632591912523,2078,0.7013571303071363,0.5181737643732254,-51.75775021289349,0
1500,36_54,Pd,-49.46,1500,8.393875831404038,0.49530689048818577,-40.69552021494886,0
2053,47_63,Pt,-52.72613748209551,2053,-2.2609679214600007,0.5181737643732254,-53.29274933626478,0
1900,38_63,Pt,-53.46301731234416,1900,-0.9791291532918299,0.5181737643732254,-52.62853411644354,0
696,61_76,Au,9.983448541723192,696,8.340390991419055,0.3655506754938381,4.2907177166184916,0
534,42_57,Au,-1.0,534,3.7889708981649366,0.3655506754938381,2.6269430270732217,0
1505,36_59,Pd,-48.93,1505,-0.8209589182588489,0.49530689048818577,-45.259691361166865,0
317,53_78,Ag,44.844660852104425,317,56.6639100083868,0.414168055873688,41.779993132176585,0
1635,44_53,Pd,-42.38,1635,5.994491927987886,0.49530689048818577,-41.88395159523732,0
