,Record,Field,Value,idx,Sigma,Rho,Predval,Split
3530,17_34,Pd,-44.06,3530,-2.990619162300851,0.7097651036509356,-40.7641804339171,0
2130,29_41,Cu,-24.0101,2130,-2.217342300674325,0.8645448268278226,-10.41850462907479,0
4928,5_49,Pt,-49.59368871105835,4928,-0.8610895981191143,0.6675432601414792,-44.747066224376574,0
468,2_38,Ag,12.41,468,-2.562689904101733,0.6773998066735506,12.705628432142527,0
4300,13_48,Pt,-46.942868834827095,4300,-12.960653281970382,0.6675432601414792,-52.8240484121841,0
3674,22_78,Pd,-7.4574014488607645,3674,37.4159125422538,0.7097651036509356,-12.085034270459051,0
4906,4_48,Pt,-32.52914585638791,4906,3.9276813564477515,0.6675432601414792,-41.55035444929418,0
1850,17_34,Cu,-16.5884,1850,-2.990619162300851,0.8645448268278226,-11.087037139499657,0
923,12_78,Au,21.54210088774562,923,26.360384618842595,0.6411978034013284,19.045789500309567,0
4502,22_40,Pt,-39.71423783805221,4502,0.4926587334736867,0.6675432601414792,-43.843380649694026,0
3223,4_45,Ni,-64.18097791448236,3223,13.91405919474677,0.8299130226690228,-54.770979299702326,0
343,24_39,Ag,19.2281,343,-2.877275003528918,0.6773998066735506,12.492528546608172,0
2999,2_49,Ni,-70.96788413636386,2999,-6.566211013680749,0.8299130226690228,-71.76782225345674,0
2104,28_36,Cu,7.843550989404321,2104,14.73550882115714,0.8645448268278226,4.237995108286853,0
1466,42_72,Au,-7.201426005456597,1466,-12.214242662418497,0.6411978034013284,-5.688176779460001,0
3718,25_33,Pd,-37.48,3718,-3.340561150090759,0.7097651036509356,-41.01255704515262,0
3997,43_75,Pd,-26.94734654435888,3997,7.34394616685205,0.7097651036509356,-33.42906660188352,0
1480,43_83,Au,0.88658497761935,1480,2.4049880630426808,0.6411978034013284,3.685641849122915,0
1418,38_82,Au,-1.4987526866607368,1418,-5.0762698173671685,0.6411978034013284,-1.1113242704747583,0
3239,5_40,Ni,-65.85075332131237,3239,-3.4687579067070033,0.8299130226690228,-69.19720558287261,0
1314,2_44,Au,-0.211884,1314,-2.445203296852614,0.6411978034013284,0.5757098030819503,0
589,3_32,Ag,14.3642703210935,589,-2.0344777115248562,0.6773998066735506,13.063439269276715,0
