,Record,Field,Value,idx,Sigma,Rho,Predval,Split
1596,8_29,Au,6.990006763953716,1596,2.352363689626693,0.6820795743558268,6.534310946765554,0
2316,6_6,Cu,-6.72,2316,-0.8677247599116507,0.8769803234294932,-6.440339328169836,0
4197,11_83,Pt,-34.962751127779484,4197,-0.7175225747941215,0.6423031173027759,-38.137458971085806,0
3585,1_19,Pd,-27.03,3585,0.15908793157490608,0.7030705374881909,-30.532343453679857,0
4271,14_31,Pt,-40.39752130489797,4271,-3.542992663094098,0.6423031173027759,-39.952267216646625,0
1563,7_82,Au,3.7929258048534393,1563,-7.951621120104294,0.6820795743558268,-0.4938266264246627,0
606,4_5,Ag,32.127417269162834,606,15.13645448179724,0.6556932508109661,24.923966674310122,0
892,11_13,Au,3.642453079111874,892,-2.738989964806457,0.6820795743558268,3.061602613254807,0
4638,31_72,Pt,-42.720756250899285,4638,-7.545224688288171,0.6423031173027759,-42.52291332259778,0
3578,1_12,Pd,-13.19,3578,8.783405814768292,0.7030705374881909,-24.468839644074066,0
3990,75_81,Pd,-35.65775057254359,3990,-5.515555663460565,0.7030705374881909,-34.522018176095365,0
3028,3_31,Ni,-68.26133431866765,3028,-9.490220486992389,1.0106809457254387,-66.34409080991739,0
1333,2_4,Au,13.53,1333,0.24411003044373447,0.6820795743558268,5.096314188275927,0
4356,18_22,Pt,-21.432413385249674,4356,30.76483675397611,0.6423031173027759,-17.916241434170555,0
2325,6_83,Cu,-12.126964912749829,2325,-2.3262609542282218,0.8769803234294932,-7.7194468715952045,0
616,4_83,Ag,21.82054988341406,616,8.567812225166607,0.6556932508109661,20.6169522796457,0
1782,13_28,Cu,-0.0849773092195391,1782,0.47856102114601573,0.8769803234294932,-5.259673188469356,0
1547,7_23,Au,16.373530186712742,1547,15.309845426492739,0.6820795743558268,15.372344574570544,0
4550,26_82,Pt,-56.74937517940998,4550,-26.56884719262838,0.6423031173027759,-54.741845359526735,0
1388,3_31,Au,-3.21729,1388,-9.490220486992389,0.6820795743558268,-1.543273827695839,0
1144,1_72,Au,3.170967690180987,1144,9.962317227934376,0.6820795743558268,11.724904817042075,0
2013,22_22,Cu,26.622146693058312,2013,32.97844638004794,0.8769803234294932,23.242086785001906,0
833,0_20,Au,0.69,833,4.847817420571758,0.6820795743558268,8.236408965393224,0
1926,19_31,Cu,-19.2559,1926,-9.308079303861792,0.8769803234294932,-13.842364185982824,0
4641,31_75,Pt,-46.2327680666931,4641,-8.890212237596781,0.6423031173027759,-43.386803018252124,0
3301,0_28,Pd,-14.34,3301,34.29088953712949,0.7030705374881909,-6.535279353422297,0
2798,20_24,Ni,-55.48513513663784,2798,-5.4834567649112165,1.0106809457254387,-62.29453106198601,0
3307,0_5,Pd,-20.05,3307,21.738390134667988,0.7030705374881909,-15.3605718551311,0
3860,3_83,Pd,-38.64812458120287,3860,-11.529626083146155,0.7030705374881909,-38.75033389855554,0
4666,3_3,Pt,-41.44060694333166,4666,-5.337553702663637,0.6423031173027759,-41.10491936655225,0
784,8_81,Ag,25.34026495087892,784,15.566516682662257,0.6556932508109661,25.205955556846224,0
3636,21_23,Pd,-17.15,3636,-0.918456053019679,0.7030705374881909,-31.289932882095936,0
3694,24_30,Pd,-27.69,3694,2.125879517551347,0.7030705374881909,-29.14955023620015,0
4438,20_24,Pt,-43.29545980924741,4438,-5.4834567649112165,0.6423031173027759,-41.198633358257894,0
1842,15_82,Cu,-20.422919896431267,1842,-9.146463352580934,0.8769803234294932,-13.700630176757173,0
3522,17_30,Pd,-31.24,3522,7.7910547242905155,0.7030705374881909,-25.166532458633267,0
1913,18_84,Cu,13.974638463929296,1913,16.752135718483835,0.8769803234294932,9.01193161295598,0
240,17_28,Ag,10.521944104228169,240,7.163436503509186,0.6556932508109661,19.69611259735215,0
4657,3_21,Pt,-40.33140376349911,4657,-9.679259640257754,0.6423031173027759,-43.893610624680925,0
653,5_9,Ag,18.11555420514196,653,-1.3129910451276332,0.6556932508109661,14.138176262722846,0
