,Record,Field,Value,idx,Sigma,Rho,Predval,Split
1783,31_65,Cu,-0.7900514090433717,1783,-3.9784748998096404,0.9095610682180674,-7.229939759307823,0
228,21_57,Ag,19.69683406315744,228,-2.078663763168605,0.6603606558655174,18.438796814551047,0
1063,2_59,Au,1.39,1063,-2.6774319625538547,0.6255430115450548,2.5361163590252844,0
3125,30_64,Pd,-39.69,3125,4.436046671838284,0.7432753174290814,-30.724538207046923,0
1384,10_57,Cu,-0.17,1384,-5.2081497327646415,0.9095610682180674,-8.348404113931247,0
3597,1_60,Pt,-32.96,3597,17.16990478446336,0.6389588279553037,-32.472686694056954,0
2055,0_65,Ni,-56.75624742452055,2055,14.472632972589379,0.9432189240008224,-47.86458582996685,0
1870,56_75,Cu,-3.257270213216543,1870,3.5626209166222496,0.9095610682180674,-0.3708525929792339,0
388,2_64,Ag,16.981792538426816,388,-1.7168690888609197,0.6603606558655174,18.67771178296552,0
1077,30_56,Au,17.8,1077,7.825698672291901,0.6255430115450548,9.106276326997822,0
2447,30_66,Ni,-61.3455,2447,8.062992861067174,0.9432189240008224,-53.91027967918934,0
1494,16_65,Cu,3.486791260074824,1494,5.132661714790961,0.9095610682180674,1.0571953925490467,0
811,16_62,Au,6.728445415385068,811,7.79008637556145,0.6255430115450548,9.08399930365302,0
2827,15_55,Pd,-33.14,2827,4.002739424437135,0.7432753174290814,-31.04660478890333,0
873,1_56,Au,8.259222661145031,873,13.421269275155291,0.6255430115450548,12.606546413225963,0
3815,31_57,Pt,-36.4198338277638,3815,7.345599205861184,0.6389588279553037,-38.75001347203535,0
1387,10_60,Cu,-20.69,1387,-6.634452035153831,0.9095610682180674,-9.645713159694248,0
4033,7_54,Pt,-42.694734789431095,4033,-10.191731402603029,0.6389588279553037,-49.95564568308431,0
131,16_62,Ag,25.85,131,7.79008637556145,0.6603606558655174,24.955731128735742,0
3406,0_56,Pt,-31.5609316653572,3406,16.808558229323555,0.6389588279553037,-32.70357226541477,0
904,21_53,Au,3.8,904,-0.2683537736499952,0.6255430115450548,4.043098384359711,0
469,51_74,Ag,21.3197615062818,469,0.3358299664401615,0.6603606558655174,20.033233477418673,0
1572,20_58,Cu,-3.4,1572,3.3566580234100223,0.9095610682180674,-0.558188422142631,0
2890,19_50,Pd,-38.04,2890,-2.1496612615186224,0.7432753174290814,-35.619532361707996,0
62,12_61,Ag,20.842547179665416,62,-4.240161991372592,0.6603606558655174,17.01142842692211,0
1971,66_84,Cu,-3.942117168102413,1971,-1.2365945030025658,0.9095610682180674,-4.736032096661802,0
1822,50_75,Cu,-5.732710986863822,1822,-0.3148428966952759,0.9095610682180674,-3.897642720997223,0
2214,19_54,Ni,-67.39068267541006,2214,-2.754707485237816,0.9432189240008224,-64.11373935999445,0
3418,10_51,Pt,-45.72292483923957,3418,-6.5451243613049925,0.6389588279553037,-47.625613921962966,0
288,24_66,Ag,18.869294297881424,288,0.22390273919388903,0.6603606558655174,19.959321140225114,0
963,24_61,Au,7.038029327988625,963,1.6947657208906635,0.6255430115450548,5.27111406499748,0
3313,64_82,Pd,-40.4038251908496,3313,-10.891069348436302,0.7432753174290814,-42.11680523228887,0
2141,14_66,Ni,-71.7038260512054,2141,-9.09437066322555,0.9432189240008224,-70.09342964126368,0
3646,22_58,Pt,-35.51034292019904,3646,15.245229797162047,0.6389588279553037,-33.70247476813789,0
4011,66_84,Pt,-38.35900221718475,4011,-1.2365945030025658,0.6389588279553037,-44.233681905536315,0
787,15_55,Au,2.92,787,4.002739424437135,0.6255430115450548,6.714850886080734,0
583,63_75,Ag,25.392918071709573,583,5.699639139943286,0.6603606558655174,23.575282021170672,0
563,60_84,Ag,21.479080856777728,563,-6.349047632907317,0.6603606558655174,15.618803321532864,0
1408,11_64,Cu,-5.97,1408,-4.839947810723102,0.9095610682180674,-8.013501980399198,0
1732,29_65,Cu,-5.449856197927147,1732,-7.56103277581975,0.9095610682180674,-10.488494927964627,0
3405,0_55,Pt,-31.01305050170049,3405,17.66534714113898,0.6389588279553037,-32.156119426516085,0
1158,52_75,Au,-2.373285586945713,1158,0.25579515854657975,0.6255430115450548,4.370976085904081,0
1930,61_83,Cu,-5.2098879385739565,1930,-6.207229967254813,0.9095610682180674,-9.257128599249684,0
3958,60_74,Pt,-43.2674231226556,3958,-1.8938763079561016,0.6389588279553037,-44.65365791726577,0
2634,64_83,Ni,-61.86401570448652,2634,-0.7985420530396259,0.9432189240008224,-62.26864710586887,0
95,14_60,Ag,14.913661269005388,95,-10.581945159140203,0.6603606558655174,12.82356433489819,0
894,20_60,Au,-0.71,894,4.079934738349915,0.6255430115450548,6.7631398752229,0
472,51_82,Ag,5.940729842055589,472,-24.460211425095842,0.6603606558655174,3.6589033212354387,0
2897,19_57,Pd,-38.25,2897,-7.352604598127573,0.7432753174290814,-39.486751721791535,0
1105,3_50,Au,2.83,1105,-4.110246732097928,0.6255430115450548,1.6398290930984514,0
1661,25_62,Cu,1.11,1661,-0.36487930026319726,0.9095610682180674,-3.943153885676252,0
2912,1_55,Pd,-21.88,2912,17.75882777153611,0.7432753174290814,-20.822043856130854,0
2457,31_59,Ni,-60.87821639981121,2457,1.6918102284225756,0.9432189240008224,-59.919699706565105,0
351,28_61,Ag,18.03160501038656,351,10.729484347093296,0.6603606558655174,26.89679390106628,0
965,24_63,Au,7.29,965,1.32145982836665,0.6255430115450548,5.037595172760494,0
3439,11_55,Pt,-43.09,3439,-0.17870152988157928,0.6389588279553037,-43.557731851328775,0
2359,26_63,Ni,-64.7221621372737,2359,-6.226518373210782,0.9432189240008224,-67.38841709008265,0
2594,5_65,Ni,-57.08373016212136,2594,1.1428719155207672,0.9432189240008224,-60.43746871140317,0
145,17_59,Ag,17.65207618661225,145,-5.428238914315117,0.6603606558655174,16.226869170869097,0
759,13_61,Au,2.790776080917567,759,-3.6553008889468224,0.6255430115450548,1.9244172859130981,0
1320,7_61,Au,3.419015017338097,1320,-6.66616154968684,0.6255430115450548,0.0409944408512537,0
1491,16_62,Cu,2.6337763746269047,1491,7.79008637556145,0.9095610682180674,3.4742854057084873,0
2171,16_62,Ni,-43.8142,2171,7.79008637556145,0.9432189240008224,-54.167690240800894,0
1409,11_65,Cu,-5.73,1409,-5.782303344262323,0.9095610682180674,-8.87063188612634,0
1035,28_65,Au,7.18,1035,9.770102771419442,0.6255430115450548,10.322584722826612,0
3579,19_59,Pt,-47.87308348994702,3579,-3.33425791542675,0.6389588279553037,-45.57400246098359,0
3971,61_84,Pt,-25.811581927351654,3971,21.945341717232456,0.6389588279553037,-29.42137910852034,0
749,13_51,Au,3.3228521859273314,749,-1.3885042310032154,0.6255430115450548,3.342396093883407,0
271,23_66,Ag,26.456923888530586,271,10.514753652005826,0.6603606558655174,26.754994198423862,0
3307,63_84,Pd,-22.1183652849868,3307,23.73349575115822,0.7432753174290814,-16.381220617043862,0
2230,1_53,Ni,-43.5175270922482,2230,10.937668899373481,0.9432189240008224,-51.198830839487115,0
3763,29_56,Pt,-49.3112718150951,3763,-2.5596271840689306,0.6389588279553037,-45.07904531677704,0
6,0_56,Ag,34.045405951328576,6,16.808558229323555,0.6603606558655174,30.911175116990794,0
813,16_64,Au,10.47956588305533,813,15.001175666287146,0.6255430115450548,13.594845815093866,0
3028,26_52,Pd,-42.51,3028,-8.752513982247134,0.7432753174290814,-40.527269813644956,0
688,0_58,Au,12.04,688,19.813936710743576,0.6255430115450548,16.60543485268986,0
2790,13_52,Pd,-34.65,2790,-3.444956430582882,0.7432753174290814,-36.58229328965859,0
1544,19_64,Cu,-9.72,1544,-7.049235824670647,0.9095610682180674,-10.0229843463667,0
1351,9_58,Au,2.6,1351,-4.418683862132231,0.6255430115450548,1.4468884019044799,0
1149,51_74,Au,4.884998973924667,1149,0.3358299664401615,0.6255430115450548,4.421041300662262,0
3346,6_64,Pd,-32.75,3346,-3.0215757424527756,0.7432753174290814,-36.267604874295344,0
1606,22_58,Cu,9.111509695649149,1606,15.245229797162047,0.9095610682180674,10.255193619978424,0
1484,16_55,Cu,3.5163500043563545,1484,11.541799112247928,0.9095610682180674,6.886697250136368,0
3710,26_54,Pt,-45.15,3710,-5.205815076484748,0.6389588279553037,-46.76985043106457,0
32,10_65,Ag,14.421247710939497,32,-8.980655974732707,0.6603606558655174,13.880992710943882,0
23,10_56,Ag,15.92553830333054,23,-6.258637229076822,0.6603606558655174,15.678506795103438,0
2921,1_64,Pd,-22.63,2921,12.081516555403052,0.7432753174290814,-25.041849152445835,0
2526,53_75,Ni,-56.08497999375686,2526,5.422262653536596,0.9432189240008224,-56.401066384112795,0
2196,18_53,Ni,-45.3556,2196,11.725932111812686,0.9432189240008224,-50.455326060420774,0
163,18_60,Ag,26.4384211236611,163,10.47965479200511,0.6603606558655174,26.731816292213658,0
2845,16_56,Pd,-29.34,2845,11.315173168777164,0.7432753174290814,-25.61145327639987,0
2034,9_61,Cu,-9.04,2034,-3.360779687170335,0.9095610682180674,-6.668108241866429,0
1510,17_64,Cu,-2.81,1510,-6.806392134925048,0.9095610682180674,-9.802103180511676,0
3370,8_54,Pd,-19.67,3370,14.812576886741496,0.7432753174290814,-23.01191941775228,0
2617,62_82,Ni,-85.0688899429515,2617,-28.44904097106694,0.9432189240008224,-88.3491209434165,0
1998,7_59,Cu,-5.935638142284006,1998,-4.394833651853369,0.9095610682180674,-7.608643470578658,0
276,24_54,Ag,21.158811813686043,276,3.5570272840617903,0.6603606558655174,22.160385450755534,0
52,12_51,Ag,19.82631029514596,52,-0.20172486374066484,0.6603606558655174,19.678253417196785,0
374,2_50,Ag,17.67,374,-1.6731046668293668,0.6603606558655174,18.706612085401854,0
1624,23_59,Cu,8.873033388052136,1624,6.429027141950884,0.9095610682180674,2.2363189152775975,0
1277,65_73,Au,8.664722638204694,1277,6.398036786008108,0.6255430115450548,8.213212411183765,0
1405,11_61,Cu,-11.19,1405,-1.7373282485689718,0.9095610682180674,-5.191480017172015,0
3829,3_54,Pt,-44.29384999210015,3829,-2.3300572642001733,0.6389588279553037,-44.932359589843905,0
3673,24_51,Pt,-40.37169247260317,3673,5.3224827975029445,0.6389588279553037,-40.04270156113707,0
206,20_52,Ag,17.903108085040003,206,-2.413679738457087,0.6603606558655174,18.217565445384118,0
2839,16_50,Pd,-29.84,2839,11.210050580858965,0.7432753174290814,-25.689588301303736,0
1092,31_54,Au,20.01004006434232,1092,34.2339708612662,0.6255430115450548,25.625786441790318,0
1421,12_60,Cu,-10.813949266448615,1421,-0.8902855732959173,0.9095610682180674,-4.421042976624367,0
844,18_61,Au,15.3,844,9.36488172493123,0.6255430115450548,10.069101529064937,0
143,17_57,Ag,16.446248012129217,143,-8.56014827723441,0.6603606558655174,14.158679449860358,0
1854,54_75,Cu,-12.736219156067818,1854,-8.778950510258312,0.9095610682180674,-11.596265483502297,0
2644,66_72,Ni,-68.33235758682713,2644,-4.438656400489204,0.9432189240008224,-65.70207184391022,0
530,58_84,Ag,34.65696474164724,530,13.433121872372785,0.6603606558655174,28.682169750482473,0
3108,2_64,Pd,-40.11,3108,-1.7168690888609197,0.7432753174290814,-35.29784862219502,0
587,63_84,Ag,37.608678305055946,587,23.73349575115822,0.6603606558655174,35.48413140073726,0
1301,6_59,Au,2.23919278010726,1301,-2.313618029398356,0.6255430115450548,2.763697622413426,0
2678,7_59,Ni,-66.24003565497696,2678,-4.394833651853369,0.9432189240008224,-65.66073739809516,0
3300,63_72,Pd,-30.23173489794135,3300,7.261970746836866,0.7432753174290814,-28.624098593171865,0
2372,27_59,Ni,-62.87283234624192,2372,-2.90407027676649,0.9432189240008224,-64.25462117150589,0
944,23_59,Au,6.417256680782884,944,6.429027141950884,0.6255430115450548,8.232598211769062,0
2409,29_62,Ni,-62.07801391929388,2409,-3.8251305067829704,0.9432189240008224,-65.12338261060198,0
1534,19_54,Cu,-6.457585623022169,1534,-2.754707485237816,0.9095610682180674,-6.1168485624594116,0
1945,63_82,Cu,-25.116063843481243,1945,-23.259145355761312,0.9095610682180674,-24.766886975183755,0
2829,15_57,Pd,-30.28,2829,8.220937927288084,0.7432753174290814,-27.911321957717917,0
454,4_62,Ag,31.2273329696618,454,11.56885747325923,0.6603606558655174,27.45108288917711,0
3917,57_74,Pt,-44.76474298862741,3917,-1.9891192294394109,0.6389588279553037,-44.71451422274778,0
362,29_55,Ag,19.451089961454272,362,-2.654645216511351,0.6603606558655174,18.058441324255256,0
2903,19_63,Pd,-40.28,2903,-4.310286332855543,0.7432753174290814,-37.22547164745118,0
2719,9_66,Ni,-66.32477690512314,2719,-3.4303328480171578,0.9432189240008224,-64.75100198770285,0
1872,56_82,Cu,-29.99979911930859,1872,-27.336825274889975,0.9095610682180674,-28.475785878277787,0
2461,31_63,Ni,-71.60687276022509,2461,-4.264938884526307,0.9432189240008224,-65.5382181954236,0
2009,8_53,Cu,14.745506691746414,2009,15.807323994086241,0.9095610682180674,10.766452618171972,0
2568,58_82,Ni,-78.47448761248961,2568,-17.32274650237428,0.9432189240008224,-77.8545894465399,0
2793,13_55,Pd,-33.54,2793,-3.817378479066759,0.7432753174290814,-36.85910540596303,0
1861,55_74,Cu,-1.496138394344598,1861,3.752943390549895,0.9095610682180674,-0.1977426802876998,0
1336,8_60,Au,12.36,1336,7.217282166001686,0.6255430115450548,8.725685633379321,0
413,31_55,Ag,14.743786961771548,413,-5.397530198254628,0.6603606558655174,16.24714799874759,0
1905,5_56,Cu,0.44,1905,0.5419829005715312,0.9095610682180674,-3.118307333558429,0
3968,61_81,Pt,-40.81832812260837,3968,8.317975889513207,0.6389588279553037,-38.12870480591799,0
1871,56_81,Cu,5.219423555769026,1871,8.036956495778986,0.9095610682180674,3.6988288559646723,0
2563,58_72,Ni,-59.34488625684753,2563,0.9645272845642443,0.9432189240008224,-60.60568674231531,0
2101,12_60,Ni,-66.2255445481278,2101,-0.8902855732959173,0.9432189240008224,-62.35518133032906,0
2873,18_50,Pd,-25.92,2873,13.995649719042175,0.7432753174290814,-23.619121217640433,0
3987,63_84,Pt,-29.66006231121719,3987,23.73349575115822,0.6389588279553037,-28.278822302799586,0
1973,6_51,Cu,-5.15,1973,3.419421562945087,0.9095610682180674,-0.5011011500779707,0
2071,10_64,Ni,-69.53856480540708,2071,-4.728593349339867,0.9432189240008224,-65.97554586083322,0
923,22_55,Au,9.12394711142406,923,11.250369316889614,0.6255430115450548,11.248555115569419,0
