,Record,Field,Value,idx,Sigma,Rho,Predval,Split
661,66_89,Cu,0.929634915664792,661,-2.8413963833784472,0.8806397775765332,5.034717278957209,0
1163,54_80,Pt,-38.71082273684442,1163,13.102623965774043,0.9326812411591037,-35.4892733699851,0
398,63_86,Au,-1.6555143953301013,398,-7.026959928718621,0.8928837688132216,0.6421918249185143,0
243,51_87,Au,-1.4311036067083478,243,-6.364874344493261,0.8928837688132216,1.233357296638557,0
586,61_68,Cu,8.71,586,-0.681952505014493,0.8806397775765332,6.936409455688648,0
753,56_90,Ni,-34.911748533602804,753,22.237212890258352,1.0938924070023341,-37.02117088028017,0
1250,61_69,Pt,-49.89,1250,1.3305776010956487,0.9326812411591037,-46.468840184375864,0
721,54_80,Ni,-42.330420043785125,721,13.102623965774043,1.0938924070023341,-47.01342834586117,0
195,65_67,Ag,27.263244620524347,195,-2.0782119100587266,0.9442403933293985,26.78710581924207,0
1222,59_67,Pt,-48.33,1222,2.324191654204741,0.9326812411591037,-45.54211499608895,0
134,60_71,Ag,34.949331127572805,134,11.495178098872309,0.9442403933293985,39.60364894008843,0
705,53_70,Ni,-61.33281910978258,705,-4.721543148014208,1.0938924070023341,-66.51114941277484,0
476,52_86,Cu,3.224797983188182,476,-6.6734905447128385,0.8806397775765332,1.660022729067359,0
958,55_87,Pd,-45.96028196020052,958,-11.585606972040098,0.931792882634016,-49.82489512294045,0
960,55_89,Pd,-37.14140662830323,960,-2.822866373597728,0.931792882634016,-41.6598358009437,0
766,57_90,Ni,-44.07859394978732,766,15.673032205198055,1.0938924070023341,-44.201678289859004,0
1194,56_89,Pt,-50.3782575475052,1194,-4.299485576062579,0.9326812411591037,-51.71989449625197,0
1174,55_71,Pt,-29.0207,1174,14.037235002031212,0.9326812411591037,-34.61757918868777,0
206,65_89,Ag,21.99061421398073,206,-7.347130879650171,0.9442403933293985,21.811979698974316,0
1025,60_89,Pd,-45.16376708494499,1025,-9.011336628724228,0.931792882634016,-47.42620833906289,0
1235,60_67,Pt,-49.34839627658948,1235,0.45639978604108,0.9326812411591037,-47.28416943391471,0
437,66_86,Au,-3.234571944922209,437,-6.9464521046407075,0.8928837688132216,0.7140759543001538,0
61,54_87,Ag,25.23474182887003,61,0.5404546029221662,0.9442403933293985,29.25975651745767,0
532,56_90,Cu,28.03692230815068,532,22.237212890258352,0.8806397775765332,27.119938171621506,0
713,53_89,Ni,-68.43806788139045,713,3.425005613150333,1.0938924070023341,-57.599701579662685,0
920,52_88,Pd,-43.72728603845462,920,-5.531833331213443,0.931792882634016,-44.184031931340755,0
1243,60_86,Pt,-56.84926459565759,1243,-10.462408206255052,0.9326812411591037,-57.46793682414741,0
701,52_90,Ni,-35.74338876781985,701,20.91449608430631,1.0938924070023341,-38.46808075092548,0
1287,64_67,Pt,-50.27796768490225,1287,-0.9451018695560424,0.9326812411591037,-48.591323737543576,0
345,59_85,Au,7.1462005455978215,345,-0.7594472509527441,0.8928837688132216,6.238352165726757,0
497,54_70,Cu,-0.5850403066724539,497,-0.15622741484716954,0.8806397775765332,7.399383882160003,0
1282,63_86,Pt,-59.622405585832894,1282,-7.026959928718621,0.9326812411591037,-54.263758660716825,0
85,56_85,Ag,28.14346732804552,85,1.6327763187025421,0.9442403933293985,30.291170804008377,0
322,57_88,Au,0.6380063281394541,322,-7.152672774579809,0.8928837688132216,0.5299448653177405,0
911,52_68,Pd,-36.99,911,0.46863977740502805,0.931792882634016,-38.59283379629325,0
153,61_88,Ag,21.1442495174706,153,-8.32299617508117,0.9442403933293985,20.890528268580038,0
117,59_67,Ag,31.22581090312451,117,2.324191654204741,0.9442403933293985,30.944033092356953,0
107,58_70,Ag,25.6173,107,-3.607221323637583,0.9442403933293985,25.343353369160017,0
619,63_86,Cu,4.408248474355787,619,-7.026959928718621,0.8806397775765332,1.3487435293563932,0
536,57_70,Cu,8.28,536,-2.1146449030939274,0.8806397775765332,5.674723540908385,0
358,60_85,Au,-0.3807566221803427,358,-9.84983964584231,0.8928837688132216,-1.8783116558132864,0
1076,64_88,Pd,-45.951816748827696,1076,-9.240048649790157,0.931792882634016,-47.63932057246497,0
550,58_71,Cu,14.48,550,13.94798326286617,0.8806397775765332,19.820112836274042,0
1270,62_87,Pt,-52.78441615495831,1270,-1.9763453658386005,0.9326812411591037,-49.553145201593644,0
1156,53_90,Pt,-29.4599944492802,1156,18.898339740705246,0.9326812411591037,-30.083717987616872,0
751,56_88,Ni,-67.53085070103407,751,-4.811179106643007,1.0938924070023341,-66.60920150731327,0
1110,50_79,Pt,-27.74469383340329,1110,23.119036068499383,0.9326812411591037,-26.147153698054165,0
