,Record,Field,Value,idx,Sigma,Rho,Predval,Split
699,56_56,Pd,-38.22,699,1.5946043854067349,0.5902514443928953,-37.551164904675886,0
330,51_58,Cu,2.761760612949729,330,1.771951149684579,0.47848445367434045,7.574324543997573,0
855,56_59,Pt,-49.23,855,-0.3159021776264338,0.4514412026765839,-49.0268167050328,0
435,60_64,Cu,-1.1193576562218368,435,-5.838418327992608,0.47848445367434045,3.9328810622113286,0
87,56_56,Ag,28.306268628686663,87,1.5946043854067349,0.4117315210903122,28.988705451058394,0
297,63_64,Au,1.2833628454245627,297,-6.749152382211901,0.2990611960637992,4.541751588023505,0
358,53_57,Cu,8.217274877708405,358,0.6071970679291334,0.47848445367434045,7.017007823523861,0
59,53_64,Ag,31.41851048823446,59,-4.915986961806322,0.4117315210903122,26.308089772472936,0
667,53_60,Pd,-39.7,667,-3.9191708843368582,0.5902514443928953,-40.80567872169987,0
753,62_65,Pd,-42.69,753,-10.201735293664688,0.5902514443928953,-44.513971438797014,0
453,64_64,Cu,1.3,453,-8.118949422352706,0.47848445367434045,2.8416823874390915,0
277,59_66,Au,8.46903215488419,277,3.571941348057404,0.2990611960637992,7.6283902236844225,0
674,54_54,Pd,-34.88,674,5.50742596194584,0.5902514443928953,-35.241616317471994,0
694,55_62,Pd,-38.49,694,0.7749011180447588,0.5902514443928953,-38.03499594220987,0
754,62_66,Pd,-35.41,754,5.26564167174136,0.5902514443928953,-35.384329843996696,0
854,56_58,Pt,-48.4387924131006,854,2.4656153950667425,0.4514412026765839,-47.771125066750145,0
777,50_62,Pt,-49.83450109977275,777,-0.18367622812165937,0.4514412026765839,-48.96712446336331,0
745,61_62,Pd,-39.04,745,-1.9171886413857786,0.5902514443928953,-39.62400581114907,0
407,57_60,Cu,-0.6085764206945896,407,-5.149419685670988,0.47848445367434045,4.262556201164951,0
390,55_64,Cu,7.578458445612341,390,-1.1084734844264335,0.47848445367434045,6.196086136594854,0
122,59_64,Ag,31.12647999776528,122,-1.3711627159150763,0.4117315210903122,27.76760565123156,0
181,51_62,Au,6.253387035336345,181,-0.4408529090284457,0.2990611960637992,6.428319173602384,0
672,53_65,Pd,-41.08,672,-5.873379366909183,0.5902514443928953,-41.959153101183034,0
863,57_57,Pt,-49.75898809265345,863,-7.3560556794472856,0.4514412026765839,-52.20503206892257,0
125,60_60,Ag,24.100390393752605,125,-11.771151064214978,0.4117315210903122,23.485602629264516,0
581,59_64,Ni,-68.3,581,-1.3711627159150763,0.8809801448907699,-65.00237584245855,0
825,53_65,Pt,-51.39,825,-5.873379366909183,0.4514412026765839,-51.53569089121029,0
607,64_65,Ni,-76.6855572448112,607,-9.24841068946651,0.8809801448907699,-71.94207490353841,0
135,61_64,Ag,29.35596128320321,135,-6.481954607961278,0.4117315210903122,25.663331531543342,0
343,52_56,Cu,8.040505739860237,343,1.4513307588737223,0.47848445367434045,7.420912671463587,0
271,59_60,Au,4.023538178298622,271,-3.804229059844297,0.2990611960637992,5.422463879126939,0
842,55_57,Pt,-48.74,842,1.7157382850438232,0.4514412026765839,-48.10965049115853,0
265,58_62,Au,6.108988254331052,265,-1.1069387626499274,0.2990611960637992,6.229118741537167,0
615,50_53,Pd,-37.22,615,2.0743134633570532,0.5902514443928953,-37.268015928527326,0
890,60_60,Pt,-52.98300211690366,890,-11.771151064214978,0.4514412026765839,-54.19818803935393,0
305,66_66,Au,11.255201829597354,305,12.542588901460274,0.2990611960637992,10.31116281047188,0
326,51_54,Cu,5.008715906646103,326,5.951251798893031,0.47848445367434045,9.574054931874896,0
102,57_61,Ag,25.00372512079776,102,-2.1138606309617667,0.4117315210903122,27.46181350895878,0
772,50_57,Pt,-49.55,772,1.227740397870635,0.4514412026765839,-48.32995284424763,0
376,54_62,Cu,4.260075914673507,376,2.1408738971417547,0.47848445367434045,7.750848343262657,0
637,51_59,Pd,-37.98,637,-3.5285501303194127,0.5902514443928953,-40.57511425743123,0
439,61_62,Cu,5.180205011740327,439,-1.9171886413857786,0.47848445367434045,5.809128506539003,0
632,51_54,Pd,-34.59,632,5.951251798893031,0.5902514443928953,-34.97964747615503,0
141,62_65,Ag,28.493758943863213,141,-10.201735293664688,0.4117315210903122,24.13178057169631,0
45,52_64,Ag,29.234317208174616,45,-2.5944814649306878,0.4117315210903122,27.263926761921063,0
526,54_59,Ni,-61.684329082258046,526,0.021575463334398838,0.8809801448907699,-63.77540115950844,0
199,52_65,Au,6.814300911035389,199,-2.4308713036787046,0.2990611960637992,5.833181892309316,0
27,51_61,Ag,28.203192498069257,27,-1.7415226220475601,0.4117315210903122,27.615116803728764,0
379,54_65,Cu,1.8953818967565887,379,-5.347027787219115,0.47848445367434045,4.168003796654072,0
313,50_57,Cu,9.115533140022308,313,1.227740397870635,0.47848445367434045,7.313928159732177,0
300,64_64,Au,0.522277997341007,300,-8.118949422352706,0.2990611960637992,4.132098446834345,0
360,53_59,Cu,7.149795759003609,360,2.20621601780528,0.47848445367434045,7.782113532170266,0
536,55_57,Ni,-64.02,536,1.7157382850438232,0.8809801448907699,-62.28287735137032,0
293,62_64,Au,6.6178850047290325,293,-5.2968694312512365,0.2990611960637992,4.9760730643608655,0
897,61_61,Pt,-51.16,897,-2.316002089166096,0.4514412026765839,-49.9297442145716,0
303,65_65,Au,-0.8107019141316414,303,-14.668678617482277,0.2990611960637992,2.1733285998449094,0
322,50_66,Cu,10.954130398109555,322,5.987048562314967,0.47848445367434045,9.59118312666415,0
677,54_57,Pd,-40.43,677,-0.4110451982939254,0.5902514443928953,-38.73500246840121,0
60,53_65,Ag,29.88666189229116,60,-5.873379366909183,0.4117315210903122,25.913901141239624,0
64,54_56,Ag,28.8356307791546,64,2.8117044913890306,0.4117315210903122,29.489823929013664,0
490,51_65,Ni,-67.03906078077853,490,-22.405723127342696,0.8809801448907699,-83.53340592143171,0
678,54_58,Pd,-36.25,678,0.04242635171175335,0.5902514443928953,-38.46734023101927,0
83,55_63,Ag,29.37660824228078,83,-0.02490297700667854,0.4117315210903122,28.321903221314958,0
821,53_61,Pt,-48.97728926734999,821,1.184678597846429,0.4514412026765839,-48.34939271503997,0
606,64_64,Ni,-76.53262689523399,606,-8.118949422352706,0.8809801448907699,-70.94704195278798,0
583,59_66,Ni,-60.6409,583,3.571941348057404,0.8809801448907699,-60.64759930796992,0
223,54_62,Au,6.623859702609479,223,2.1408738971417547,0.2990611960637992,7.200413480165617,0
695,55_63,Pd,-39.68,695,-0.02490297700667854,0.5902514443928953,-38.50708146454533,0
790,51_59,Pt,-47.9447015686892,790,-3.5285501303194127,0.4514412026765839,-50.47713836057299,0
647,52_54,Pd,-35.14,647,6.598532160085694,0.5902514443928953,-34.5975893080339,0
233,55_60,Au,6.293070779182017,233,0.353507537103116,0.2990611960637992,6.665881558728262,0
739,60_62,Pd,-40.79,739,-7.134860242323192,0.5902514443928953,-42.703744009970166,0
401,56_64,Cu,7.368817041162401,401,-4.475818480285245,0.47848445367434045,4.584863905918326,0
400,56_63,Cu,8.135678248479962,400,-2.175098770726216,0.47848445367434045,5.685722519204465,0
701,56_58,Pd,-38.02,701,2.4656153950667425,0.5902514443928953,-37.03704939814195,0
732,59_62,Pd,-39.34,732,-3.427778208418244,0.5902514443928953,-40.51563348497481,0
742,60_65,Pd,-42.25,742,-19.187397165796884,0.5902514443928953,-49.81777133764921,0
31,51_65,Ag,25.126736719161272,31,-22.405723127342696,0.4117315210903122,19.107014097568403,0
608,64_66,Ni,-67.33227618271485,608,-1.2909963419095303,0.8809801448907699,-64.93175085867178,0
845,55_60,Pt,-49.04,845,0.353507537103116,0.4514412026765839,-48.7246175783319,0
290,61_66,Au,8.325746085029095,290,4.543528944026851,0.2990611960637992,7.918954372215797,0
423,59_59,Cu,5.90334807196632,423,-2.6059008302855298,0.47848445367434045,5.479590431094446,0
79,55_59,Ag,27.76414919178933,79,1.2225181106686693,0.4117315210903122,28.83550580318366,0
545,55_66,Ni,-50.9871,545,6.89092964424037,0.8809801448907699,-57.72363651790788,0
65,54_57,Ag,26.43330790940672,65,-0.4110451982939254,0.4117315210903122,28.16291629718717,0
804,52_58,Pt,-48.55067512905225,804,1.25508010254956,0.4514412026765839,-48.31761057508655,0
794,51_63,Pt,-49.777706497348845,794,0.7364654453985178,0.4514412026765839,-48.55173459963652,0
671,53_64,Pd,-41.15,671,-4.915986961806322,0.5902514443928953,-41.39405085122028,0
792,51_61,Pt,-48.66557651897893,792,-1.7415226220475601,0.4514412026765839,-49.6704005130226,0
134,61_63,Ag,24.174014376476407,134,-6.66567875720915,0.4117315210903122,25.58768650811249,0
91,56_60,Ag,26.112471868284047,91,-2.226832920944108,0.4117315210903122,27.415299256163294,0
142,62_66,Ag,26.949412702582777,142,5.26564167174136,0.4117315210903122,30.5001872169402,0
34,52_53,Ag,28.1079221139662,34,2.853289663393284,0.4117315210903122,29.50694585513778,0
624,50_62,Pd,-38.92,624,-0.18367622812165937,0.5902514443928953,-38.600797605346905,0
461,50_52,Ni,-62.93,461,1.9221905226610516,0.8809801448907699,-62.10099702916126,0
488,51_63,Ni,-63.16160793695599,488,0.7364654453985178,0.8809801448907699,-63.14559727952863,0
250,56_66,Au,7.431721166241914,250,6.505638582860001,0.2990611960637992,8.505745227613549,0
585,60_61,Ni,-65.14376530144364,585,-9.625894944841917,0.8809801448907699,-72.27463103753303,0
366,53_65,Cu,4.759462412446737,366,-5.873379366909183,0.47848445367434045,3.916152748605444,0
256,57_62,Au,3.775636245962232,256,-2.28989045778366,0.2990611960637992,5.875343792704774,0
747,61_64,Pd,-42.21,747,-6.481954607961278,0.5902514443928953,-42.31836551623579,0
639,51_61,Pd,-38.35,639,-1.7415226220475601,0.5902514443928953,-39.52031868950393,0
207,53_59,Au,7.441769399680197,207,2.20621601780528,0.2990611960637992,7.219954772924595,0
748,61_65,Pd,-41.9,748,-6.145018289788571,0.5902514443928953,-42.11948836776592,0
380,54_66,Cu,8.69049033941701,380,9.804987275143455,0.47848445367434045,11.418007445834004,0
900,61_64,Pt,-52.29,900,-6.481954607961278,0.4514412026765839,-51.81042682995004,0
410,57_63,Cu,8.18,410,-6.02325856155456,0.47848445367434045,3.8444378840384004,0
578,59_61,Ni,-67.62,578,-1.4425272687436415,0.8809801448907699,-65.06524659654953,0
635,51_57,Pd,-38.86,635,-1.1030170821999647,0.5902514443928953,-39.143439872356026,0
210,53_62,Au,7.811117837205529,210,1.999413640970232,0.2990611960637992,7.1581082067594695,0
368,54_54,Cu,7.140584966167808,368,5.50742596194584,0.47848445367434045,9.361691168756662,0
325,51_53,Cu,3.5753878131508827,325,3.6050328191323153,0.47848445367434045,8.45142562514372,0
267,58_64,Au,7.393856533803046,267,-3.284227540587109,0.2990611960637992,5.577976155430986,0
553,56_63,Ni,-66.67746954970062,553,-2.175098770726216,0.8809801448907699,-65.71062754450898,0
543,55_64,Ni,-68.7,543,-1.1084734844264335,0.8809801448907699,-64.77095184524043,0
484,51_59,Ni,-60.84430410526693,484,-3.5285501303194127,0.8809801448907699,-66.902991319386,0
259,57_65,Au,1.1192719819955528,259,-11.858531637121754,0.2990611960637992,3.0137345169066014,0
